method,K,date,alpha,beta
kefrin_t_affect,4,2023-01,0.0,0.0
kefrin_t_affect,4,2023-02,0.4696529785450689,0.11365253486099228
kefrin_t_affect,4,2023-03,0.47411993822041854,0.1296370535644469
kefrin_t_affect,4,2023-04,0.4788594404876626,0.1260198257992852
kefrin_t_affect,4,2023-05,0.4804598397155776,0.12414983124610512
kefrin_t_affect,4,2023-06,0.4802005960962,0.1225979768283107
kefrin_t_affect,4,2023-07,0.47921637482446505,0.1185494137899208
kefrin_t_affect,4,2023-08,0.4803334157692244,0.1196310246797107
kefrin_t_affect,4,2023-09,0.4761765886533822,0.11659904054565695
kefrin_t_affect,4,2023-10,0.479552797648871,0.11892445556600657
kefrin_t_affect,4,2023-11,0.4781603312606303,0.1211592578602444
kefrin_t_affect,4,2023-12,0.47852711204369913,0.11820447524815252
kefrin_t_affect,4,2024-01,0.47874909697697665,0.1218535849665673
kefrin_t_affect,4,2024-02,0.480787432665276,0.11646086489627198
kefrin_t_affect,4,2024-03,0.48042347025049487,0.11438889559083826
kefrin_t_affect,4,2024-04,0.4707047028163091,0.1215104716869934
kefrin_t_affect,4,2024-05,0.47806501758647224,0.1205625658457585
kefrin_t_affect,4,2024-06,0.4800949859394851,0.11770652243181634
kefrin_t_affect,4,2024-07,0.46788311179364567,0.11831037173560559
kefrin_t_affect,4,2024-08,0.4784883142744613,0.12449240690371097
kefrin_t_affect,4,2024-09,0.4751252941147225,0.1220341306567814
kefrin_t_affect,4,2024-10,0.4780465767003642,0.1221861999890612
kefrin_t_affect,4,2024-11,0.476334097428968,0.12668007231854708
kefrin_t_affect,4,2024-12,0.4785139346186808,0.12522131440195783
kefrin_t_affect_fe_noreset,4,2023-01,0.0,0.0
kefrin_t_affect_fe_noreset,4,2023-02,0.6836890100426155,0.95
kefrin_t_affect_fe_noreset,4,2023-03,0.7391571766345385,0.6555377357761959
kefrin_t_affect_fe_noreset,4,2023-04,0.7706527290023871,0.8719715112743067
kefrin_t_affect_fe_noreset,4,2023-05,0.799293909886236,0.8816727434568273
kefrin_t_affect_fe_noreset,4,2023-06,0.8125252576456906,0.8998530387799877
kefrin_t_affect_fe_noreset,4,2023-07,0.7461733263564,0.9089855548472437
kefrin_t_affect_fe_noreset,4,2023-08,0.8002671489451103,0.9166688222333311
kefrin_t_affect_fe_noreset,4,2023-09,0.8968043696003929,0.9185226134680082
kefrin_t_affect_fe_noreset,4,2023-10,0.9073865028998721,0.9310089739723346
kefrin_t_affect_fe_noreset,4,2023-11,0.8214069479828714,0.9401618120708475
kefrin_t_affect_fe_noreset,4,2023-12,0.7850697282343713,0.9425594619859045
kefrin_t_affect_fe_noreset,4,2024-01,0.6462331328744648,0.9477142447901629
kefrin_t_affect_fe_noreset,4,2024-02,0.6317335637206972,0.935358100022662
kefrin_t_affect_fe_noreset,4,2024-03,0.42026833948563325,0.9325136353966007
kefrin_t_affect_fe_noreset,4,2024-04,0.489412759638197,0.9253461093610154
kefrin_t_affect_fe_noreset,4,2024-05,0.43351752167511215,0.9395822627350036
kefrin_t_affect_fe_noreset,4,2024-06,0.46407816699763876,0.9394884653133393
kefrin_t_affect_fe_noreset,4,2024-07,0.4961114441533151,0.9370000173354056
kefrin_t_affect_fe_noreset,4,2024-08,0.521288148249179,0.9434358830419638
kefrin_t_affect_fe_noreset,4,2024-09,0.5150229280553058,0.9420579852347284
kefrin_t_affect_fe_noreset,4,2024-10,0.4776740790065463,0.95
kefrin_t_affect_fe_noreset,4,2024-11,0.4825771962137358,0.95
kefrin_t_affect_fe_noreset,4,2024-12,0.5190399270240074,0.95
kefrin_t_affect_fe,4,2023-01,0.0,0.0
kefrin_t_affect_fe,4,2023-02,0.6836890100426155,0.95
kefrin_t_affect_fe,4,2023-03,0.7356392955436537,0.7412368645409033
kefrin_t_affect_fe,4,2023-04,0.7718497575632273,0.876031512369598
kefrin_t_affect_fe,4,2023-05,0.8624991335478605,0.8684042419907853
kefrin_t_affect_fe,4,2023-06,0.5301795486874152,0.9456613817183328
kefrin_t_affect_fe,4,2023-07,0.7216079178711698,0.95
kefrin_t_affect_fe,4,2023-08,0.841569763779419,0.95
