id,name,short,region,mo_type,lat,lon,macro,sub,switches_macro,switches_sub,population,wage,market_access,urban_share,total_2024,total_2023
1,городской округ город Майкоп,Майкоп,Республика Адыгея,городской округ,44.667326953828365,40.03169838835568,0,4,0,0,161898.0,57440.5,309.6,0.8521723554336681,29229.75,25028.916666666668
2,городской округ город Адыгейск,Адыгейск,Республика Адыгея,городской округ,44.87055092905199,39.2088623973174,0,1,0,3,15661.0,47407.2,322.8,0.8443905242321691,21639.333333333332,19248.916666666668
3,Гиагинский муниципальный район,Гиагинский,Республика Адыгея,муниципальный район,44.837814043790765,40.195544684254976,3,1,3,0,31872.0,54547.7,315.2,0.0,22220.666666666668,19535.583333333332
4,Кошехабльский муниципальный район,Кошехабльский,Республика Адыгея,муниципальный район,44.78073885021015,40.53682412662726,3,0,0,0,30319.0,51262.1,315.5,0.0,23948.416666666668,20077.333333333332
5,Красногвардейский муниципальный район,Красногвардейский,Республика Адыгея,муниципальный район,45.07579769245317,39.669242815394206,3,0,0,0,32095.0,48849.1,320.2,0.0,22357.583333333332,19200.083333333332
6,Майкопский муниципальный район,Майкопский,Республика Адыгея,муниципальный район,44.24612275808245,40.16802322904852,3,1,0,0,59156.0,47965.8,308.1,0.0,26763.416666666668,22267.833333333332
7,Тахтамукайский муниципальный район,Тахтамукайский,Республика Адыгея,муниципальный район,44.94446345394075,38.92638278910725,2,5,0,0,131043.0,75708.3,324.7,0.6500232748029273,39543.583333333336,33200.916666666664
8,Теучежский муниципальный район,Теучежский,Республика Адыгея,муниципальный район,44.9116752003606,39.35767139154338,2,5,2,1,22260.0,74168.0,317.4,0.3252470799640611,31787.666666666668,26202.833333333332
9,Шовгеновский муниципальный район,Шовгеновский,Республика Адыгея,муниципальный район,45.017731927233015,40.14196597081477,3,0,0,2,16287.0,42776.6,314.3,0.0,21014.0,17669.5
10,городской округ город Горно-Алтайск,Горно-Алтайск,Республика Алтай,городской округ,51.936763933917554,85.96074005124264,0,4,0,0,64508.0,73499.3,213.5,1.0,32300.166666666668,27671.833333333332
11,Кош-Агачский муниципальный район,Кош-Агачский,Республика Алтай,муниципальный район,49.795772746916946,87.98988015707728,3,2,0,2,18620.0,70732.2,191.0,0.0,26996.5,22546.416666666668
12,Майминский муниципальный район,Майминский,Республика Алтай,муниципальный район,51.848980310707205,86.01747020359242,3,2,4,2,30941.0,73551.6,214.9,0.0,34627.333333333336,28645.916666666668
13,Онгудайский муниципальный район,Онгудайский,Республика Алтай,муниципальный район,50.73196515511987,86.46401407324883,3,2,0,1,14025.0,46742.2,202.6,0.0,24702.25,20965.75
14,Турочакский муниципальный район,Турочакский,Республика Алтай,муниципальный район,52.02806568935424,87.4815501070271,3,2,0,3,10794.0,57696.8,210.9,0.0,27190.833333333332,22928.583333333332
15,Улаганский муниципальный район,Улаганский,Республика Алтай,муниципальный район,50.78773728053179,88.39226136461627,3,2,0,1,11926.0,63315.0,192.9,0.0,29156.166666666668,25208.833333333332
16,Усть-Канский муниципальный район,Усть-Канский,Республика Алтай,муниципальный район,50.91043327601847,84.68219241804218,3,2,0,2,14207.0,45304.0,204.7,0.0,22948.416666666668,20101.0
17,Усть-Коксинский муниципальный район,Усть-Коксинский,Республика Алтай,муниципальный район,50.09561136257983,85.64658520570451,3,2,0,1,15634.0,47699.6,198.8,0.0,26901.5,22822.083333333332
18,Чемальский муниципальный район,Чемальский,Республика Алтай,муниципальный район,51.34412101839298,86.20900403676777,3,2,0,3,10557.0,65317.7,207.6,0.0,30129.0,26238.75
