method,ami_median,ami_min,ari_median,switch_median,switch_max,share_never_switch,share_switch_gt3,n_events,min_cluster_size,SW,CH,S_Dbw,AVI,AVU,ANUI,MQ,Q,K_mean,K,sec,alpha_mean,beta_mean,xi,reset_share
kefrin_warm,0.7286214276627124,0.6262678455585771,0.756133918786423,0.09275793650793651,0.1800595238095238,0.4375,0.27033730158730157,6,120,0.2412643896159267,710.3604751228044,0.7530025831733894,0.9138273008386376,0.5429048063003187,0.6108437888267412,3.6553092033545505,0.6099412624400161,4.0,4,3.9,0.0,0.0,111.49613665999621,0.0
kefrin_fixed0.5,0.8531643871799857,0.7834959305605538,0.8782075829697912,0.04265873015873016,0.07539682539682539,0.6125992063492064,0.11458333333333333,0,119,0.2375729898018781,698.8224255290291,0.7566718971833448,0.8978040555376149,0.5427530080432349,0.6036610834859134,3.5912162221504595,0.5959448289553348,4.0,4,3.8,0.5,0.5,111.49613665999621,0.0
kefrin_t_affect,0.8399408347133965,0.7767800090229385,0.8702017161711609,0.047619047619047616,0.07589285714285714,0.6076388888888888,0.11904761904761904,0,119,0.23799059730570252,699.630370102947,0.756726474746738,0.9014141126788875,0.5420999080883483,0.6055353092205428,3.60565645071555,0.5977664537558692,4.0,4,5.1,0.5014119263071486,0.1468605430614624,111.49613665999621,0.0
kefrin_t_affect_fe_noreset,0.862212385077286,0.7792171225839911,0.8918316843653996,0.03720238095238095,0.07192460317460317,0.6274801587301587,0.08978174603174603,0,122,0.23661928657057096,697.1082743044317,0.7564294555451655,0.8928991171653831,0.5441576670964371,0.6009182843314118,3.5715964686615322,0.5923021043212152,4.0,4,5.0,0.5247251230462401,0.8814646895778199,111.49613665999621,0.0
kefrin_t_affect_fe,0.8474382872446135,0.7919621008980885,0.8760572321954092,0.04365079365079365,0.06299603174603174,0.6106150793650794,0.09077380952380952,0,116,0.23669063926323716,695.1400422860639,0.7603962966625294,0.8927431110530862,0.5440774587900873,0.6008855415915234,3.570972444212345,0.5880390663836536,4.0,4,5.3,0.6299399015067324,0.8948021736857684,111.49613665999621,0.12382192460317461
kefrin_warm,0.7112489577271819,0.5971859802850549,0.7247864407917072,0.11656746031746032,0.19543650793650794,0.38591269841269843,0.33630952380952384,20,103,0.2368839488467741,656.0837391417516,0.707766557299839,0.8943180661243509,0.5025717018508299,0.6170657376536176,4.471590330621755,0.6500838877485043,5.0,5,3.9,0.0,0.0,111.49613665999621,0.0
kefrin_fixed0.5,0.8269955794041112,0.7285251687207209,0.8520363804540804,0.060515873015873016,0.11607142857142858,0.4712301587301587,0.14682539682539683,2,108,0.2318495670858123,644.165451904996,0.7097963692420927,0.8737849050099725,0.5045252955920186,0.6065230656291313,4.368924525049863,0.6349152845988746,5.0,5,3.9,0.5,0.5,111.49613665999621,0.0
kefrin_t_affect,0.8235664801581559,0.7374670867224438,0.8463314681873678,0.06101190476190476,0.10168650793650794,0.4677579365079365,0.15178571428571427,1,101,0.23255143826039082,645.0084100748605,0.7105078938028848,0.877568892439144,0.5030012677359904,0.6089464524899263,4.38784446219572,0.6368056442410347,5.0,5,5.3,0.5016409117522325,0.16837022418504152,111.49613665999621,0.0
kefrin_t_affect_fe_noreset,0.8358760901972788,0.7486865730738919,0.8621430291153446,0.05654761904761905,0.10515873015873016,0.4781746031746032,0.12748015873015872,1,109,0.23117394339347874,643.3914274216064,0.7088116626981682,0.8713931876691577,0.5062250317507794,0.6047646475724456,4.356965938345788,0.6339619525143955,5.0,5,5.2,0.4942606038090506,0.8664195825935755,111.49613665999621,0.0
kefrin_t_affect_fe,0.8299081681168113,0.686367894224231,0.8590021263875228,0.057539682539682536,0.13740079365079366,0.45783730158730157,0.13541666666666666,1,106,0.23135768374308055,642.3926559457607,0.7117830843656553,0.8678156453723097,0.5057033766367227,0.6032686049981847,4.339078226861549,0.6282984758905851,5.0,5,5.6,0.5592412002443389,0.8872213510041886,111.49613665999621,0.1273354828042328
kefrin_warm,0.7163516067547125,0.61199308609397,0.718880868467368,0.1284722222222222,0.21180555555555555,0.3933531746031746,0.38492063492063494,23,90,0.21024600612781405,603.0594726649942,0.6642448295588463,0.8874664682580965,0.5097118344534076,0.6110917731036722,5.32479880954858,0.694710488097318,6.0,6,4.3,0.0,0.0,111.49613665999621,0.0
kefrin_fixed0.5,0.83735291936539,0.7855968051967757,0.8476008262676747,0.06398809523809523,0.09325396825396826,0.5252976190476191,0.1701388888888889,0,87,0.20291687057883143,589.0455997228247,0.6642717474360352,0.8654585230327089,0.5169844578780499,0.5980081324170364,5.192751138196253,0.6779668950130464,6.0,6,3.9,0.5,0.5,111.49613665999621,0.0
kefrin_t_affect,0.8303775146346367,0.7799082893311347,0.8433746196661281,0.06646825396825397,0.09573412698412699,0.5183531746031746,0.18501984126984128,0,86,0.20344933799734366,590.153177413199,0.6645455539650883,0.8708288183080599,0.5148367490965434,0.6013432614263438,5.2249729098483595,0.6817606359440854,6.0,6,5.2,0.5000112841262082,0.18013754389154685,111.49613665999621,0.0
kefrin_t_affect_fe_noreset,0.8515119474972611,0.7929520998025665,0.8615872929932026,0.057539682539682536,0.08779761904761904,0.5401785714285714,0.15376984126984128,0,86,0.20229492774900296,588.3233341938,0.6633110993218844,0.8604608506846042,0.517825459428217,0.5953325895028057,5.162765104107625,0.6740446571111859,6.0,6,5.2,0.5003424293224384,0.8649108988768863,111.49613665999621,0.0
kefrin_t_affect_fe,0.841818192009945,0.7951520455773111,0.8544963453455982,0.06001984126984127,0.08234126984126984,0.5218253968253969,0.14384920634920634,0,89,0.20189522483072384,587.6941108036187,0.6657440985982935,0.8560749928325911,0.5144408109324745,0.5944172644746629,5.1364499569955475,0.6700938950098735,6.0,6,5.5,0.5972673448233166,0.8918347816690304,111.49613665999621,0.13448660714285715
temporal_leiden_w0.5,0.8669621482190343,0.8067442357668125,0.9058629390991345,0.03869047619047619,0.06398809523809523,0.5649801587301587,0.061507936507936505,0,0,0.14520242578127393,417.1525156866417,0.6261757906627379,0.9060197764395596,0.49623627336279713,0.6250866910529457,4.565341846143646,0.6515494363618665,5.041666666666667,5,24.5,,,,
temporal_leiden_w2.0,0.9927687062055942,0.9777828976011146,0.9968256902185502,0.000992063492063492,0.003472222222222222,0.9737103174603174,0.0,0,14,0.19070050356939885,383.9965607536394,0.697874641151735,0.888588648593534,0.42892186601442567,0.6433298799368493,4.44294324296767,0.5501600531028273,5.0,5,28.5,,,,
