method,ami_median,ami_min,ari_median,switch_median,switch_max,share_never_switch,share_switch_gt3,n_events,min_cluster_size,SW,CH,S_Dbw,AVI,AVU,ANUI,MQ,Q,K_mean,K,sec,alpha_mean,beta_mean,xi,reset_share
kefrin_warm,0.903050174555598,0.8628476324145173,0.9450996777445752,0.022321428571428572,0.03720238095238095,0.8606150793650794,0.061507936507936505,0,168,0.23059774463899163,492.35686039909797,0.8014874723699336,0.8133530776950696,0.5255477391866553,0.5698046658444474,3.2534123107802784,0.5377644555035435,4.0,4,2.8,0.0,0.0,271.15470862661334,0.0
kefrin_fixed0.5,0.951643106015973,0.918999236481775,0.9753142271209347,0.00992063492063492,0.019345238095238096,0.8854166666666666,0.018849206349206348,0,168,0.23173178060041785,491.4389112374213,0.8025314278429408,0.8096746089766474,0.5261889096322773,0.5677977475643763,3.23869843590659,0.5358307573320942,4.0,4,2.7,0.5,0.5,271.15470862661334,0.0
kefrin_t_affect,0.9456114579449743,0.8984675326937325,0.9708122827724645,0.011408730158730158,0.0248015873015873,0.8819444444444444,0.022817460317460316,0,166,0.23175296040195895,491.5204157647863,0.8028396085840047,0.8119204510646711,0.5256092576968115,0.5690866150849071,3.2476818042586846,0.5366355931520447,4.0,4,4.2,0.4773250194970024,0.12089270832229312,271.15470862661334,0.0
kefrin_t_affect_fe_noreset,0.9705573603445995,0.895030397548435,0.9850407009724574,0.005952380952380952,0.02976190476190476,0.8983134920634921,0.007936507936507936,0,167,0.22937110483106962,490.2650840620886,0.8048394240213858,0.8106347788252083,0.5281108224758309,0.5676388907121958,3.242539115300833,0.5338623293334835,4.0,4,3.8,0.6460601441010574,0.9178016943954725,271.15470862661334,0.0
kefrin_t_affect_fe,0.9260834509469056,0.8574389867179691,0.9607552612709013,0.016865079365079364,0.03869047619047619,0.8705357142857143,0.036210317460317464,0,162,0.23104236849784685,491.4295759146546,0.8027297545554116,0.8116298081878992,0.5243279360082643,0.5693513954222938,3.246519232751597,0.5353086295637626,4.0,4,4.3,0.7239457877092504,0.8884766712889938,271.15470862661334,0.44564318783068785
kefrin_warm,0.8383133574432097,0.7582986334603439,0.8245644059188365,0.06547619047619048,0.11011904761904762,0.6001984126984127,0.19890873015873015,2,140,0.15855358508551534,428.36241995747764,0.7726040611294818,0.7753485219062984,0.47450645283026555,0.5668269051506031,3.8767426095314916,0.5755036498307852,5.0,5,3.6,0.0,0.0,271.15470862661334,0.0
kefrin_fixed0.5,0.9078898479071674,0.8475060758704167,0.9201524768875688,0.029265873015873016,0.06299603174603174,0.722718253968254,0.056051587301587304,0,137,0.16629193854017607,426.5980944683909,0.7748647062999813,0.7562798385118189,0.4782991957977151,0.5553948255707514,3.7813991925590944,0.5621489306142089,5.0,5,3.2,0.5,0.5,271.15470862661334,0.0
kefrin_t_affect,0.897871230341796,0.8480979268733707,0.9095792725515098,0.033234126984126984,0.062003968253968256,0.7108134920634921,0.07738095238095238,0,131,0.16530316584201457,426.8365763135416,0.7745628609325075,0.7602522589154298,0.47689126538349286,0.557969985048398,3.801261294577149,0.5656995435011226,5.0,5,4.6,0.47551048914043664,0.1407028576388651,271.15470862661334,0.0
kefrin_t_affect_fe_noreset,0.915413258568633,0.8522462780581507,0.9275730776787481,0.025297619047619048,0.061507936507936505,0.7276785714285714,0.051587301587301584,0,133,0.16472211481775897,425.9532845105247,0.7749287893364004,0.7546248087697845,0.4783935193827009,0.5544646910468604,3.7731240438489224,0.5596886228448352,5.0,5,4.5,0.5251891725766319,0.8951593050286724,271.15470862661334,0.0
kefrin_t_affect_fe,0.8983376089631301,0.8403124187287683,0.9126734063845188,0.03373015873015873,0.06299603174603174,0.7053571428571429,0.07390873015873016,0,129,0.1681310240525732,426.218679695693,0.7764530744272792,0.7583476600115292,0.4778300446898169,0.5566633949770076,3.7917383000576454,0.5611187767888438,5.0,5,4.9,0.6355969320648885,0.8712898307471958,271.15470862661334,0.24229083994708994
kefrin_warm,0.8681061006460735,0.8123728098424733,0.8670127612834699,0.05009920634920635,0.0798611111111111,0.6899801587301587,0.15128968253968253,0,110,0.16525146411593106,388.93105476068786,0.7573285334325703,0.6929922778999454,0.48418577034142424,0.5188577589903364,4.157953667399673,0.5359010749994861,6.0,6,3.7,0.0,0.0,271.15470862661334,0.0
kefrin_fixed0.5,0.9338424919333812,0.8848203724723117,0.9457172866492867,0.020337301587301588,0.042162698412698416,0.7936507936507936,0.043154761904761904,0,111,0.1663473773493243,388.1141696445404,0.7579187039259816,0.677493973450039,0.4877618831722352,0.5091706962746184,4.064963840700234,0.5237898223658445,6.0,6,3.6,0.5,0.5,271.15470862661334,0.0
kefrin_t_affect,0.9286732206929769,0.9009036417560798,0.9388492696914664,0.022817460317460316,0.036210317460317464,0.7837301587301587,0.056051587301587304,0,113,0.16599342336801157,388.08821255309516,0.7579037993773227,0.6833457227624938,0.4864483681709524,0.5128256214825759,4.100074336574964,0.5273082710401434,6.0,6,4.9,0.4829132719831911,0.15248053507408948,271.15470862661334,0.0
kefrin_t_affect_fe_noreset,0.9444571548593695,0.9133316765296512,0.9567665427611296,0.01636904761904762,0.02976190476190476,0.8169642857142857,0.030753968253968252,0,109,0.1666472890711773,387.8500463820512,0.7578022927623085,0.6677600009739875,0.4879414429867139,0.5036506633339858,4.006560005843926,0.5174041926381725,6.0,6,4.6,0.5672474437389934,0.9080033904531056,271.15470862661334,0.0
kefrin_t_affect_fe,0.920191265386101,0.8657006357942736,0.9363542847586136,0.025793650793650792,0.051587301587301584,0.7589285714285714,0.05505952380952381,0,109,0.1675676555357768,387.8425658833232,0.758347356977918,0.6817676870744359,0.4796940590062609,0.5137660317325253,4.090606122446616,0.5232912928462841,6.0,6,5.4,0.6448020321406552,0.8868626885189478,271.15470862661334,0.27622767857142855
temporal_leiden_w0.5,0.8669621482190343,0.8067442357668125,0.9058629390991345,0.03869047619047619,0.06398809523809523,0.5649801587301587,0.061507936507936505,0,0,0.12005078284811406,289.78687792697474,0.7777717936518439,0.9060197764395596,0.49623627336279713,0.6250866910529457,4.565341846143646,0.6515494363618665,5.041666666666667,5,24.3,,,,
temporal_leiden_w2.0,0.9927687062055942,0.9777828976011146,0.9968256902185502,0.000992063492063492,0.003472222222222222,0.9737103174603174,0.0,0,14,0.1569382633042983,260.25537033471255,0.767568534652349,0.888588648593534,0.42892186601442567,0.6433298799368493,4.44294324296767,0.5501600531028273,5.0,5,27.6,,,,
