,K4_before,K4_after,K6_before,K6_after,K5_beh_before,K5_beh_after
2023-02,16,24,71,74,96,151
2023-03,20,54,66,36,116,109
2023-04,10,7,41,33,135,123
2023-05,33,31,38,16,109,113
2023-06,78,36,78,57,126,105
2023-07,26,50,61,86,118,137
2023-08,35,23,26,29,196,158
2023-09,34,18,66,24,110,109
2023-10,23,15,59,40,85,79
2023-11,43,18,86,80,108,102
2023-12,57,30,46,70,90,92
2024-01,53,31,33,80,185,178
2024-02,30,23,75,53,119,146
2024-03,13,3,48,48,185,180
2024-04,35,29,52,32,139,135
2024-05,35,21,55,53,113,129
2024-06,24,14,42,33,277,254
2024-07,42,13,45,34,129,125
2024-08,3,18,104,34,111,106
2024-09,7,9,44,43,74,77
2024-10,40,19,41,46,132,128
2024-11,51,47,37,58,102,98
2024-12,44,46,55,82,81,83
