method,param,K,SW,CH,S_Dbw,WB,AVI,AVU,ANUI,modularity,density_modularity,MQ,conductance
kmeans,4.0,4,0.1932909666560346,422.95951955276837,0.835326356121312,6.342608553894903,0.8007571038750447,0.5383475170721734,0.5595452184208763,0.4815294758110176,9.461260725601743,3.203028415500179,0.19924289612495522
kefrin_e,4.0,4,0.10852471483978646,330.2441126039821,0.6619384110091938,8.123283850584894,0.8986789232909758,0.49999999999999933,0.6200610326794478,0.47472300692103114,7.006295990472358,3.594715693163903,0.1013210767090242
kefrin_c,4.0,4,0.1907822481847509,406.3187757617583,0.8111165077529856,6.60236943674891,0.8229074684959904,0.581798921280296,0.5564822909695533,0.5231379829789646,9.493366699215105,3.2916298739839616,0.17709253150400966
kmeans,5.0,5,0.19335103795147113,363.902489801875,0.8374975559055557,6.907757079014765,0.7319116576986777,0.5134749954275521,0.5319827763820959,0.4999256035417144,11.199577668840492,3.6595582884933884,0.26808834230132234
kefrin_e,5.0,5,0.13587481582997749,316.7280816109806,0.6642391649039205,7.936618651602541,0.8700500820398576,0.4223819211252574,0.6362371226457187,0.5050645961553473,10.545537970246794,4.350250410199288,0.12994991796014238
kefrin_c,5.0,5,0.12083610779401095,336.468720681325,0.7918864520066825,7.4709767817639525,0.822742140235453,0.5691744288413361,0.5603427260441147,0.6107087312018645,13.075011392636616,4.113710701177265,0.17725785976454705
kmeans,6.0,6,0.14620921939909234,327.2808313755452,0.7937834418428676,7.3698175046258685,0.7230284761926781,0.5578593268928846,0.51521674163604,0.541189777456801,13.964379456539737,4.338170857156069,0.276971523807322
kefrin_e,6.0,6,0.09594644627993283,289.38779996605547,0.678139340312545,8.334836507561556,0.808492417861971,0.4173598568699288,0.6045109199721869,0.538661596143762,12.522368171998547,4.850954507171826,0.1915075821380289
kefrin_c,6.0,6,0.120134176565229,307.18555394217054,0.7802413865104338,7.851931736523238,0.8068815096626624,0.5734633650620852,0.5516320091516675,0.6340160770727861,15.89115897186854,4.841289057975974,0.19311849033733766
kmeans,7.0,7,0.14021899695978682,306.13730370487474,0.7657251442997087,7.656150704171803,0.5868175145787796,0.5383411710970668,0.44594113120683887,0.43430968428356853,13.123883579171826,4.1077226020514575,0.4131824854212204
kefrin_e,7.0,7,0.11916287762599023,271.7529666177977,0.6974347587358114,8.62486751296363,0.7265895737751661,0.40177253056444723,0.5624090307545023,0.49644762122330394,13.544926104409722,5.086127016426163,0.2734104262248337
kefrin_c,7.0,7,0.11308166250585995,266.71889825769233,0.7639127578386332,8.787653775732167,0.8032382938383542,0.5425591458779725,0.5594343905707361,0.6615759918679303,19.24780978502731,5.62266805686848,0.19676170616164576
kmeans,8.0,8,0.14582238909951062,284.37704858365095,0.7463257017063012,8.069769182452498,0.5531961065781703,0.5343534054632803,0.42697989905401307,0.41936568574734767,14.518457185824438,4.425568852625363,0.44680389342182963
kefrin_e,8.0,8,0.09514420481890981,233.22276772425863,0.6736861338270521,9.839764638975439,0.7344066379265106,0.35371491780898173,0.5829685559443915,0.4947712487809203,14.16557881686434,5.875253103412085,0.26559336207348944
kefrin_c,8.0,8,0.10322288031016152,239.36980587943592,0.749115252575808,9.58707859759472,0.7775469004140955,0.5448726785040827,0.5461589717750895,0.6555975278815829,21.81507099812208,6.220375203312764,0.22245309958590453
kmeans,9.0,9,0.15043042481230168,266.2943621518985,0.7552864500726634,8.478868954469538,0.556806637859387,0.49208731888744434,0.4370547384662566,0.42381182471671897,17.474559924205998,5.011259740734484,0.4431933621406129
kefrin_e,9.0,9,0.0743222441011295,203.998706026697,0.5653990977929699,11.068084910815639,0.5416947892680094,0.5366354824968727,0.41969309388436044,0.4946713158928162,13.746210845547651,4.875253103412084,0.45830521073199054
kefrin_c,9.0,9,0.08185599959236435,219.19990350011219,0.7386221930000301,10.300529169707616,0.7681736220117062,0.5195968984524245,0.5490324594494069,0.6552252895889481,24.91266955047358,6.913562598105356,0.23182637798829372
kmeans,10.0,10,0.1395732456677801,250.64361383045966,0.7395982199188641,8.892661795071922,0.5618371163271769,0.5097432819577608,0.4367539696454202,0.44256763886847544,20.03114529488279,5.618371163271768,0.43816288367282297
