territory_id,cluster,name
1,2,городской округ город Майкоп
2,1,городской округ город Адыгейск
3,1,Гиагинский муниципальный район
4,1,Кошехабльский муниципальный район
5,1,Красногвардейский муниципальный район
6,1,Майкопский муниципальный район
7,4,Тахтамукайский муниципальный район
8,4,Теучежский муниципальный район
9,1,Шовгеновский муниципальный район
10,2,городской округ город Горно-Алтайск
11,3,Кош-Агачский муниципальный район
12,3,Майминский муниципальный район
13,3,Онгудайский муниципальный район
14,3,Турочакский муниципальный район
15,3,Улаганский муниципальный район
16,3,Усть-Канский муниципальный район
17,3,Усть-Коксинский муниципальный район
18,3,Чемальский муниципальный район
19,3,Чойский муниципальный район
20,3,Шебалинский муниципальный район
21,4,городской округ город Уфа
22,2,городской округ город Агидель
23,2,городской округ город Кумертау
25,2,городской округ город Нефтекамск
26,2,городской округ город Октябрьский
27,2,городской округ город Салават
28,2,городской округ город Сибай
29,2,городской округ город Стерлитамак
30,3,Абзелиловский муниципальный район
31,1,Альшеевский муниципальный район
32,1,Архангельский муниципальный район
33,1,Аскинский муниципальный район
34,1,Аургазинский муниципальный район
35,3,Баймакский муниципальный район
36,1,Бакалинский муниципальный район
37,1,Балтачевский муниципальный район
38,2,Белебеевский муниципальный район
39,1,Белокатайский муниципальный район
40,2,Белорецкий муниципальный район
41,1,Бижбулякский муниципальный район
42,2,Бирский муниципальный район
43,1,Благоварский муниципальный район
44,2,Благовещенский муниципальный район
45,1,Буздякский муниципальный район
46,1,Бураевский муниципальный район
47,1,Бурзянский муниципальный район
48,1,Гафурийский муниципальный район
49,2,Давлекановский муниципальный район
50,3,Дуванский муниципальный район
51,2,Дюртюлинский муниципальный район
52,1,Ермекеевский муниципальный район
53,3,Зианчуринский муниципальный район
54,1,Зилаирский муниципальный район
55,2,Иглинский муниципальный район
56,1,Илишевский муниципальный район
57,2,Ишимбайский муниципальный район
58,1,Калтасинский муниципальный район
59,1,Караидельский муниципальный район
60,1,Кармаскалинский муниципальный район
61,1,Кигинский муниципальный район
