territory_id,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12
1,5,5,5,5,5,5,5,5,5,5,5,17,17,17,5,5,17,5,17,19,19,19,18,5
2,5,5,5,5,5,5,11,11,5,6,6,17,17,17,17,17,17,17,17,17,17,17,17,17
3,6,12,6,6,12,10,10,10,10,10,10,10,8,10,10,0,0,8,8,3,8,8,8,8
4,5,5,5,5,5,5,4,5,5,5,5,17,17,17,17,3,17,17,17,17,17,17,17,17
5,12,12,0,5,15,6,4,4,9,9,9,0,0,6,3,3,3,17,17,3,4,4,0,0
6,3,3,15,15,15,15,15,15,9,5,3,3,3,3,3,3,5,18,19,19,19,18,18,18
7,10,10,7,7,13,13,13,7,7,7,7,3,7,7,5,5,5,5,5,5,7,7,7,5
8,3,3,15,15,15,5,15,15,9,5,3,3,3,3,3,3,5,18,5,19,19,18,18,18
9,20,3,15,15,3,3,12,3,9,3,6,17,6,17,17,3,3,17,3,3,4,4,18,18
10,3,3,15,7,7,15,15,15,9,5,5,3,3,5,5,5,5,5,1,1,18,18,5,5
11,3,3,15,15,15,15,15,15,9,9,3,3,6,3,3,3,3,18,18,18,18,18,18,18
12,3,3,15,15,15,15,15,15,9,9,3,3,3,3,3,5,5,5,1,1,18,18,5,5
13,3,3,15,15,15,15,15,15,9,9,3,3,6,3,3,3,3,18,18,18,18,18,18,18
14,3,3,15,15,15,15,15,15,9,9,9,3,9,9,3,3,3,3,18,19,18,3,3,18
15,3,3,15,15,15,15,15,15,9,9,3,3,6,3,3,3,3,18,18,18,18,18,18,18
16,3,3,15,15,15,15,15,15,9,9,3,3,3,3,3,3,3,18,18,18,18,18,18,18
17,3,3,15,15,15,15,15,15,9,9,3,3,6,3,3,3,3,18,18,18,18,18,18,18
18,3,3,15,15,15,15,15,15,9,9,3,12,6,0,3,3,3,3,18,19,18,18,18,18
19,15,15,15,0,15,15,12,12,9,9,9,9,0,9,9,0,3,3,22,0,16,3,3,3
20,3,3,15,15,15,15,15,15,9,9,3,3,6,3,3,3,3,18,18,18,18,18,18,18
21,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
22,1,1,1,15,1,3,3,6,6,6,10,1,1,10,10,9,8,6,8,8,8,8,8,8
23,1,1,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
25,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
26,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
27,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
28,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
29,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
30,20,20,7,15,15,15,3,3,3,3,3,3,6,1,3,3,6,6,5,18,6,6,18,6
31,20,20,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6
32,20,20,3,15,3,3,12,4,4,4,6,12,8,8,8,8,4,1,3,22,3,3,16,16
33,20,20,3,1,1,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6
34,20,20,3,3,1,3,3,3,3,6,6,6,6,6,6,6,6,1,1,6,6,6,6,6
35,3,20,7,7,3,15,3,3,3,3,3,3,11,11,17,5,6,6,5,18,6,6,6,6
36,20,20,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6
37,20,20,3,3,15,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6
38,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
39,20,20,3,15,15,15,15,15,3,3,6,1,6,6,6,6,16,1,1,1,3,3,6,6
40,20,20,1,15,15,15,3,3,3,3,3,3,1,1,3,3,6,5,5,1,6,5,5,5
41,20,20,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6
42,3,3,7,7,3,5,5,5,5,5,5,3,11,5,5,5,6,5,5,1,5,5,5,5
43,20,20,3,15,12,3,3,4,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
44,7,7,7,7,3,5,5,5,5,5,5,5,5,5,14,5,5,11,11,11,5,5,5,5
45,20,20,3,3,15,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6
46,20,20,3,15,15,3,3,3,3,3,6,6,6,6,3,3,3,6,6,6,6,6,6,6
47,20,20,3,3,15,15,3,3,3,3,3,6,3,11,17,17,6,6,6,6,6,6,6,6
48,20,20,3,3,15,3,3,3,3,3,6,6,6,6,6,6,6,1,6,6,6,6,6,6
49,3,3,7,7,3,3,3,5,5,5,10,1,1,1,11,9,6,6,3,8,19,19,6,6
50,1,20,15,15,15,15,15,15,3,3,3,1,6,6,3,3,1,1,1,1,6,6,6,6
51,20,20,7,7,1,5,5,5,5,5,3,5,1,5,5,5,5,5,5,5,5,5,5,5
52,20,20,3,3,3,3,6,3,3,6,6,6,6,6,6,6,6,1,1,6,6,6,6,6
53,20,20,3,15,15,15,3,3,3,3,3,6,6,6,3,3,1,6,6,6,6,6,6,6
54,20,20,3,3,15,3,3,3,3,3,6,6,11,11,17,17,6,6,6,18,3,6,6,6
55,3,3,15,15,15,15,15,15,9,9,3,3,3,3,3,3,3,18,18,1,18,18,18,18
56,20,20,3,3,1,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6
57,7,1,7,7,7,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5
58,20,20,3,15,15,3,3,3,3,6,6,6,1,10,0,8,8,6,6,8,21,3,3,3
59,20,20,15,15,15,15,15,3,3,3,3,6,6,6,3,3,6,6,6,6,6,6,6,6
60,20,20,3,15,15,3,3,3,3,3,3,6,6,6,3,3,6,6,6,6,6,6,6,6
61,20,20,3,3,15,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6
62,20,20,3,3,1,3,3,3,3,3,3,6,6,6,6,6,6,1,1,18,6,6,6,6
63,20,20,3,15,15,3,3,3,3,3,6,6,6,6,6,6,6,1,1,1,6,6,6,6
65,20,20,3,15,1,3,3,4,3,1,6,6,6,6,6,6,6,6,1,8,1,6,6,6
66,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
67,20,20,3,15,15,15,15,15,3,3,6,6,6,6,6,6,3,1,1,1,6,6,6,6
68,20,20,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6
69,20,20,3,3,1,3,3,3,3,6,6,6,6,6,6,6,16,1,1,6,6,6,6,6
70,20,20,12,15,3,9,10,10,6,6,10,11,8,9,11,9,11,6,8,16,8,4,4,8
71,3,3,7,15,15,15,3,3,3,3,3,6,6,6,3,3,6,6,6,6,6,6,6,6
72,20,20,3,3,3,3,3,3,3,3,6,6,6,6,6,6,4,1,1,6,6,6,6,6
73,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5
74,20,20,3,4,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6
75,7,7,7,7,7,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5
76,7,7,7,7,7,5,5,5,7,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5
77,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
78,20,20,3,3,1,4,3,4,3,4,4,4,8,8,6,8,16,1,1,6,6,6,6,6
79,20,20,3,15,15,15,3,3,3,3,3,6,6,6,3,3,6,6,1,18,6,6,6,6
80,20,20,3,3,1,3,3,3,3,4,6,6,6,6,6,6,16,1,1,6,6,6,6,6
81,3,3,7,15,3,15,3,3,3,5,3,3,11,5,17,5,6,5,5,5,5,5,5,5
82,20,20,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
83,20,20,7,15,1,3,3,3,3,3,3,6,6,11,17,5,6,5,5,5,6,6,6,5
