method,K,date,alpha,beta
kefrin_t_affect,5,2023-01,0.0,0.0
kefrin_t_affect,5,2023-02,0.49876763479010383,0.500445690886845
kefrin_t_affect,5,2023-03,0.5020599794682822,0.575611515337823
kefrin_t_affect,5,2023-04,0.5054806539637581,0.6021368420729791
kefrin_t_affect,5,2023-05,0.5075095531243276,0.6322146497710113
kefrin_t_affect,5,2023-06,0.5068593418207283,0.6356710426279509
kefrin_t_affect,5,2023-07,0.5071462326026893,0.6499350230501333
kefrin_t_affect,5,2023-08,0.5082048114444911,0.6537567928945915
kefrin_t_affect,5,2023-09,0.5042191476251885,0.6526778345553409
kefrin_t_affect,5,2023-10,0.5066473338376317,0.650148544882544
kefrin_t_affect,5,2023-11,0.5049903110452847,0.6541449383098715
kefrin_t_affect,5,2023-12,0.5058605438410214,0.6527350905023668
kefrin_t_affect,5,2024-01,0.5039426102072139,0.6637809586104182
kefrin_t_affect,5,2024-02,0.5076591904124373,0.668286015074358
kefrin_t_affect,5,2024-03,0.5075612958839414,0.6662902322790654
kefrin_t_affect,5,2024-04,0.507279257770546,0.656592576918711
kefrin_t_affect,5,2024-05,0.5070749319892695,0.6599522324645726
kefrin_t_affect,5,2024-06,0.5074724841788889,0.6570496058927003
kefrin_t_affect,5,2024-07,0.5076880001961107,0.6585279789023062
kefrin_t_affect,5,2024-08,0.5074330778600136,0.6647417637955428
kefrin_t_affect,5,2024-09,0.5048784645577575,0.6675578977470145
kefrin_t_affect,5,2024-10,0.5069095844822726,0.6678919369455831
kefrin_t_affect,5,2024-11,0.5058044085435607,0.6635830245454142
kefrin_t_affect,5,2024-12,0.5074030726616316,0.6596181767194289
kefrin_t_affect_fe,5,2023-01,0.0,0.0
kefrin_t_affect_fe,5,2023-02,0.9120168701365519,0.9793429777907333
kefrin_t_affect_fe,5,2023-03,0.658701826061371,0.684413202431221
kefrin_t_affect_fe,5,2023-04,0.7651358044247892,0.8433439317641361
kefrin_t_affect_fe,5,2023-05,0.8014292726330654,0.866426725083028
kefrin_t_affect_fe,5,2023-06,0.804076355414261,0.8953218773597794
kefrin_t_affect_fe,5,2023-07,0.8063158382222683,0.9086078949323081
kefrin_t_affect_fe,5,2023-08,0.7900196360665643,0.9169174320680454
kefrin_t_affect_fe,5,2023-09,0.7923439935552383,0.9238940216444747
kefrin_t_affect_fe,5,2023-10,0.7831101406992267,0.9294471143204642
kefrin_t_affect_fe,5,2023-11,0.7591410475265228,0.9397799282630712
kefrin_t_affect_fe,5,2023-12,0.7338908837905517,0.9437641535433875
kefrin_t_affect_fe,5,2024-01,0.710555875782933,0.9514795647245425
kefrin_t_affect_fe,5,2024-02,0.6992958414983043,0.9510288892973054
kefrin_t_affect_fe,5,2024-03,0.6646233903784079,0.9522221000028281
kefrin_t_affect_fe,5,2024-04,0.637561045101601,0.9559621386139738
kefrin_t_affect_fe,5,2024-05,0.6199757305035815,0.959151349019467
kefrin_t_affect_fe,5,2024-06,0.6182498050706162,0.9609985360094311
kefrin_t_affect_fe,5,2024-07,0.6263640108324131,0.9628410897938141
kefrin_t_affect_fe,5,2024-08,0.6146517760911968,0.964506226614314
kefrin_t_affect_fe,5,2024-09,0.5905040445444195,0.96599066471703
kefrin_t_affect_fe,5,2024-10,0.5849515975102149,0.9681418732337116
kefrin_t_affect_fe,5,2024-11,0.5972715242847544,0.9692980495314992
kefrin_t_affect_fe,5,2024-12,0.6024591664530469,0.9703731645856282
kefrin_t_affect,6,2023-01,0.0,0.0
kefrin_t_affect,6,2023-02,0.4981059857916552,0.500342708154409
kefrin_t_affect,6,2023-03,0.5019449708159207,0.5756729927182369
kefrin_t_affect,6,2023-04,0.506399566496002,0.6023754115904775
kefrin_t_affect,6,2023-05,0.5081687962381115,0.6323857382033536
kefrin_t_affect,6,2023-06,0.5079509980913344,0.6358302451492398
kefrin_t_affect,6,2023-07,0.5081492944039478,0.6500956909452901
kefrin_t_affect,6,2023-08,0.5090130764432271,0.6540185366785927
kefrin_t_affect,6,2023-09,0.5044222016248031,0.6529870923152337
kefrin_t_affect,6,2023-10,0.5063023818855147,0.6502979141070856
kefrin_t_affect,6,2023-11,0.5039869554686203,0.6542837538619691
kefrin_t_affect,6,2023-12,0.5071852143800629,0.6529475148212289
kefrin_t_affect,6,2024-01,0.5045701692546734,0.6640425088149802
kefrin_t_affect,6,2024-02,0.5091635914702087,0.6684823618454716
kefrin_t_affect,6,2024-03,0.5082690682987442,0.6666221061627762
kefrin_t_affect,6,2024-04,0.5087288410572954,0.6570744436916953
kefrin_t_affect,6,2024-05,0.5071729580804661,0.660346116392474
kefrin_t_affect,6,2024-06,0.5094322761848864,0.6576917023975904
kefrin_t_affect,6,2024-07,0.5070292157047389,0.6589211692230693
kefrin_t_affect,6,2024-08,0.5064469853449636,0.665113375254283
kefrin_t_affect,6,2024-09,0.504327240961603,0.6679417256643996
kefrin_t_affect,6,2024-10,0.5069949966114125,0.6682702808401372
kefrin_t_affect,6,2024-11,0.5062096063308578,0.6640460731716394
kefrin_t_affect,6,2024-12,0.5079129548736545,0.6599436626788711
kefrin_t_affect_fe,6,2023-01,0.0,0.0
kefrin_t_affect_fe,6,2023-02,0.9544270384710164,0.9782727462285035
kefrin_t_affect_fe,6,2023-03,0.6742954831968342,0.6847191978579082
kefrin_t_affect_fe,6,2023-04,0.7058773337741244,0.8428277650205467
kefrin_t_affect_fe,6,2023-05,0.7630339139873306,0.8658876474095084
kefrin_t_affect_fe,6,2023-06,0.7294374752015509,0.8942916275813516
kefrin_t_affect_fe,6,2023-07,0.7031508953918622,0.9074793359456513
kefrin_t_affect_fe,6,2023-08,0.7185406006608368,0.9163293436954731
kefrin_t_affect_fe,6,2023-09,0.7049172377609417,0.9236907596922428
kefrin_t_affect_fe,6,2023-10,0.6858536030504687,0.928939851251582
kefrin_t_affect_fe,6,2023-11,0.5922435389931914,0.9358226808502715
kefrin_t_affect_fe,6,2023-12,0.6087640722644666,0.9414076858121684
kefrin_t_affect_fe,6,2024-01,0.5951051515416339,0.9496265805576436
kefrin_t_affect_fe,6,2024-02,0.5971220401854894,0.9494998565230288
kefrin_t_affect_fe,6,2024-03,0.5714843489674957,0.9505194918683085
kefrin_t_affect_fe,6,2024-04,0.5797291338946575,0.9551901701794514
kefrin_t_affect_fe,6,2024-05,0.5504168160209923,0.9572134541350099
kefrin_t_affect_fe,6,2024-06,0.5319060865549481,0.9553383068619794
kefrin_t_affect_fe,6,2024-07,0.5390234769077827,0.957578174078181
kefrin_t_affect_fe,6,2024-08,0.5487873776402058,0.9607547195644228
kefrin_t_affect_fe,6,2024-09,0.5401694112301738,0.9632181964736231
kefrin_t_affect_fe,6,2024-10,0.5377131846421379,0.9660461546360593
kefrin_t_affect_fe,6,2024-11,0.5465186167999246,0.9677656696300099
kefrin_t_affect_fe,6,2024-12,0.5602392242296136,0.9689130545632033
kefrin_t_affect,7,2023-01,0.0,0.0
kefrin_t_affect,7,2023-02,0.49852963086040464,0.5002068745504598
kefrin_t_affect,7,2023-03,0.5024159538696581,0.5757386567946822
kefrin_t_affect,7,2023-04,0.5061518029980372,0.6024188044757298
kefrin_t_affect,7,2023-05,0.507939756707018,0.6325124235856833
kefrin_t_affect,7,2023-06,0.5079417504017602,0.6359668806838397
kefrin_t_affect,7,2023-07,0.5087858140196092,0.6501047437043139
kefrin_t_affect,7,2023-08,0.5087584468803927,0.6539324111534237
kefrin_t_affect,7,2023-09,0.5058042017338379,0.6527284548036387
kefrin_t_affect,7,2023-10,0.5076528562034239,0.6501193690208309
kefrin_t_affect,7,2023-11,0.5045808305777683,0.6549070695005127
kefrin_t_affect,7,2023-12,0.5056448938179174,0.6534354752789383
kefrin_t_affect,7,2024-01,0.5043142715457435,0.6644984202057074
