method,K,date,alpha,beta
kefrin_t_affect,4,2023-01,0.0,0.0
kefrin_t_affect,4,2023-02,0.4973397663150396,0.49954939948297483
kefrin_t_affect,4,2023-03,0.5020545006777801,0.5777325059569011
kefrin_t_affect,4,2023-04,0.5060235069198095,0.6021832343681285
kefrin_t_affect,4,2023-05,0.5081524038714663,0.6323540078977377
kefrin_t_affect,4,2023-06,0.5080091492804159,0.6358150037293306
kefrin_t_affect,4,2023-07,0.5068756159254117,0.6497336939308296
kefrin_t_affect,4,2023-08,0.5078541784442459,0.6532530733086626
kefrin_t_affect,4,2023-09,0.5044622889325633,0.6526141017919707
kefrin_t_affect,4,2023-10,0.5066029289661195,0.6499150920942627
kefrin_t_affect,4,2023-11,0.5053300107508636,0.6538418958645322
kefrin_t_affect,4,2023-12,0.5054142331095387,0.6524437507655205
kefrin_t_affect,4,2024-01,0.5051767029470677,0.6633443306130302
kefrin_t_affect,4,2024-02,0.5073253299185014,0.667486907646555
kefrin_t_affect,4,2024-03,0.5068295779956123,0.6657021574228578
kefrin_t_affect,4,2024-04,0.5070637050719002,0.6557924112841698
kefrin_t_affect,4,2024-05,0.5058895711473617,0.6592007495868352
kefrin_t_affect,4,2024-06,0.5073376656544318,0.6565376989000176
kefrin_t_affect,4,2024-07,0.507122095718728,0.6579785898660805
kefrin_t_affect,4,2024-08,0.5061066087376529,0.6642317114820718
kefrin_t_affect,4,2024-09,0.5033543380575282,0.66710957261906
kefrin_t_affect,4,2024-10,0.506186775416795,0.6670408616268768
kefrin_t_affect,4,2024-11,0.5055677326099306,0.6628200622163168
kefrin_t_affect,4,2024-12,0.5068513448357174,0.6589430428747239
kefrin_t_affect_fe,4,2023-01,0.0,0.0
kefrin_t_affect_fe,4,2023-02,0.8223488562456301,0.9945815024577596
kefrin_t_affect_fe,4,2023-03,0.7459793713132946,0.6745700297001803
kefrin_t_affect_fe,4,2023-04,0.7786119499221653,0.8439835558791898
kefrin_t_affect_fe,4,2023-05,0.7385452916576705,0.8687904906870756
kefrin_t_affect_fe,4,2023-06,0.6874426008686604,0.8956593048643217
kefrin_t_affect_fe,4,2023-07,0.6987773806526814,0.9083738478983947
kefrin_t_affect_fe,4,2023-08,0.6889304966478185,0.9172196909513808
kefrin_t_affect_fe,4,2023-09,0.6889166759419167,0.9247685476732534
kefrin_t_affect_fe,4,2023-10,0.7040267293671609,0.9297882418853454
kefrin_t_affect_fe,4,2023-11,0.7113640051879839,0.9396576657063652
kefrin_t_affect_fe,4,2023-12,0.6813850060612046,0.9447534826128987
kefrin_t_affect_fe,4,2024-01,0.6699697555453675,0.9514862804018545
kefrin_t_affect_fe,4,2024-02,0.6729080392316277,0.9518473095037886
kefrin_t_affect_fe,4,2024-03,0.6507602773478744,0.9536692709079958
kefrin_t_affect_fe,4,2024-04,0.5917127644421835,0.9555358915711758
kefrin_t_affect_fe,4,2024-05,0.5772118670967527,0.9589269387843149
kefrin_t_affect_fe,4,2024-06,0.5848215095430994,0.9607340993685499
kefrin_t_affect_fe,4,2024-07,0.5963510441339287,0.9624929475439814
kefrin_t_affect_fe,4,2024-08,0.6014085879161518,0.9651977479419517
kefrin_t_affect_fe,4,2024-09,0.576178954766463,0.9667292670232632
kefrin_t_affect_fe,4,2024-10,0.5713110252245226,0.9676757726997887
kefrin_t_affect_fe,4,2024-11,0.5809951629870485,0.9690115347956062
kefrin_t_affect_fe,4,2024-12,0.591214647358439,0.9705880247714072
