method,K,date,alpha,beta
kefrin_t_affect,4,2023-01,0.0,0.0
kefrin_t_affect,4,2023-02,0.468185619821869,0.16917637004753638
kefrin_t_affect,4,2023-03,0.47366222531882646,0.19378515876057661
kefrin_t_affect,4,2023-04,0.47923012497191647,0.19366818437887354
kefrin_t_affect,4,2023-05,0.48087201589213746,0.19923067068601794
kefrin_t_affect,4,2023-06,0.47997182177826236,0.19603172714060638
kefrin_t_affect,4,2023-07,0.4795347762496149,0.20157608161774057
kefrin_t_affect,4,2023-08,0.4806315324006795,0.19981428961503322
kefrin_t_affect,4,2023-09,0.4758590884819799,0.196313070038656
kefrin_t_affect,4,2023-10,0.47941766365633304,0.19615000767523721
kefrin_t_affect,4,2023-11,0.47878133888121466,0.1968541710243252
kefrin_t_affect,4,2023-12,0.4787885994211514,0.19613997942263156
kefrin_t_affect,4,2024-01,0.4776557089762092,0.2012445981738213
kefrin_t_affect,4,2024-02,0.4798465896138704,0.1989909332361916
kefrin_t_affect,4,2024-03,0.47987819639168233,0.19560045130123618
kefrin_t_affect,4,2024-04,0.48028355646320936,0.18977629225041895
kefrin_t_affect,4,2024-05,0.47756727300727475,0.19284520051391088
kefrin_t_affect,4,2024-06,0.4800652770312186,0.19192181973163144
kefrin_t_affect,4,2024-07,0.47857670599395075,0.1951009838507474
kefrin_t_affect,4,2024-08,0.47834574522027784,0.20012155310573368
kefrin_t_affect,4,2024-09,0.47503855676124424,0.19774859605672332
kefrin_t_affect,4,2024-10,0.47784782460993375,0.1932298581797216
kefrin_t_affect,4,2024-11,0.47608529986270187,0.1883210857097276
kefrin_t_affect,4,2024-12,0.47808407521849206,0.18986062951222582
kefrin_t_affect_fe_noreset,4,2023-01,0.0,0.0
kefrin_t_affect_fe_noreset,4,2023-02,0.7557222959702647,0.95
kefrin_t_affect_fe_noreset,4,2023-03,0.4738703400291311,0.6493503405010982
kefrin_t_affect_fe_noreset,4,2023-04,0.7188212160148971,0.8571641006312024
kefrin_t_affect_fe_noreset,4,2023-05,0.8597218149320852,0.8754272548373443
kefrin_t_affect_fe_noreset,4,2023-06,0.8516093758119675,0.900687800370221
kefrin_t_affect_fe_noreset,4,2023-07,0.5759778669008561,0.909904874723984
kefrin_t_affect_fe_noreset,4,2023-08,0.5983111824186694,0.9065900783696663
kefrin_t_affect_fe_noreset,4,2023-09,0.6398679876164611,0.9077781676259279
kefrin_t_affect_fe_noreset,4,2023-10,0.6801827243719577,0.9204961872250351
kefrin_t_affect_fe_noreset,4,2023-11,0.6140098600241087,0.9355156872355781
kefrin_t_affect_fe_noreset,4,2023-12,0.5890401717298112,0.9386089314025845
kefrin_t_affect_fe_noreset,4,2024-01,0.5998862441732262,0.942737592087802
kefrin_t_affect_fe_noreset,4,2024-02,0.6341787038890954,0.9410271521506264
kefrin_t_affect_fe_noreset,4,2024-03,0.434946697139564,0.9465666683011659
kefrin_t_affect_fe_noreset,4,2024-04,0.42997160531748924,0.9408627096418063
kefrin_t_affect_fe_noreset,4,2024-05,0.39342125494899793,0.939135758849333
kefrin_t_affect_fe_noreset,4,2024-06,0.49571202137770665,0.9353184686575982
kefrin_t_affect_fe_noreset,4,2024-07,0.4918774057424855,0.9449975836085768
kefrin_t_affect_fe_noreset,4,2024-08,0.5419696913183795,0.948239016033774
kefrin_t_affect_fe_noreset,4,2024-09,0.4668483070247417,0.95
kefrin_t_affect_fe_noreset,4,2024-10,0.4882974169621076,0.95
kefrin_t_affect_fe_noreset,4,2024-11,0.48586118226735886,0.95
kefrin_t_affect_fe_noreset,4,2024-12,0.48766211401147547,0.95
kefrin_t_affect_fe,4,2023-01,0.0,0.0
kefrin_t_affect_fe,4,2023-02,0.7557222959702647,0.95
kefrin_t_affect_fe,4,2023-03,0.5359627550430224,0.7915285489689498
kefrin_t_affect_fe,4,2023-04,0.741855791336818,0.8520789704108453
kefrin_t_affect_fe,4,2023-05,0.7812315651698915,0.8990442870080185
kefrin_t_affect_fe,4,2023-06,0.6660590573513443,0.8479047034858406
kefrin_t_affect_fe,4,2023-07,0.5969268445089361,0.95
kefrin_t_affect_fe,4,2023-08,0.7075008098501299,0.95
kefrin_t_affect_fe,4,2023-09,0.6903578933379763,0.95
kefrin_t_affect_fe,4,2023-10,0.7867706427065275,0.95
kefrin_t_affect_fe,4,2023-11,0.894601584508612,0.95
kefrin_t_affect_fe,4,2023-12,0.5820206235862738,0.95
kefrin_t_affect_fe,4,2024-01,0.7425110196104994,0.7616819672301146
kefrin_t_affect_fe,4,2024-02,0.6212420601924331,0.8800436342214091
kefrin_t_affect_fe,4,2024-03,0.6216334421346336,0.8889930583423117
kefrin_t_affect_fe,4,2024-04,0.7186218454154045,0.8765780381112327
kefrin_t_affect_fe,4,2024-05,0.7482706487219631,0.8754157162335324
kefrin_t_affect_fe,4,2024-06,0.7256663978919499,0.9036581156592538
kefrin_t_affect_fe,4,2024-07,0.6953226585327817,0.8428261549337112
kefrin_t_affect_fe,4,2024-08,0.7673569349193264,0.9227214273144432
kefrin_t_affect_fe,4,2024-09,0.6410037240583674,0.8379508537317811
kefrin_t_affect_fe,4,2024-10,0.6556237753425456,0.8374048230860666
kefrin_t_affect_fe,4,2024-11,0.6927853456520933,0.9238341782696208
kefrin_t_affect_fe,4,2024-12,0.7190134991504159,0.95
kefrin_t_affect,5,2023-01,0.0,0.0
kefrin_t_affect,5,2023-02,0.4678614927374846,0.17857830365373367
kefrin_t_affect,5,2023-03,0.4739630130390502,0.20672848009584185
kefrin_t_affect,5,2023-04,0.4780218468724886,0.20778352015731094
kefrin_t_affect,5,2023-05,0.4797960189482417,0.21536428790568776
kefrin_t_affect,5,2023-06,0.4826484786748814,0.21456987174835332
kefrin_t_affect,5,2023-07,0.48286079140690485,0.22036846076000832
kefrin_t_affect,5,2023-08,0.48234495022474977,0.21931398651628006
kefrin_t_affect,5,2023-09,0.4793436789069889,0.2148666171922896
kefrin_t_affect,5,2023-10,0.4806257898826301,0.21496622503432722
kefrin_t_affect,5,2023-11,0.47947843767901965,0.21626294277839356
kefrin_t_affect,5,2023-12,0.47710389636147543,0.21551733135060472
kefrin_t_affect,5,2024-01,0.47984197807830287,0.21965996270965554
kefrin_t_affect,5,2024-02,0.4823291520522823,0.21741062884633428
kefrin_t_affect,5,2024-03,0.47989715516499504,0.21382627458742748
kefrin_t_affect,5,2024-04,0.48009481851065544,0.20816170829813968
kefrin_t_affect,5,2024-05,0.47834071848042853,0.21200224755693423
kefrin_t_affect,5,2024-06,0.4796434571986723,0.2111615627804922
kefrin_t_affect,5,2024-07,0.47790326309135384,0.21558576957471817
kefrin_t_affect,5,2024-08,0.4777696964225733,0.21965995349335715
kefrin_t_affect,5,2024-09,0.47620925956188503,0.21599150600716624
kefrin_t_affect,5,2024-10,0.4768726099425406,0.21170101029373975
kefrin_t_affect,5,2024-11,0.4714731143263479,0.20768549090395544
kefrin_t_affect,5,2024-12,0.47641086036937474,0.20698781572650654
kefrin_t_affect_fe_noreset,5,2023-01,0.0,0.0
kefrin_t_affect_fe_noreset,5,2023-02,0.4674575893198916,0.95
kefrin_t_affect_fe_noreset,5,2023-03,0.3676230401170376,0.6311902582478504
kefrin_t_affect_fe_noreset,5,2023-04,0.6520593846540147,0.8491498838833499
kefrin_t_affect_fe_noreset,5,2023-05,0.7405561768780904,0.868159679886297
kefrin_t_affect_fe_noreset,5,2023-06,0.7715380752559706,0.8954467382026654
kefrin_t_affect_fe_noreset,5,2023-07,0.7711858343050528,0.9065906302082823
kefrin_t_affect_fe_noreset,5,2023-08,0.7656842863208001,0.9157104785086845
kefrin_t_affect_fe_noreset,5,2023-09,0.7924794890562356,0.9162142155339849
kefrin_t_affect_fe_noreset,5,2023-10,0.6703056220980583,0.9211045771515393
kefrin_t_affect_fe_noreset,5,2023-11,0.6639959877976142,0.9286368417696369
kefrin_t_affect_fe_noreset,5,2023-12,0.6518191573482731,0.9299842026227613
kefrin_t_affect_fe_noreset,5,2024-01,0.6369341378021458,0.9371167805182424
kefrin_t_affect_fe_noreset,5,2024-02,0.5876316933822103,0.9388295065785712
kefrin_t_affect_fe_noreset,5,2024-03,0.4137891024191487,0.9350728114452879
kefrin_t_affect_fe_noreset,5,2024-04,0.4913838421250556,0.9089010845988782
kefrin_t_affect_fe_noreset,5,2024-05,0.49961782158815676,0.9295856997340813
kefrin_t_affect_fe_noreset,5,2024-06,0.42839295224577223,0.9330468392522973
kefrin_t_affect_fe_noreset,5,2024-07,0.4604719908681325,0.9150522332501938
kefrin_t_affect_fe_noreset,5,2024-08,0.48666994364737565,0.9203922918686192
kefrin_t_affect_fe_noreset,5,2024-09,0.49473268260320186,0.9285363724725206
kefrin_t_affect_fe_noreset,5,2024-10,0.47075596081535964,0.9403421578007457
kefrin_t_affect_fe_noreset,5,2024-11,0.4844717876270068,0.9410081471407784
kefrin_t_affect_fe_noreset,5,2024-12,0.4883414374632298,0.9410842103743203
kefrin_t_affect_fe,5,2023-01,0.0,0.0
kefrin_t_affect_fe,5,2023-02,0.4674575893198916,0.95
kefrin_t_affect_fe,5,2023-03,0.3584264173754996,0.7207731445343961
kefrin_t_affect_fe,5,2023-04,0.6534308910334868,0.8911408325336249
kefrin_t_affect_fe,5,2023-05,0.8142291313395582,0.8399865143721241
kefrin_t_affect_fe,5,2023-06,0.6541866792044344,0.8846910252722712
kefrin_t_affect_fe,5,2023-07,0.5687004695791829,0.8928340038248149
kefrin_t_affect_fe,5,2023-08,0.5528958957061227,0.8906283316687698
kefrin_t_affect_fe,5,2023-09,0.6159631590353272,0.8977942748933212
kefrin_t_affect_fe,5,2023-10,0.6843632916559419,0.8723516241372113
kefrin_t_affect_fe,5,2023-11,0.7545566890143323,0.8411479019623805
kefrin_t_affect_fe,5,2023-12,0.8095025939128317,0.8526028561633524
kefrin_t_affect_fe,5,2024-01,0.751230645535649,0.8670095773772141
kefrin_t_affect_fe,5,2024-02,0.7628409303254952,0.8577142488656007
kefrin_t_affect_fe,5,2024-03,0.5878947158725537,0.8800150605227516
kefrin_t_affect_fe,5,2024-04,0.6377057734932842,0.897813752259426
kefrin_t_affect_fe,5,2024-05,0.6258430739649805,0.9250726044162879
kefrin_t_affect_fe,5,2024-06,0.5334254576145412,0.8542412651827114
kefrin_t_affect_fe,5,2024-07,0.5933892977719057,0.8549243256545463
kefrin_t_affect_fe,5,2024-08,0.5057441461672305,0.8609027456393159
kefrin_t_affect_fe,5,2024-09,0.5807645499750814,0.8776686996933128
kefrin_t_affect_fe,5,2024-10,0.6720336777496259,0.9139335151099831
kefrin_t_affect_fe,5,2024-11,0.7461768364745486,0.8828598864076859
kefrin_t_affect_fe,5,2024-12,0.6718903094012154,0.8589700215874159
kefrin_t_affect,6,2023-01,0.0,0.0
kefrin_t_affect,6,2023-02,0.47180024327177705,0.18498001145276907
kefrin_t_affect,6,2023-03,0.47885084737025685,0.2138315077977657
kefrin_t_affect,6,2023-04,0.4823754714011341,0.21554925681812814
kefrin_t_affect,6,2023-05,0.4841312576954834,0.22529975095710053
kefrin_t_affect,6,2023-06,0.4856204725308044,0.2262763430699146
kefrin_t_affect,6,2023-07,0.4845998436422478,0.2337186041885233
kefrin_t_affect,6,2023-08,0.4869206918531253,0.2333191730910043
kefrin_t_affect,6,2023-09,0.48240583579783225,0.23030273621304967
kefrin_t_affect,6,2023-10,0.4826595745279191,0.23267934467353585
kefrin_t_affect,6,2023-11,0.47991805197895493,0.23368728349930692
kefrin_t_affect,6,2023-12,0.48272558058914156,0.23016537780149052
kefrin_t_affect,6,2024-01,0.48034773884649234,0.23482454192578678
kefrin_t_affect,6,2024-02,0.4855673270229221,0.23391734534948627
kefrin_t_affect,6,2024-03,0.4844657762358102,0.22877741737360865
kefrin_t_affect,6,2024-04,0.4833604202987069,0.22549409381874744
kefrin_t_affect,6,2024-05,0.48009494215109444,0.23071436168588552
kefrin_t_affect,6,2024-06,0.48250652866087257,0.23352680513876226
kefrin_t_affect,6,2024-07,0.4801057125622791,0.23884132252863516
kefrin_t_affect,6,2024-08,0.4814590839208985,0.24362237498831774
kefrin_t_affect,6,2024-09,0.4783597878696507,0.2409833357919997
kefrin_t_affect,6,2024-10,0.4799622038918776,0.23399817748009621
kefrin_t_affect,6,2024-11,0.47898487621822927,0.22895043046025063
kefrin_t_affect,6,2024-12,0.4799977099632269,0.23032871337296634
kefrin_t_affect_fe_noreset,6,2023-01,0.0,0.0
kefrin_t_affect_fe_noreset,6,2023-02,0.4644817966364896,0.95
kefrin_t_affect_fe_noreset,6,2023-03,0.4958488790236861,0.6354021079812984
kefrin_t_affect_fe_noreset,6,2023-04,0.6237793811670382,0.8517370015639523
kefrin_t_affect_fe_noreset,6,2023-05,0.6960795779453856,0.8671416361448382
kefrin_t_affect_fe_noreset,6,2023-06,0.52528934462432,0.8898728991927242
kefrin_t_affect_fe_noreset,6,2023-07,0.6385299111954128,0.8881905830319065
kefrin_t_affect_fe_noreset,6,2023-08,0.6666771510359557,0.902205950155215
kefrin_t_affect_fe_noreset,6,2023-09,0.48612858110198137,0.9111691053713732
kefrin_t_affect_fe_noreset,6,2023-10,0.5231068919481573,0.8926244350184563
kefrin_t_affect_fe_noreset,6,2023-11,0.5206863240353009,0.9124245066475233
kefrin_t_affect_fe_noreset,6,2023-12,0.5776772086668013,0.9188688033796646
kefrin_t_affect_fe_noreset,6,2024-01,0.5542925848222309,0.930583110392865
kefrin_t_affect_fe_noreset,6,2024-02,0.5212046197797213,0.9331500068719772
kefrin_t_affect_fe_noreset,6,2024-03,0.49196565467605585,0.9271805321718664
kefrin_t_affect_fe_noreset,6,2024-04,0.5321155919466296,0.9356089257395931
kefrin_t_affect_fe_noreset,6,2024-05,0.5086996659997906,0.9422320581564665
kefrin_t_affect_fe_noreset,6,2024-06,0.48727303113009957,0.9408837805244197
kefrin_t_affect_fe_noreset,6,2024-07,0.3804673549211614,0.9278745134276828
kefrin_t_affect_fe_noreset,6,2024-08,0.4640910081340667,0.8731069355093156
kefrin_t_affect_fe_noreset,6,2024-09,0.4428048756139922,0.9030259429057605
kefrin_t_affect_fe_noreset,6,2024-10,0.4635254374311516,0.9168188303486979
kefrin_t_affect_fe_noreset,6,2024-11,0.4639184971742534,0.9272450436242438
kefrin_t_affect_fe_noreset,6,2024-12,0.4701146699353195,0.9302506818248889
kefrin_t_affect_fe,6,2023-01,0.0,0.0
kefrin_t_affect_fe,6,2023-02,0.4644817966364896,0.95
kefrin_t_affect_fe,6,2023-03,0.564674040763198,0.9446270072758076
kefrin_t_affect_fe,6,2023-04,0.5447763499344119,0.95
kefrin_t_affect_fe,6,2023-05,0.5365128692547381,0.95
kefrin_t_affect_fe,6,2023-06,0.44830642062183007,0.7164858791716933
kefrin_t_affect_fe,6,2023-07,0.6182382457272548,0.8468913623339256
kefrin_t_affect_fe,6,2023-08,0.6407213763202069,0.9406754493518803
kefrin_t_affect_fe,6,2023-09,0.6511804685902647,0.7924881650032561
kefrin_t_affect_fe,6,2023-10,0.3131280037193178,0.8517133640596355
kefrin_t_affect_fe,6,2023-11,0.5189233795859677,0.9200866421219973
kefrin_t_affect_fe,6,2023-12,0.7793910676083377,0.8723068473771387
kefrin_t_affect_fe,6,2024-01,0.7641467231109063,0.9140676629129438
kefrin_t_affect_fe,6,2024-02,0.6629995643994592,0.8311858079235775
kefrin_t_affect_fe,6,2024-03,0.7127684152694764,0.8459777025525633
kefrin_t_affect_fe,6,2024-04,0.6837157937420247,0.8714232161902344
kefrin_t_affect_fe,6,2024-05,0.7172052536741305,0.8988388343627914
kefrin_t_affect_fe,6,2024-06,0.7007190355779885,0.896377613220539
