method,K,date,alpha,beta
kefrin_t_affect,4,2023-01,0.0,0.0
kefrin_t_affect,4,2023-02,0.47873480652829453,0.12972807473173117
kefrin_t_affect,4,2023-03,0.49174211540596013,0.14857960089036962
kefrin_t_affect,4,2023-04,0.4985734133293618,0.14863319542250178
kefrin_t_affect,4,2023-05,0.5048616279974826,0.14915637701426718
kefrin_t_affect,4,2023-06,0.5051509934805021,0.14736481447004277
kefrin_t_affect,4,2023-07,0.5031095988807469,0.1457369195146781
kefrin_t_affect,4,2023-08,0.5041948589027194,0.14779062593743936
kefrin_t_affect,4,2023-09,0.49768115960359105,0.14496729873738298
kefrin_t_affect,4,2023-10,0.5015349240122773,0.14656389413921792
kefrin_t_affect,4,2023-11,0.5002434101672286,0.14788113064579633
kefrin_t_affect,4,2023-12,0.4969462222219592,0.14428793111747584
kefrin_t_affect,4,2024-01,0.5024499239841593,0.14730143883350733
kefrin_t_affect,4,2024-02,0.5065585667161626,0.14451460898603039
kefrin_t_affect,4,2024-03,0.5044560477524992,0.1423263554441958
kefrin_t_affect,4,2024-04,0.5081727481671,0.14930225347667295
kefrin_t_affect,4,2024-05,0.5041021418072853,0.15094439673315663
kefrin_t_affect,4,2024-06,0.5086293356274976,0.14749908045489107
kefrin_t_affect,4,2024-07,0.5044417962389788,0.14583543425051396
kefrin_t_affect,4,2024-08,0.5069233236258681,0.14955571421054398
kefrin_t_affect,4,2024-09,0.49915297302417283,0.14672995113444967
kefrin_t_affect,4,2024-10,0.5012224187009517,0.1477689674293197
kefrin_t_affect,4,2024-11,0.49954983694069743,0.15379856950323417
kefrin_t_affect,4,2024-12,0.5039565660429487,0.15141272065234057
kefrin_t_affect_fe_noreset,4,2023-01,0.0,0.0
kefrin_t_affect_fe_noreset,4,2023-02,0.4516547280328852,0.95
kefrin_t_affect_fe_noreset,4,2023-03,0.2878275544044813,0.6263413186922139
kefrin_t_affect_fe_noreset,4,2023-04,0.46710431240137207,0.8433441451271931
kefrin_t_affect_fe_noreset,4,2023-05,0.5572073700234529,0.8422055470509716
kefrin_t_affect_fe_noreset,4,2023-06,0.621828852492406,0.8753381382274978
kefrin_t_affect_fe_noreset,4,2023-07,0.5554608020738914,0.8892199621739999
kefrin_t_affect_fe_noreset,4,2023-08,0.6066238081153945,0.8794230667976671
kefrin_t_affect_fe_noreset,4,2023-09,0.546942737126067,0.8839832774215184
kefrin_t_affect_fe_noreset,4,2023-10,0.5313863592359612,0.9004229451157941
kefrin_t_affect_fe_noreset,4,2023-11,0.5651669975913172,0.9028805677424926
kefrin_t_affect_fe_noreset,4,2023-12,0.5789902651013763,0.9065806542046826
kefrin_t_affect_fe_noreset,4,2024-01,0.587694608274774,0.9144739318235245
kefrin_t_affect_fe_noreset,4,2024-02,0.562771336176809,0.9082206343050456
kefrin_t_affect_fe_noreset,4,2024-03,0.4764195541000338,0.8937197976702208
kefrin_t_affect_fe_noreset,4,2024-04,0.5114801587257382,0.898665363580216
kefrin_t_affect_fe_noreset,4,2024-05,0.4365866671030345,0.9047649459850039
kefrin_t_affect_fe_noreset,4,2024-06,0.5031831167126934,0.8784074115957934
kefrin_t_affect_fe_noreset,4,2024-07,0.5154332927659152,0.8892537756794551
kefrin_t_affect_fe_noreset,4,2024-08,0.5634746202088632,0.8896322773939707
kefrin_t_affect_fe_noreset,4,2024-09,0.5336148725699578,0.893492422221106
kefrin_t_affect_fe_noreset,4,2024-10,0.532311134134895,0.8978430781995597
kefrin_t_affect_fe_noreset,4,2024-11,0.5217650497694662,0.90821752991918
kefrin_t_affect_fe_noreset,4,2024-12,0.5202870072176864,0.9016410015244244
kefrin_t_affect_fe,4,2023-01,0.0,0.0
kefrin_t_affect_fe,4,2023-02,0.4516547280328852,0.95
kefrin_t_affect_fe,4,2023-03,0.3121057204531506,0.7422884847599788
kefrin_t_affect_fe,4,2023-04,0.48879577247103334,0.9001698061200398
kefrin_t_affect_fe,4,2023-05,0.5497732973940841,0.8685126286903369
kefrin_t_affect_fe,4,2023-06,0.6614716968962697,0.8834956840590674
kefrin_t_affect_fe,4,2023-07,0.5887685310565435,0.8893706328852053
kefrin_t_affect_fe,4,2023-08,0.6576320268499488,0.8969899824419801
kefrin_t_affect_fe,4,2023-09,0.6669060684179707,0.892651466580612
kefrin_t_affect_fe,4,2023-10,0.7052221908740961,0.9044469433990155
kefrin_t_affect_fe,4,2023-11,0.7079704013547474,0.9083344305058341
kefrin_t_affect_fe,4,2023-12,0.7365205934810625,0.9065179938763361
kefrin_t_affect_fe,4,2024-01,0.7293825037668235,0.9118342307595353
kefrin_t_affect_fe,4,2024-02,0.6729919198981118,0.8994404280917496
kefrin_t_affect_fe,4,2024-03,0.542246953810116,0.8929845919247835
kefrin_t_affect_fe,4,2024-04,0.6433817886004367,0.9032505733615844
kefrin_t_affect_fe,4,2024-05,0.6507595492757012,0.9066345590916056
kefrin_t_affect_fe,4,2024-06,0.5866112042537727,0.9045865857403761
kefrin_t_affect_fe,4,2024-07,0.7172614457224356,0.8986697785976046
kefrin_t_affect_fe,4,2024-08,0.6617423863840507,0.9018914562606543
kefrin_t_affect_fe,4,2024-09,0.6291360653287732,0.8907974223954371
kefrin_t_affect_fe,4,2024-10,0.7192009073992287,0.8981529894408524
kefrin_t_affect_fe,4,2024-11,0.7150226916212555,0.9068275872063586
kefrin_t_affect_fe,4,2024-12,0.7191103759874505,0.9107028947222128
kefrin_t_affect,5,2023-01,0.0,0.0
kefrin_t_affect,5,2023-02,0.4802772398908552,0.14812462492622913
kefrin_t_affect,5,2023-03,0.49274974142923206,0.1720982958137765
kefrin_t_affect,5,2023-04,0.5007492911143181,0.17314166633225764
kefrin_t_affect,5,2023-05,0.5048772601539401,0.17486491937408802
kefrin_t_affect,5,2023-06,0.5066983211934373,0.17016904070287256
kefrin_t_affect,5,2023-07,0.5013743011812632,0.1670863065535917
kefrin_t_affect,5,2023-08,0.5042915362464528,0.17073137042105183
kefrin_t_affect,5,2023-09,0.49617636906248835,0.16795888612405763
kefrin_t_affect,5,2023-10,0.5032879538576515,0.16984560492463036
kefrin_t_affect,5,2023-11,0.5025814881100373,0.17030396247767593
kefrin_t_affect,5,2023-12,0.4966652834040559,0.1657963115452799
kefrin_t_affect,5,2024-01,0.5010334149783966,0.16902031878296545
kefrin_t_affect,5,2024-02,0.5023469767899227,0.16760729165382496
kefrin_t_affect,5,2024-03,0.5058215705105686,0.16463601087462731
kefrin_t_affect,5,2024-04,0.5086362234402849,0.1710826243097263
kefrin_t_affect,5,2024-05,0.5062596449184519,0.17116385097798376
kefrin_t_affect,5,2024-06,0.507437004963455,0.16836188787298872
kefrin_t_affect,5,2024-07,0.5031364026605621,0.1659882387234256
kefrin_t_affect,5,2024-08,0.5094997751773194,0.16933628497042325
kefrin_t_affect,5,2024-09,0.49771969662672105,0.16610301479632156
