method,K,date,alpha,beta
kefrin_t_affect,4,2023-01,0.0,0.0
kefrin_t_affect,4,2023-02,0.4976497916817319,0.4992854955485849
kefrin_t_affect,4,2023-03,0.5023106887892762,0.5693783811060532
kefrin_t_affect,4,2023-04,0.5057798668222038,0.5864779246820693
kefrin_t_affect,4,2023-05,0.5080777871183476,0.6117280879278538
kefrin_t_affect,4,2023-06,0.5079430079988996,0.6221138235230979
kefrin_t_affect,4,2023-07,0.5069182959597921,0.6280727085090785
kefrin_t_affect,4,2023-08,0.5077511866105784,0.6314893877680056
kefrin_t_affect,4,2023-09,0.5044597380872384,0.6317709988506414
kefrin_t_affect,4,2023-10,0.5065284021012103,0.6325507137921593
kefrin_t_affect,4,2023-11,0.5053125818296418,0.6369574887855743
kefrin_t_affect,4,2023-12,0.505391726277878,0.6321946139170456
kefrin_t_affect,4,2024-01,0.5048613226642542,0.6327415590062647
kefrin_t_affect,4,2024-02,0.5071188273361422,0.642161947268856
kefrin_t_affect,4,2024-03,0.5069278434457231,0.6311200056322336
kefrin_t_affect,4,2024-04,0.5070085513392395,0.6325051453413798
kefrin_t_affect,4,2024-05,0.5060533245023612,0.6335106567246958
kefrin_t_affect,4,2024-06,0.5074518118180233,0.6380072528606202
kefrin_t_affect,4,2024-07,0.5070365299947691,0.6407012391350023
kefrin_t_affect,4,2024-08,0.5060747332743234,0.6489190259629871
kefrin_t_affect,4,2024-09,0.5034939822522324,0.6358547450681117
kefrin_t_affect,4,2024-10,0.506184695840901,0.6340353909936453
kefrin_t_affect,4,2024-11,0.5055725264389058,0.6363177946226631
kefrin_t_affect,4,2024-12,0.5068308179224796,0.6394564924703844
kefrin_t_affect_fe,4,2023-01,0.0,0.0
kefrin_t_affect_fe,4,2023-02,0.8764649470649223,0.997699315169988
kefrin_t_affect_fe,4,2023-03,0.7171125221903639,0.6875739182998011
kefrin_t_affect_fe,4,2023-04,0.7754610592890085,0.8539259534237336
kefrin_t_affect_fe,4,2023-05,0.8111473102002894,0.8708400560461742
kefrin_t_affect_fe,4,2023-06,0.8026434370914071,0.8944818410893846
kefrin_t_affect_fe,4,2023-07,0.7624655377675051,0.9085310050379068
kefrin_t_affect_fe,4,2023-08,0.7883483089018425,0.9196973622062269
kefrin_t_affect_fe,4,2023-09,0.7883572021050755,0.9240438107910344
kefrin_t_affect_fe,4,2023-10,0.7675366760496313,0.932514660788168
kefrin_t_affect_fe,4,2023-11,0.7601256246606592,0.9402955761227647
kefrin_t_affect_fe,4,2023-12,0.7149714536023044,0.9439947719530051
kefrin_t_affect_fe,4,2024-01,0.6699551050224124,0.9484333187073027
kefrin_t_affect_fe,4,2024-02,0.6504279300167132,0.9513519066672869
kefrin_t_affect_fe,4,2024-03,0.5990640381151129,0.9504333494358592
kefrin_t_affect_fe,4,2024-04,0.5904412660651024,0.9555993079623887
kefrin_t_affect_fe,4,2024-05,0.5755068421898009,0.9587795302183869
kefrin_t_affect_fe,4,2024-06,0.5747546946358062,0.9619888605576891
kefrin_t_affect_fe,4,2024-07,0.5861960148872498,0.9646111563914184
kefrin_t_affect_fe,4,2024-08,0.5966696350305586,0.9669780050220826
kefrin_t_affect_fe,4,2024-09,0.5708878711477063,0.966302648068917
kefrin_t_affect_fe,4,2024-10,0.5731730239364262,0.9673150346236346
kefrin_t_affect_fe,4,2024-11,0.5865376920573542,0.9693257384737731
kefrin_t_affect_fe,4,2024-12,0.5934169666463519,0.970625716367023
kefrin_t_affect,5,2023-01,0.0,0.0
kefrin_t_affect,5,2023-02,0.49825336361153,0.49928979674813795
kefrin_t_affect,5,2023-03,0.5026591513284391,0.5694947806241875
kefrin_t_affect,5,2023-04,0.5059248670685451,0.586605559655083
kefrin_t_affect,5,2023-05,0.5078662583597879,0.6118757332164986
kefrin_t_affect,5,2023-06,0.5082383897488618,0.6223016897632088
kefrin_t_affect,5,2023-07,0.5078947730343008,0.6283098866142577
kefrin_t_affect,5,2023-08,0.508788916233128,0.6317061305760081
kefrin_t_affect,5,2023-09,0.5048333612305602,0.6319619906954519
kefrin_t_affect,5,2023-10,0.5069774882326369,0.6327606089287924
kefrin_t_affect,5,2023-11,0.5053893588179937,0.6371780191114205
kefrin_t_affect,5,2023-12,0.5051169022983465,0.6323725656365183
kefrin_t_affect,5,2024-01,0.5047177136910372,0.6329741049820258
kefrin_t_affect,5,2024-02,0.5081244196525062,0.6425079077405605
kefrin_t_affect,5,2024-03,0.507378195465371,0.6314179958664803
kefrin_t_affect,5,2024-04,0.5078041607522358,0.6328302045311386
kefrin_t_affect,5,2024-05,0.506541165436981,0.6337904122393441
kefrin_t_affect,5,2024-06,0.5081114691889682,0.6382837641675603
kefrin_t_affect,5,2024-07,0.5066057191256225,0.6410489424120291
kefrin_t_affect,5,2024-08,0.5062613906775156,0.649297576844331
kefrin_t_affect,5,2024-09,0.5042468081973496,0.6361997318735888
kefrin_t_affect,5,2024-10,0.5061032659012172,0.6343227139637215
kefrin_t_affect,5,2024-11,0.5060009399521419,0.636633171452741
kefrin_t_affect,5,2024-12,0.5072805477401429,0.6398079194485912
kefrin_t_affect_fe,5,2023-01,0.0,0.0
kefrin_t_affect_fe,5,2023-02,0.7987914542157388,0.9965086757934136
kefrin_t_affect_fe,5,2023-03,0.7409255286189653,0.6880184222392133
kefrin_t_affect_fe,5,2023-04,0.7742775952736684,0.853588085818623
kefrin_t_affect_fe,5,2023-05,0.7886704638071291,0.8705513466940109
kefrin_t_affect_fe,5,2023-06,0.7828772383239366,0.894134519992131
kefrin_t_affect_fe,5,2023-07,0.7459716405002099,0.9081029945109234
kefrin_t_affect_fe,5,2023-08,0.7728417648889777,0.9193374141936463
kefrin_t_affect_fe,5,2023-09,0.7398606665819064,0.9235162216173859
kefrin_t_affect_fe,5,2023-10,0.7329978526846891,0.9322139502507427
kefrin_t_affect_fe,5,2023-11,0.7341529111819944,0.9401064319825428
kefrin_t_affect_fe,5,2023-12,0.6845440467328322,0.9436737846395588
kefrin_t_affect_fe,5,2024-01,0.6817309023263757,0.9485340124377798
kefrin_t_affect_fe,5,2024-02,0.6543046365479934,0.9512790729728041
kefrin_t_affect_fe,5,2024-03,0.6076173716380365,0.9504213019734584
kefrin_t_affect_fe,5,2024-04,0.5863852488965674,0.9551403714917757
kefrin_t_affect_fe,5,2024-05,0.5613650322487491,0.9577494957010829
kefrin_t_affect_fe,5,2024-06,0.5586409262182666,0.9608596410797904
kefrin_t_affect_fe,5,2024-07,0.5462516411851802,0.9616876031273249
