method,K,date,alpha,beta
kefrin_t_affect,4,2023-01,0.0,0.0
kefrin_t_affect,4,2023-02,0.497664688854903,0.4991893394381095
kefrin_t_affect,4,2023-03,0.5021668863632986,0.5667490766643946
kefrin_t_affect,4,2023-04,0.5058663167109212,0.583258238891928
kefrin_t_affect,4,2023-05,0.5080844378226423,0.6127521294994867
kefrin_t_affect,4,2023-06,0.5079645471675567,0.6241735116954974
kefrin_t_affect,4,2023-07,0.5070149807567635,0.6274358085578765
kefrin_t_affect,4,2023-08,0.5077374908722758,0.6329112145756707
kefrin_t_affect,4,2023-09,0.5045033010012134,0.6295215760799808
kefrin_t_affect,4,2023-10,0.5064907222711895,0.6328471730667066
kefrin_t_affect,4,2023-11,0.5053057064474006,0.6387692626772022
kefrin_t_affect,4,2023-12,0.5053630464540717,0.632660416338755
kefrin_t_affect,4,2024-01,0.5050262943490755,0.632577426576141
kefrin_t_affect,4,2024-02,0.5071617149568663,0.6453652798022889
kefrin_t_affect,4,2024-03,0.5069430578849311,0.6324658702016661
kefrin_t_affect,4,2024-04,0.5070082770616645,0.6335307939685214
kefrin_t_affect,4,2024-05,0.5059433048299339,0.633389783597112
kefrin_t_affect,4,2024-06,0.5074186306321382,0.6392351434852059
kefrin_t_affect,4,2024-07,0.5070345699052227,0.6418584735750839
kefrin_t_affect,4,2024-08,0.5060599524618117,0.6485826891101224
kefrin_t_affect,4,2024-09,0.5034881275418283,0.6349971107084044
kefrin_t_affect,4,2024-10,0.5061306683605927,0.6334525022632328
kefrin_t_affect,4,2024-11,0.5056898567434948,0.6352546333600188
kefrin_t_affect,4,2024-12,0.5067988982783451,0.6404116151158654
kefrin_t_affect_fe,4,2023-01,0.0,0.0
kefrin_t_affect_fe,4,2023-02,0.859539776214909,0.9969299757800199
kefrin_t_affect_fe,4,2023-03,0.7261424007386966,0.6876049786707664
kefrin_t_affect_fe,4,2023-04,0.7959217157911352,0.8568141773797872
kefrin_t_affect_fe,4,2023-05,0.8129833723854346,0.8706975655316336
kefrin_t_affect_fe,4,2023-06,0.7962725352212522,0.8949031757724888
kefrin_t_affect_fe,4,2023-07,0.772631138081082,0.9082808979197432
kefrin_t_affect_fe,4,2023-08,0.8002891807564732,0.9193839677925811
kefrin_t_affect_fe,4,2023-09,0.8212885725640915,0.9230902397834956
kefrin_t_affect_fe,4,2023-10,0.8255836568220442,0.9328177072106133
kefrin_t_affect_fe,4,2023-11,0.7593098560553309,0.9401804031377827
kefrin_t_affect_fe,4,2023-12,0.7492743564333538,0.9439755925844132
kefrin_t_affect_fe,4,2024-01,0.6877285343118543,0.94780611776214
kefrin_t_affect_fe,4,2024-02,0.666405594786864,0.9511370896515051
kefrin_t_affect_fe,4,2024-03,0.6019957286323638,0.949346552458333
kefrin_t_affect_fe,4,2024-04,0.5932745059962931,0.9546872830045008
kefrin_t_affect_fe,4,2024-05,0.5783830845492023,0.9579836233613069
kefrin_t_affect_fe,4,2024-06,0.5789947934982853,0.9612907146215701
kefrin_t_affect_fe,4,2024-07,0.5913784896011274,0.9639342504926999
kefrin_t_affect_fe,4,2024-08,0.5999667254124721,0.9661419673515322
kefrin_t_affect_fe,4,2024-09,0.5714687004835851,0.9654158968856977
kefrin_t_affect_fe,4,2024-10,0.5705512815114481,0.9664198361977896
kefrin_t_affect_fe,4,2024-11,0.5806980632455395,0.9684464232018944
kefrin_t_affect_fe,4,2024-12,0.5866062544599197,0.9699022698507804
kefrin_t_affect,5,2023-01,0.0,0.0
kefrin_t_affect,5,2023-02,0.4994520720819326,0.4991745803470551
kefrin_t_affect,5,2023-03,0.5030450558812274,0.5668419235712169
kefrin_t_affect,5,2023-04,0.5064450583758059,0.5833180772238629
kefrin_t_affect,5,2023-05,0.506466122142987,0.6128988864594888
kefrin_t_affect,5,2023-06,0.5070491338079761,0.624350802575589
kefrin_t_affect,5,2023-07,0.5051906344545598,0.6276563043920743
kefrin_t_affect,5,2023-08,0.5077829909590355,0.6332167147488528
kefrin_t_affect,5,2023-09,0.5061286403120744,0.6300070104916854
kefrin_t_affect,5,2023-10,0.5060712791665618,0.6332188026335365
kefrin_t_affect,5,2023-11,0.5057623528217274,0.6391218741145896
kefrin_t_affect,5,2023-12,0.5063462534135444,0.6329245880531303
kefrin_t_affect,5,2024-01,0.5043409606129657,0.6328125334850578
kefrin_t_affect,5,2024-02,0.5074328388753507,0.6457027649971852
kefrin_t_affect,5,2024-03,0.5070960942774942,0.6327884766425277
kefrin_t_affect,5,2024-04,0.5071584278928964,0.6338698735932371
kefrin_t_affect,5,2024-05,0.505007387235658,0.6337721361815647
kefrin_t_affect,5,2024-06,0.5067484730037112,0.6397198437277551
kefrin_t_affect,5,2024-07,0.5058150561029985,0.6422912211176471
kefrin_t_affect,5,2024-08,0.5058901948126361,0.6490738170902337
kefrin_t_affect,5,2024-09,0.5043290152920598,0.6354656616937575
kefrin_t_affect,5,2024-10,0.5063776115979067,0.6338330962083808
kefrin_t_affect,5,2024-11,0.5061733869377792,0.6356989162962147
kefrin_t_affect,5,2024-12,0.5083107917145389,0.6408914941651934
kefrin_t_affect_fe,5,2023-01,0.0,0.0
kefrin_t_affect_fe,5,2023-02,0.746569282302497,0.9949493135497987
kefrin_t_affect_fe,5,2023-03,0.7032891213636031,0.6883416855644396
kefrin_t_affect_fe,5,2023-04,0.7146433266618056,0.8558960291446075
kefrin_t_affect_fe,5,2023-05,0.7173344775418414,0.8700677348204855
kefrin_t_affect_fe,5,2023-06,0.7115472311278587,0.8940551182439189
kefrin_t_affect_fe,5,2023-07,0.6566432406807,0.9069212960484513
kefrin_t_affect_fe,5,2023-08,0.6368383135833062,0.9174815223418927
kefrin_t_affect_fe,5,2023-09,0.6239436088866206,0.9216815381298986
kefrin_t_affect_fe,5,2023-10,0.624527870344405,0.9317460396968452
kefrin_t_affect_fe,5,2023-11,0.6238075792280579,0.9391842453031188
kefrin_t_affect_fe,5,2023-12,0.62551239297629,0.9431545158328094
kefrin_t_affect_fe,5,2024-01,0.5862846254754065,0.9463938880168656
kefrin_t_affect_fe,5,2024-02,0.5845424895890449,0.9499463888528601
kefrin_t_affect_fe,5,2024-03,0.5751020606649146,0.9493770124435378
kefrin_t_affect_fe,5,2024-04,0.573009098790961,0.9548772696835698
kefrin_t_affect_fe,5,2024-05,0.5705732171418513,0.9581370003065588
kefrin_t_affect_fe,5,2024-06,0.5844194881118974,0.9619476750188977
kefrin_t_affect_fe,5,2024-07,0.5917400573359364,0.9644122497839626
kefrin_t_affect_fe,5,2024-08,0.5859834074249224,0.965975772510901
kefrin_t_affect_fe,5,2024-09,0.5590604848960418,0.9643013665608907
