method,K,date,alpha,beta
kefrin_t_affect,4,2023-01,0.0,0.0
kefrin_t_affect,4,2023-02,0.46960552256706206,0.11256687264340318
kefrin_t_affect,4,2023-03,0.4746726039202504,0.1283157198612604
kefrin_t_affect,4,2023-04,0.47914754360503276,0.12529662224243868
kefrin_t_affect,4,2023-05,0.48052733531876957,0.12383663314749606
kefrin_t_affect,4,2023-06,0.47994289354638214,0.12252372388897625
kefrin_t_affect,4,2023-07,0.47918753434232436,0.11906737944095852
kefrin_t_affect,4,2023-08,0.48010482839269203,0.11973770874024668
kefrin_t_affect,4,2023-09,0.476545987777618,0.1165860773565489
kefrin_t_affect,4,2023-10,0.4793386173609999,0.11890715164724282
kefrin_t_affect,4,2023-11,0.47815939365517973,0.1211574716877968
kefrin_t_affect,4,2023-12,0.4785266722345075,0.11820424372658284
kefrin_t_affect,4,2024-01,0.47874883141013513,0.12185355365777316
kefrin_t_affect,4,2024-02,0.4807873232756213,0.1164608606032433
kefrin_t_affect,4,2024-03,0.48042342760055023,0.11438889502774387
kefrin_t_affect,4,2024-04,0.470704687695925,0.1215104716138734
kefrin_t_affect,4,2024-05,0.478065012470361,0.12056256583582471
kefrin_t_affect,4,2024-06,0.4800949847983353,0.11770652243047415
kefrin_t_affect,4,2024-07,0.4678831110072335,0.1183103717354231
kefrin_t_affect,4,2024-08,0.4784883135900986,0.12449240690368528
kefrin_t_affect,4,2024-09,0.4751252936983298,0.1220341306567778
kefrin_t_affect,4,2024-10,0.4780465765833755,0.12218619998906072
kefrin_t_affect,4,2024-11,0.476334097349247,0.126680072318547
kefrin_t_affect,4,2024-12,0.4785139345732292,0.12522131440195783
kefrin_t_affect_fe_noreset,4,2023-01,0.0,0.0
kefrin_t_affect_fe_noreset,4,2023-02,0.7209803117057202,0.95
kefrin_t_affect_fe_noreset,4,2023-03,0.6620592216294403,0.6549304297444772
kefrin_t_affect_fe_noreset,4,2023-04,0.7679727443661862,0.8711407905992643
kefrin_t_affect_fe_noreset,4,2023-05,0.8078781749575527,0.8816229416096872
kefrin_t_affect_fe_noreset,4,2023-06,0.8278262965674053,0.8995843051813533
kefrin_t_affect_fe_noreset,4,2023-07,0.7460376589560521,0.9096127681328262
kefrin_t_affect_fe_noreset,4,2023-08,0.8010670987105674,0.9165041030205292
kefrin_t_affect_fe_noreset,4,2023-09,0.8858365575563271,0.9186977013712023
kefrin_t_affect_fe_noreset,4,2023-10,0.9084442941852096,0.9310854204793527
kefrin_t_affect_fe_noreset,4,2023-11,0.8220703459654709,0.9402285547875834
kefrin_t_affect_fe_noreset,4,2023-12,0.7854264418106229,0.9427619921749602
kefrin_t_affect_fe_noreset,4,2024-01,0.6481371791603602,0.94785461979599
kefrin_t_affect_fe_noreset,4,2024-02,0.6377387323420037,0.9352375788787332
kefrin_t_affect_fe_noreset,4,2024-03,0.4235251579967913,0.9327072099281927
kefrin_t_affect_fe_noreset,4,2024-04,0.4909680847046686,0.9253947094401687
kefrin_t_affect_fe_noreset,4,2024-05,0.43434031829866654,0.9397342621581295
kefrin_t_affect_fe_noreset,4,2024-06,0.46466139235686,0.9395961467287983
kefrin_t_affect_fe_noreset,4,2024-07,0.49637405972802856,0.9370474696585519
kefrin_t_affect_fe_noreset,4,2024-08,0.5215103704923497,0.9434342917691592
kefrin_t_affect_fe_noreset,4,2024-09,0.5151546063732683,0.9420574644169013
kefrin_t_affect_fe_noreset,4,2024-10,0.47778437623181597,0.95
kefrin_t_affect_fe_noreset,4,2024-11,0.482768412869281,0.95
kefrin_t_affect_fe_noreset,4,2024-12,0.5192019234705313,0.95
kefrin_t_affect_fe,4,2023-01,0.0,0.0
kefrin_t_affect_fe,4,2023-02,0.5825744923225119,0.95
kefrin_t_affect_fe,4,2023-03,0.658378510280302,0.7797501494247906
kefrin_t_affect_fe,4,2023-04,0.835476102774258,0.95
kefrin_t_affect_fe,4,2023-05,0.6835014017837089,0.7401688212832773
kefrin_t_affect_fe,4,2023-06,0.6129772427316197,0.95
kefrin_t_affect_fe,4,2023-07,0.35200030486202244,0.7555747248408097
kefrin_t_affect_fe,4,2023-08,0.6035136601198542,0.9059810788533237
kefrin_t_affect_fe,4,2023-09,0.6296292458218475,0.8949895745095732
kefrin_t_affect_fe,4,2023-10,0.7530461715535476,0.8587636963074488
kefrin_t_affect_fe,4,2023-11,0.825881996181434,0.8951208707778762
kefrin_t_affect_fe,4,2023-12,0.8772491234708539,0.8794139393830959
kefrin_t_affect_fe,4,2024-01,0.7950172712597515,0.9225715979082929
kefrin_t_affect_fe,4,2024-02,0.8301544097774377,0.8995142764290359
kefrin_t_affect_fe,4,2024-03,0.8475176854027113,0.918973843574356
kefrin_t_affect_fe,4,2024-04,0.5934754269062341,0.8797800556188792
kefrin_t_affect_fe,4,2024-05,0.7089413845024097,0.886295933743832
kefrin_t_affect_fe,4,2024-06,0.7567252416245703,0.8889713445183223
kefrin_t_affect_fe,4,2024-07,0.7704126805994548,0.8719783826529626
kefrin_t_affect_fe,4,2024-08,0.7851265075448773,0.8786105461842969
kefrin_t_affect_fe,4,2024-09,0.7977176542787062,0.895951791074677
kefrin_t_affect_fe,4,2024-10,0.7957725013889891,0.8929828385597539
kefrin_t_affect_fe,4,2024-11,0.5176069992069939,0.9135057374381984
kefrin_t_affect_fe,4,2024-12,0.6104333649035708,0.8723708416052323
kefrin_t_affect,5,2023-01,0.0,0.0
kefrin_t_affect,5,2023-02,0.4687850537277272,0.12755363960834853
kefrin_t_affect,5,2023-03,0.4728344340260151,0.14606125687436336
kefrin_t_affect,5,2023-04,0.47793806172298836,0.14500584666808775
kefrin_t_affect,5,2023-05,0.47584585126281304,0.1461858082160138
kefrin_t_affect,5,2023-06,0.4744881221015818,0.1446309022142484
kefrin_t_affect,5,2023-07,0.47322870104886083,0.141624293155387
kefrin_t_affect,5,2023-08,0.47616984631785225,0.14264400238423489
kefrin_t_affect,5,2023-09,0.47509641255508267,0.138097602537936
kefrin_t_affect,5,2023-10,0.4751319748270899,0.13916870989283636
kefrin_t_affect,5,2023-11,0.4726567657038826,0.14012108631509224
kefrin_t_affect,5,2023-12,0.4759414578945158,0.13600723083038493
kefrin_t_affect,5,2024-01,0.4764440630872887,0.13912140005327875
kefrin_t_affect,5,2024-02,0.47931031030001436,0.13479351807645518
kefrin_t_affect,5,2024-03,0.4777270977201655,0.132663040191111
kefrin_t_affect,5,2024-04,0.4790606200531688,0.14042656051692806
kefrin_t_affect,5,2024-05,0.4746024523788032,0.14173385101494793
kefrin_t_affect,5,2024-06,0.476768203487938,0.1389592198164854
kefrin_t_affect,5,2024-07,0.4752541273111227,0.13959306903122723
kefrin_t_affect,5,2024-08,0.47714927356871356,0.14453660594369774
kefrin_t_affect,5,2024-09,0.4750099980907613,0.14107208894470719
kefrin_t_affect,5,2024-10,0.47557513764177406,0.14298308311744065
kefrin_t_affect,5,2024-11,0.4745601198499363,0.14767753080190524
kefrin_t_affect,5,2024-12,0.4774774478508161,0.14582542025030346
kefrin_t_affect_fe_noreset,5,2023-01,0.0,0.0
kefrin_t_affect_fe_noreset,5,2023-02,0.4752952417746584,0.95
kefrin_t_affect_fe_noreset,5,2023-03,0.47343972635815823,0.6397422208440579
kefrin_t_affect_fe_noreset,5,2023-04,0.6127944414856986,0.8622674067226804
kefrin_t_affect_fe_noreset,5,2023-05,0.6546228397034405,0.8647073649425865
kefrin_t_affect_fe_noreset,5,2023-06,0.6500605738837355,0.8852225559033406
kefrin_t_affect_fe_noreset,5,2023-07,0.520863675484807,0.89407455348711
kefrin_t_affect_fe_noreset,5,2023-08,0.6059125508311627,0.8839085855406179
kefrin_t_affect_fe_noreset,5,2023-09,0.5399962158370495,0.8917944182311031
kefrin_t_affect_fe_noreset,5,2023-10,0.5429049175306946,0.9053577448409004
kefrin_t_affect_fe_noreset,5,2023-11,0.5036784887030387,0.9121430343074283
kefrin_t_affect_fe_noreset,5,2023-12,0.5116252179090856,0.902753721585047
kefrin_t_affect_fe_noreset,5,2024-01,0.4714257117676603,0.9113638984947966
kefrin_t_affect_fe_noreset,5,2024-02,0.48933225999190133,0.8885833258321618
kefrin_t_affect_fe_noreset,5,2024-03,0.48453128642254234,0.8970316254105253
kefrin_t_affect_fe_noreset,5,2024-04,0.47166234833269044,0.9195037830529326
kefrin_t_affect_fe_noreset,5,2024-05,0.47007294327360316,0.9232386546672053
kefrin_t_affect_fe_noreset,5,2024-06,0.510786375671628,0.9239009853522615
kefrin_t_affect_fe_noreset,5,2024-07,0.5342382405127435,0.9286091488968023
kefrin_t_affect_fe_noreset,5,2024-08,0.5335367315558174,0.9259362583936483
kefrin_t_affect_fe_noreset,5,2024-09,0.46972855973133776,0.9181652159233349
kefrin_t_affect_fe_noreset,5,2024-10,0.43956437989832026,0.9226766017338129
kefrin_t_affect_fe_noreset,5,2024-11,0.4637688299118383,0.9183398266361432
kefrin_t_affect_fe_noreset,5,2024-12,0.4742948984109405,0.9226138887277564
kefrin_t_affect_fe,5,2023-01,0.0,0.0
kefrin_t_affect_fe,5,2023-02,0.40935581142709376,0.95
kefrin_t_affect_fe,5,2023-03,0.4507612399669902,0.8108729251377917
kefrin_t_affect_fe,5,2023-04,0.6414866001070535,0.9181411614012598
kefrin_t_affect_fe,5,2023-05,0.7369879062577791,0.8492470373491631
kefrin_t_affect_fe,5,2023-06,0.5632315760023915,0.8633545431565569
kefrin_t_affect_fe,5,2023-07,0.5207695964482143,0.8879959861068616
kefrin_t_affect_fe,5,2023-08,0.5228647669607002,0.8570046611678509
kefrin_t_affect_fe,5,2023-09,0.5797437420024297,0.8766768527759314
kefrin_t_affect_fe,5,2023-10,0.6382485433623135,0.9107542555951187
kefrin_t_affect_fe,5,2023-11,0.6509689467363341,0.8606881714660057
kefrin_t_affect_fe,5,2023-12,0.647403193233061,0.8536381670911609
kefrin_t_affect_fe,5,2024-01,0.49062522480140736,0.8834170547365542
kefrin_t_affect_fe,5,2024-02,0.6272830922905468,0.8753169262197702
kefrin_t_affect_fe,5,2024-03,0.7187392933466348,0.8901065422119667
kefrin_t_affect_fe,5,2024-04,0.7309622924797928,0.8976993129628391
kefrin_t_affect_fe,5,2024-05,0.43984398687519005,0.8354882910442013
kefrin_t_affect_fe,5,2024-06,0.47751242134950606,0.8949358809876478
kefrin_t_affect_fe,5,2024-07,0.5270076027039149,0.8885262311791838
kefrin_t_affect_fe,5,2024-08,0.6175252458484767,0.8429498636628543
kefrin_t_affect_fe,5,2024-09,0.6670635481632768,0.8642181258337572
kefrin_t_affect_fe,5,2024-10,0.7305511131470507,0.8773433976610356
kefrin_t_affect_fe,5,2024-11,0.7450931145596233,0.8942065188541998
