method,K,date,alpha,beta
kefrin_t_affect,4,2023-01,0.0,0.0
kefrin_t_affect,4,2023-02,0.47042427904036954,0.11295951606478957
kefrin_t_affect,4,2023-03,0.47071886214845626,0.12848600467904883
kefrin_t_affect,4,2023-04,0.4742976955938251,0.12495498196095547
kefrin_t_affect,4,2023-05,0.4757903636552813,0.12352899954479449
kefrin_t_affect,4,2023-06,0.47650733238473364,0.12220531309165024
kefrin_t_affect,4,2023-07,0.4761017635129018,0.11846413179585578
kefrin_t_affect,4,2023-08,0.4741350558319825,0.11960978717077826
kefrin_t_affect,4,2023-09,0.4735633709365866,0.11661100549224537
kefrin_t_affect,4,2023-10,0.47281956833543826,0.11858858281327758
kefrin_t_affect,4,2023-11,0.47449508011149716,0.12160058591157642
kefrin_t_affect,4,2023-12,0.47346133648853905,0.11817787197540401
kefrin_t_affect,4,2024-01,0.4747606036670571,0.12199877767673019
kefrin_t_affect,4,2024-02,0.4758745531370056,0.1163442186906136
kefrin_t_affect,4,2024-03,0.47658044689135287,0.11407208639435887
kefrin_t_affect,4,2024-04,0.4760207784906902,0.12083412137523605
kefrin_t_affect,4,2024-05,0.4744771520037709,0.11993599122548339
kefrin_t_affect,4,2024-06,0.47458013432387364,0.11774082496947659
kefrin_t_affect,4,2024-07,0.47442671685775073,0.11843866669681662
kefrin_t_affect,4,2024-08,0.47337800928561224,0.12377617346934226
kefrin_t_affect,4,2024-09,0.4727708286747174,0.12200001841877639
kefrin_t_affect,4,2024-10,0.472534332965902,0.12208467067703517
kefrin_t_affect,4,2024-11,0.47357760436290214,0.12611153581359966
kefrin_t_affect,4,2024-12,0.47552088821315086,0.12477703510153604
kefrin_t_affect_fe_noreset,4,2023-01,0.0,0.0
kefrin_t_affect_fe_noreset,4,2023-02,0.24732786587183514,0.95
kefrin_t_affect_fe_noreset,4,2023-03,0.44808826755729525,0.6548336138014116
kefrin_t_affect_fe_noreset,4,2023-04,0.7121253008880593,0.8708251104471311
kefrin_t_affect_fe_noreset,4,2023-05,0.7960332241043706,0.8813892378702022
kefrin_t_affect_fe_noreset,4,2023-06,0.8079396039578697,0.9005302558359343
kefrin_t_affect_fe_noreset,4,2023-07,0.7187438533535319,0.9113174390841229
kefrin_t_affect_fe_noreset,4,2023-08,0.8396991226897581,0.9179816796965693
kefrin_t_affect_fe_noreset,4,2023-09,0.8473649561610532,0.9218400693937054
kefrin_t_affect_fe_noreset,4,2023-10,0.7092510974829919,0.9310855617497046
kefrin_t_affect_fe_noreset,4,2023-11,0.7059018093562247,0.9351944465444894
kefrin_t_affect_fe_noreset,4,2023-12,0.5110486274441562,0.9392524370810297
kefrin_t_affect_fe_noreset,4,2024-01,0.5302454975241784,0.9394943933820735
kefrin_t_affect_fe_noreset,4,2024-02,0.3818322470417366,0.9371585495690254
kefrin_t_affect_fe_noreset,4,2024-03,0.4099114913274967,0.9274093255631515
kefrin_t_affect_fe_noreset,4,2024-04,0.40370505422221137,0.936028051534893
kefrin_t_affect_fe_noreset,4,2024-05,0.36786120705426306,0.9475730723498059
