territory_id,type
1,2
2,2
3,0
4,0
5,0
6,0
7,1
8,1
9,0
10,2
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,2
22,2
23,2
25,2
26,2
27,2
28,2
29,2
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,2
39,0
40,2
41,0
42,2
43,0
44,2
45,0
46,0
47,0
48,0
49,2
50,0
51,2
52,0
53,0
54,0
55,0
56,0
57,2
58,0
59,0
60,0
61,0
62,3
63,0
65,0
66,2
67,0
68,0
69,0
70,0
71,0
72,0
73,2
74,0
75,2
76,1
77,2
78,0
79,3
80,0
81,2
82,0
83,2
167,2
168,0
169,2
173,0
181,0
184,0
185,0
188,0
191,0
194,2
195,0
196,0
198,0
201,0
203,0
204,2
205,0
206,2
207,2
208,3
209,0
210,2
211,2
212,0
213,0
214,0
215,0
216,0
217,2
218,2
219,0
220,0
221,2
222,2
223,0
224,2
225,2
226,3
227,2
228,3
229,2
230,0
231,2
232,0
233,0
234,2
235,0
236,2
237,0
238,0
239,0
240,0
241,2
242,0
243,0
269,2
270,2
271,2
272,0
273,0
274,0
275,0
276,0
277,0
278,2
279,0
280,0
281,0
282,0
283,0
284,0
285,0
287,0
288,0
289,0
290,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
300,0
301,0
302,0
303,2
304,0
305,0
306,0
307,0
308,0
309,3
312,3
314,3
316,3
317,3
318,3
319,3
320,3
321,3
323,3
324,3
325,3
326,3
327,3
329,3
330,3
331,3
332,3
333,3
334,3
335,3
336,3
337,3
338,3
339,3
340,3
341,3
342,3
343,3
345,2
346,0
347,0
348,0
349,0
351,0
352,0
354,2
355,2
356,2
357,2
358,0
359,0
360,0
361,0
362,2
363,0
364,0
365,0
366,2
367,0
368,2
369,0
370,1
371,2
372,0
373,2
374,2
375,2
376,0
377,0
378,0
379,1
380,2
381,0
382,2
383,0
384,0
385,2
386,0
387,2
388,2
390,0
391,0
392,0
393,0
395,0
396,0
397,2
398,0
401,0
402,0
403,0
404,0
405,3
408,0
410,0
413,3
414,0
416,0
418,2
419,2
420,2
421,2
422,2
423,0
