territory_id,type
1,3
2,3
3,3
4,0
5,0
6,0
7,4
8,3
9,0
10,3
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,3
22,3
23,3
25,3
26,3
27,3
28,3
29,3
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,3
39,0
40,3
41,0
42,3
43,0
44,3
45,0
46,0
47,0
48,0
49,3
50,0
51,3
52,0
53,0
54,0
55,0
56,0
57,3
58,0
59,0
60,0
61,0
62,2
63,0
65,0
66,3
67,0
68,0
69,0
70,0
71,0
72,0
73,3
74,0
75,3
76,4
77,3
78,0
79,2
80,0
81,3
82,0
83,3
167,3
168,0
169,3
173,0
181,0
184,0
185,0
188,0
191,0
194,3
195,3
196,0
198,0
201,0
203,0
204,3
205,0
206,3
207,3
208,0
209,0
210,3
211,3
212,0
213,0
214,0
215,0
216,0
217,3
218,3
219,0
220,0
221,3
222,3
223,0
224,3
225,2
226,2
227,3
228,2
229,3
230,0
231,3
232,0
233,0
234,2
235,0
236,3
237,0
238,0
239,0
240,0
241,3
242,0
243,0
269,3
270,3
271,3
272,0
273,0
274,3
275,0
276,0
277,0
278,3
279,0
280,0
281,0
282,0
283,0
284,0
285,0
287,0
288,0
289,0
290,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
300,0
301,0
302,0
303,3
304,0
305,0
306,0
307,0
308,3
309,2
312,2
314,2
316,2
317,2
318,2
319,2
320,2
321,2
323,2
324,2
325,2
326,2
327,2
329,2
330,2
331,2
332,2
333,2
334,2
335,2
336,2
337,2
338,2
339,2
340,2
341,2
342,2
343,2
345,3
346,0
347,0
348,0
349,0
351,0
352,0
354,3
355,3
356,3
357,2
358,0
359,0
360,0
361,0
362,3
363,0
364,0
365,0
366,3
367,0
368,3
369,0
370,4
371,3
372,0
373,3
374,3
375,3
376,0
377,0
378,0
379,4
380,3
381,0
382,3
383,0
384,0
385,3
386,0
387,3
388,3
390,0
391,0
392,0
393,0
395,0
396,0
397,3
398,0
401,0
402,0
403,0
404,0
405,0
408,0
410,0
413,0
414,0
416,0
418,3
419,3
420,3
421,3
422,3
423,0
424,0
425,0
428,0
429,0
430,3
431,0
432,3
433,0
434,0
435,0
436,0
437,0
438,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,3
449,0
450,3
451,2
452,3
453,2
455,0
456,0
457,0
458,0
459,0
460,0
478,3
479,3
480,3
481,3
482,3
484,0
485,0
486,0
487,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,3
498,0
499,0
501,0
502,0
503,0
504,3
505,3
506,3
507,3
508,3
509,3
510,3
511,0
512,0
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,0
541,0
542,0
543,0
544,0
545,0
546,0
547,0
548,0
549,0
550,0
552,0
553,0
554,0
555,0
556,0
557,0
558,0
559,0
560,0
561,0
562,0
563,0
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,0
574,3
578,2
579,2
580,2
581,2
582,2
583,2
584,3
585,3
586,0
587,0
588,2
589,2
591,0
592,0
593,0
594,0
595,0
598,0
599,3
600,2
601,0
602,0
603,0
604,3
605,0
606,0
607,0
608,2
612,2
613,2
614,2
615,2
616,2
618,2
619,2
621,2
666,3
667,3
668,3
669,3
670,3
671,3
674,3
675,3
676,3
677,3
678,2
679,3
680,3
683,0
685,0
686,3
687,0
689,3
690,0
691,0
692,0
693,3
694,0
695,0
696,0
697,3
698,0
699,0
701,0
702,2
703,0
704,0
705,0
706,0
708,2
710,0
711,0
712,0
713,0
714,0
715,0
716,2
717,0
718,2
719,0
720,2
721,0
722,0
723,0
725,0
726,2
727,3
731,3
734,3
735,0
736,0
737,0
738,3
739,3
741,3
742,0
743,0
744,0
745,3
746,0
747,0
748,3
749,0
751,3
752,0
753,0
754,3
755,0
756,3
757,3
758,0
760,0
761,0
763,3
764,0
765,0
766,2
767,3
769,0
770,0
771,0
773,0
774,0
775,2
776,3
777,2
778,3
779,2
780,2
781,2
782,2
783,2
784,2
785,2
787,0
788,2
789,2
790,0
791,2
792,2
793,2
794,2
795,2
796,0
797,2
798,2
799,2
800,2
801,2
802,0
803,2
804,0
805,2
806,0
807,2
808,0
809,3
810,0
811,3
812,3
813,3
814,0
815,0
817,0
818,3
819,3
820,3
821,0
822,0
823,0
824,3
825,0
826,0
827,0
828,0
829,0
830,3
831,0
832,0
833,0
834,0
835,0
836,0
838,0
839,0
840,0
841,3
842,2
843,3
844,2
846,2
847,2
848,2
849,0
851,2
852,2
853,2
854,2
855,2
856,2
857,2
859,2
860,2
870,2
871,2
872,2
873,2
874,2
875,2
876,2
877,0
878,2
879,2
880,0
881,0
882,0
883,2
884,2
885,2
886,2
888,2
889,2
890,3
