territory_id,type
1,4
2,1
3,1
4,0
5,0
6,1
7,5
8,5
9,0
10,4
11,2
12,2
13,2
14,2
15,2
16,2
17,2
18,2
19,0
20,2
21,4
22,1
23,4
25,4
26,4
27,4
28,4
29,4
30,2
31,1
32,0
33,0
34,0
35,2
36,0
37,0
38,4
39,0
40,1
41,0
42,1
43,0
44,4
45,0
46,1
47,2
48,0
49,1
50,2
51,1
52,0
53,2
54,0
55,1
56,0
57,4
58,1
59,0
60,1
61,0
62,3
63,0
65,0
66,4
67,0
68,0
69,0
70,0
71,2
72,0
73,1
74,0
75,1
76,5
77,4
78,0
79,3
80,0
81,1
82,0
83,1
167,4
168,0
169,4
173,0
181,0
184,0
185,0
188,0
191,0
194,4
195,1
196,1
198,0
201,0
203,1
204,1
205,0
206,4
207,4
208,1
209,2
210,1
211,1
212,1
213,1
214,1
215,0
216,1
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,4
225,3
226,3
227,3
228,3
229,4
230,2
231,1
232,0
233,0
234,3
235,0
236,1
237,2
238,0
239,1
240,1
241,1
242,0
243,2
269,4
270,4
271,4
272,1
273,0
274,1
275,0
276,1
277,0
278,1
279,0
280,0
281,0
282,0
283,1
284,1
285,0
287,0
288,0
289,0
290,0
292,0
293,0
294,1
295,0
296,0
297,0
298,1
300,0
301,0
302,0
303,1
304,0
305,0
306,0
307,0
308,1
309,4
312,3
314,2
316,3
317,2
318,2
319,2
320,2
321,2
323,2
324,2
325,3
326,2
327,3
329,2
330,3
331,2
332,3
333,3
334,3
335,2
336,2
337,2
338,2
339,2
340,3
341,3
342,2
343,2
345,4
346,1
347,0
348,0
349,0
351,1
352,1
354,4
355,4
356,1
357,1
358,0
359,1
360,1
361,0
362,5
363,0
364,1
365,0
366,1
367,0
368,4
369,1
370,5
371,1
372,0
373,4
374,1
375,5
376,0
377,0
378,1
379,5
380,3
381,1
382,1
383,1
384,0
385,4
386,0
387,1
388,1
390,0
391,1
392,0
393,0
395,0
396,0
397,1
398,1
401,2
402,2
403,2
404,2
405,2
408,0
410,2
413,2
414,2
416,2
418,4
419,4
420,4
421,4
422,4
423,0
424,1
425,0
428,0
429,0
430,1
431,1
432,1
433,0
434,0
435,0
436,0
437,0
438,0
440,1
441,0
442,0
443,1
444,0
445,0
446,0
447,0
448,4
449,1
450,4
451,3
452,4
453,3
455,2
456,0
457,0
458,2
459,2
460,2
478,4
479,4
480,4
481,4
482,4
484,0
485,0
486,1
487,0
489,1
490,0
491,0
492,0
493,0
494,1
495,0
496,0
497,1
498,1
499,0
501,1
502,0
503,0
504,4
505,4
506,4
507,4
508,4
509,4
510,4
511,1
512,1
515,2
516,0
517,0
518,1
519,0
520,0
521,0
522,0
523,0
524,0
525,0
527,1
528,0
529,1
530,0
531,0
532,0
533,0
534,0
535,2
536,0
537,0
538,0
539,0
540,0
541,0
542,0
543,1
544,0
545,1
546,0
547,0
548,0
549,0
550,0
552,0
553,0
554,0
555,0
556,0
557,0
558,0
559,1
560,0
561,0
562,0
563,0
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,0
574,1
578,3
579,2
580,3
581,2
582,3
583,2
584,1
585,4
586,2
587,2
588,3
589,2
591,2
592,2
593,2
594,2
595,2
598,2
599,1
600,2
601,2
602,2
603,2
604,2
605,2
606,2
607,2
608,4
612,2
613,2
614,3
615,3
616,2
618,3
619,3
621,3
666,4
667,4
668,1
669,1
670,4
671,4
674,4
675,4
676,4
677,4
678,3
679,4
680,4
683,0
685,1
686,1
687,0
689,1
690,0
691,0
692,0
693,5
694,1
695,0
696,0
697,1
698,0
699,0
701,0
702,1
703,0
704,0
705,1
706,0
708,3
710,0
711,0
712,0
713,0
714,1
715,0
716,3
717,0
718,3
719,0
720,3
721,0
722,1
723,1
725,2
726,3
727,4
731,4
734,1
735,1
736,0
737,0
738,1
739,1
741,4
742,0
743,1
744,0
745,1
746,0
747,1
748,4
749,0
751,1
752,1
753,0
754,4
755,0
756,1
757,5
758,0
760,0
761,0
763,4
764,0
765,0
766,3
767,4
769,0
770,0
771,0
773,0
774,0
775,4
776,4
777,4
778,4
779,2
780,2
781,2
782,4
783,2
784,2
785,4
787,2
788,2
789,2
790,2
791,2
792,2
793,2
794,2
795,2
796,2
797,2
798,2
799,3
800,2
801,2
802,2
803,2
804,2
805,2
806,2
807,2
808,2
809,4
810,1
811,1
812,4
813,4
814,1
815,1
817,1
818,4
819,1
820,4
821,1
822,1
