t,date,K,SW,CH,S_Dbw,WB,AVI,AVU,ANUI,modularity,density_modularity,MQ,conductance,method,Kset
0,2023-01,5,0.18700032180081808,351.5020410389388,0.8125681814375396,7.1514520728530595,0.8346873834182803,0.4092387564242662,0.6221644515392766,0.46089974438175896,11.525906544566006,4.173436917091402,0.16531261658171958,kefrin_warm,5
1,2023-02,5,0.16389183225729548,357.9336720447478,0.7858300675256102,7.022949211902417,0.788605747689129,0.4163013809142704,0.5936965564211515,0.4743443724644816,12.507374160036246,3.943028738445645,0.21139425231087103,kefrin_warm,5
2,2023-03,5,0.16578424569527234,358.9138154877357,0.7906507315188956,7.003770519627425,0.8204995325005967,0.41281272872944597,0.6129019038767417,0.4711737300562514,11.980959670501644,4.102497662502984,0.17950046749940315,kefrin_warm,5
3,2023-04,5,0.1631472963663515,354.7159760608071,0.7792548752898907,7.086655717951314,0.7990014071922666,0.42677145895665913,0.5958290618081178,0.4553211113537311,12.808544427280347,3.995007035961333,0.2009985928077334,kefrin_warm,5
4,2023-05,5,0.15739231235358606,354.1651917016161,0.7773045221007051,7.097676617858687,0.7386319645404174,0.44671229854215655,0.5553807600947934,0.4502153551181222,11.912389250581874,3.693159822702087,0.26136803545958254,kefrin_warm,5
5,2023-06,5,0.1612805186067144,352.9453024312986,0.770953968523171,7.122208406469174,0.7950285910056967,0.4321026502691128,0.591744320543818,0.4693802186993844,13.21078475387473,3.9751429550284834,0.20497140899430327,kefrin_warm,5
6,2023-07,5,0.16454609316902363,351.8856579382944,0.7773998237222788,7.143655739560728,0.8048705207303446,0.44416916161127146,0.5929070442857657,0.47114892973895667,13.661436016858861,4.024352603651723,0.1951294792696554,kefrin_warm,5
7,2023-08,5,0.1635930255401138,352.66829214740704,0.768668398452791,7.127802685899847,0.7634376660220148,0.5174034082293086,0.5472650843567057,0.4740542315061116,13.171346274198738,3.8171883301100737,0.23656233397798526,kefrin_warm,5
8,2023-09,5,0.15817840240392217,409.72843155511634,0.7684685154442927,6.135161259029817,0.7458885317934243,0.5665086617354687,0.5243311788810423,0.4917685307014722,13.293925028466752,3.7294426589671215,0.2541114682065757,kefrin_warm,5
9,2023-10,5,0.15931701545811472,408.9077007816104,0.7712951540737059,6.147475323147669,0.7345129691457036,0.5642294457678492,0.5192982135485109,0.4805564090138981,13.133375914755106,3.6725648457285183,0.26548703085429637,kefrin_warm,5
10,2023-11,5,0.15903329238426928,414.53807940659766,0.7683829639533565,6.063978497701294,0.729495201039598,0.5648207191946623,0.516627219260515,0.4825484472939906,12.944389105351393,3.6474760051979898,0.270504798960402,kefrin_warm,5
11,2023-12,5,0.1588038414344774,417.44227929320573,0.7727338039151451,6.02179061559401,0.7423405249294109,0.5586839204741507,0.5247210250003072,0.49506368793921074,13.318014542071849,3.711702624647055,0.257659475070589,kefrin_warm,5
12,2024-01,5,0.15707308914449025,425.856824035587,0.7709564441902066,5.902805492650593,0.7323287317029442,0.5568717219336937,0.5201888656469362,0.4814687904700161,12.785047182134754,3.661643658514721,0.26767126829705573,kefrin_warm,5
13,2024-02,5,0.15822073462476355,423.4636648722688,0.7707370515409202,5.9361645603247535,0.7218960242012356,0.567685741038203,0.5120519669445435,0.4787834550275149,12.753616626437486,3.6094801210061775,0.27810397579876456,kefrin_warm,5
14,2024-03,5,0.1581882860995991,424.4806425330782,0.7701783340297915,5.92194260025441,0.7262996783356168,0.5665517391456931,0.5145637295353925,0.48511424344333554,12.960226191879464,3.6314983916780843,0.27370032166438313,kefrin_warm,5
15,2024-04,5,0.15318844702745785,422.06657360926215,0.7727195120524893,5.955813980964914,0.7208638334813993,0.5739905717162348,0.509887973984753,0.48126850779866376,12.812731399024335,3.604319167406996,0.27913616651860074,kefrin_warm,5
16,2024-05,5,0.15220932089090444,423.43879321313005,0.7710546574303389,5.9365132347114695,0.7224770770006532,0.5648619669091006,0.5130865477873959,0.47836537150150665,12.85730467447248,3.612385385003266,0.27752292299934683,kefrin_warm,5
17,2024-06,5,0.1535121327437987,428.08593639275557,0.7783030471965404,5.872068634587688,0.7462646332915943,0.49350470169889143,0.5454014155625498,0.5241448966506836,13.668085987897893,3.7313231664579716,0.2537353667084056,kefrin_warm,5
18,2024-07,5,0.1628642661473383,432.4085059443533,0.7767653863190948,5.813368528702104,0.7598094220440863,0.4744117138049751,0.55849347378995,0.5358418357211671,14.044229757661643,3.7990471102204313,0.24019057795591375,kefrin_warm,5
19,2024-08,5,0.16890677981211677,435.7721532340855,0.7765821042146136,5.768496177059938,0.7705242043130666,0.4805447842286194,0.5623150357946939,0.547898366430468,14.217337148251605,3.8526210215653327,0.22947579568693355,kefrin_warm,5
20,2024-09,5,0.17206911743166953,437.5393145493084,0.7805479271841336,5.745198011724528,0.7456776006283834,0.5064451695091045,0.5412698472246114,0.5226902133464602,13.134088224267762,3.7283880031419168,0.2543223993716166,kefrin_warm,5
21,2024-10,5,0.17200018370692327,440.4761589475857,0.7818199434560862,5.70689230038242,0.741650719493862,0.4945326579072148,0.54263003090331,0.5270008917064756,13.310012098307963,3.70825359746931,0.2583492805061379,kefrin_warm,5
22,2024-11,5,0.17168234298329374,442.1441270850776,0.7792729661388644,5.68536331483671,0.7170220496368207,0.5013263397494934,0.5274307253286609,0.5171391340117208,12.61385137558298,3.5851102481841037,0.2829779503631793,kefrin_warm,5
23,2024-12,5,0.18496757313643877,433.1725101665987,0.7896539567776576,5.803115250857466,0.7124714474574644,0.49701177045009576,0.5261560627587794,0.5056973515449208,12.56307129694356,3.562357237287322,0.2875285525425356,kefrin_warm,5
0,2023-01,5,0.18700032180081808,351.5020410389388,0.8125681814375396,7.1514520728530595,0.8346873834182803,0.4092387564242662,0.6221644515392766,0.46089974438175896,11.525906544566006,4.173436917091402,0.16531261658171958,kefrin_fixed0.5,5
1,2023-02,5,0.1892557374007601,357.3500336669456,0.8131184147416135,7.034419373646525,0.6945300763647431,0.4118291141715614,0.54005840858824,0.4734629500340697,11.521309882722452,3.472650381823715,0.305469923635257,kefrin_fixed0.5,5
2,2023-03,5,0.16603895991277365,358.9057439034417,0.7873978120461714,7.003928030408697,0.8173881563292392,0.4121384726729458,0.6114160774080708,0.46810927470339353,11.881526838756457,4.086940781646196,0.18261184367076067,kefrin_fixed0.5,5
3,2023-04,5,0.17288782444163514,352.6267611678058,0.7975139894472351,7.128642170194713,0.7515100928613222,0.41815838477095124,0.5718165888290127,0.45866843501617166,11.884727899245064,3.757550464306611,0.24848990713867775,kefrin_fixed0.5,5
4,2023-05,5,0.17174054614169806,351.7662494798957,0.7961192788807707,7.1460806820344684,0.7325930037617392,0.41705232084336186,0.5611462174232571,0.4617483755556418,11.36952952885345,3.6629650188086957,0.26740699623826086,kefrin_fixed0.5,5
5,2023-06,5,0.15092633696969265,404.5257410928747,0.7722642110910773,6.214066855693297,0.7222715017484544,0.5268604943731326,0.5231818178429772,0.46806906476728555,13.10903507691597,3.6113575087422722,0.27772849825154566,kefrin_fixed0.5,5
6,2023-07,5,0.151259214807036,403.9410004879886,0.7730190184413983,6.223062271379278,0.7227486526101148,0.5190863550176963,0.525570800170922,0.467874789596483,13.134428823092438,3.6137432630505737,0.27725134738988527,kefrin_fixed0.5,5
7,2023-08,5,0.14854305529211226,401.82597637064345,0.7703712993405476,6.255817562380092,0.7182890535489033,0.5231240196837909,0.5221056376171537,0.4621943787374454,12.99454500486721,3.591445267744516,0.28171094645109684,kefrin_fixed0.5,5
8,2023-09,5,0.1508729666214864,411.1763221959538,0.7703876539164987,6.1135572850472295,0.722121085912741,0.5341156868546392,0.5211251109874094,0.4709234267612033,12.826667692669773,3.610605429563705,0.27787891408725907,kefrin_fixed0.5,5
9,2023-10,5,0.1518529093057815,409.84374715528077,0.7743199487523685,6.133435040665865,0.7106481642074549,0.5468250917300149,0.5117730357931922,0.4605354337402173,12.631228013420108,3.5532408210372743,0.2893518357925451,kefrin_fixed0.5,5
10,2023-11,5,0.15359877734008093,415.4151088860313,0.7690548666744743,6.051176151827556,0.7072367419926936,0.5570331762006813,0.5073600529244908,0.46479019050655584,12.39427220445281,3.536183709963468,0.2927632580073064,kefrin_fixed0.5,5
11,2023-12,5,0.1565890233964844,417.6538506214154,0.7709835784354782,6.018740151108056,0.7186054174571814,0.5512083732189927,0.5147229685589325,0.47181797432112305,12.720431226399104,3.593027087285907,0.2813945825428187,kefrin_fixed0.5,5
12,2024-01,5,0.1568884599455308,424.92963189317595,0.7683057773010281,5.91568535430341,0.7214381395355465,0.5562402169657997,0.5148375017075011,0.469146006400698,12.486129628570785,3.6071906976777326,0.27856186046445347,kefrin_fixed0.5,5
13,2024-02,5,0.15595876185465657,423.5411634310629,0.7700824299860667,5.935078374995179,0.7116660027761272,0.566457677441193,0.5071993876694019,0.4684148061364089,12.477213105374343,3.5583300138806364,0.2883339972238727,kefrin_fixed0.5,5
14,2024-03,5,0.15524375156175252,424.4858566468413,0.7712032952021031,5.921869858885215,0.7192992143127634,0.5695981920445027,0.5102456764940859,0.4783526757039149,12.802281121301746,3.5964960715638172,0.28070078568723666,kefrin_fixed0.5,5
15,2024-04,5,0.15087627394035436,422.11134355865073,0.7726122773285693,5.955182295760133,0.7089608878518014,0.5750241917366249,0.5036415199084223,0.4706741107245591,12.529352457660057,3.544804439259007,0.29103911214819866,kefrin_fixed0.5,5
16,2024-05,5,0.1501250525547941,422.95390463613336,0.7713694911097297,5.943319053083516,0.7140452841963566,0.5644202700533485,0.5089339093860272,0.4715934670287919,12.62645347442531,3.570226420981783,0.2859547158036434,kefrin_fixed0.5,5
17,2024-06,5,0.14844134306552384,419.75423857582956,0.7730741904672199,5.988623268055184,0.712427661949156,0.5691326773120983,0.5068978769877841,0.4621850796013969,12.560326599040062,3.5621383097457797,0.28757233805084403,kefrin_fixed0.5,5
18,2024-07,5,0.1494128143631039,419.0314491600881,0.7699551351135288,5.9989530739007595,0.7128223206553204,0.5557381214775587,0.5105655773287743,0.4594911831290863,12.701719680192838,3.5641116032766016,0.2871776793446797,kefrin_fixed0.5,5
19,2024-08,5,0.14929024743180005,421.6704963537056,0.7673202650417281,5.961408307522224,0.719061192172237,0.5471774810145341,0.516027902454167,0.4661006523379475,12.785524151626104,3.595305960861185,0.2809388078277629,kefrin_fixed0.5,5
20,2024-09,5,0.15228439939067903,429.7236065332082,0.7639359954029465,5.849690270170767,0.716782050740768,0.5630695310046498,0.5106746965640643,0.46549229613818605,12.360397456033395,3.5839102537038396,0.28321794925923205,kefrin_fixed0.5,5
21,2024-10,5,0.1516865257256466,427.1683466187447,0.766950386422569,5.8846822801773895,0.6972539971959586,0.5635631414432914,0.5005604454933215,0.4499806031959499,12.108333431962093,3.486269985979793,0.30274600280404135,kefrin_fixed0.5,5
22,2024-11,5,0.1513508792083275,430.12728290160516,0.7646587948366615,5.8442003098302395,0.7017834773627647,0.5797699328457948,0.4988250521147115,0.46250168066345776,12.116166296872237,3.5089173868138235,0.29821652263723525,kefrin_fixed0.5,5
