t,date,K,SW,CH,S_Dbw,WB,AVI,AVU,ANUI,modularity,density_modularity,MQ,conductance,method,Kset
0,2023-01,4,0.2294359116924222,477.4745012789234,0.8239537967402593,5.618450115097453,0.8220711754504537,0.517430439361772,0.576744467276384,0.5008256794283766,13.988498496397984,3.288284701801815,0.1779288245495462,kefrin_warm,4
1,2023-02,4,0.2336773005436043,488.4600061666356,0.8215321779990445,5.49209071940168,0.82954596773532,0.521362880946949,0.5790919140392224,0.49920334133113003,14.040323232678325,3.31818387094128,0.17045403226467998,kefrin_warm,4
2,2023-03,4,0.23408185946902135,489.4861221308546,0.8184759045058597,5.480577579990119,0.8346892602065117,0.5222544059427767,0.5812922562913719,0.505944332527744,14.082793801062769,3.3387570408260467,0.1653107397934884,kefrin_warm,4
3,2023-04,4,0.2300471255934361,479.85294527726506,0.8191938747520102,5.59060164800403,0.8156187476002341,0.5250029546491414,0.5710807039087035,0.5019477320777346,13.936193096678231,3.2624749904009365,0.184381252399766,kefrin_warm,4
4,2023-05,4,0.2302611981880637,477.58113045191254,0.8161577767917128,5.617195688046103,0.82270118753907,0.5176197812016635,0.5769914504998451,0.5090705912196938,14.238393750040418,3.29080475015628,0.17729881246093,kefrin_warm,4
5,2023-06,4,0.22457157775909445,476.95357057499297,0.8081999298681748,5.624586610039566,0.8090609954422909,0.5220838553579965,0.5688008386840079,0.5032181553131797,14.265151236510095,3.2362439817691637,0.19093900455770907,kefrin_warm,4
6,2023-07,4,0.2247296568639147,476.1628860077597,0.8053209832030723,5.633926426224973,0.81637935100726,0.5154132962984826,0.5746023339586552,0.5022478715924674,14.485912057356325,3.26551740402904,0.18362064899273994,kefrin_warm,4
7,2023-08,4,0.22382061690515706,475.2175808623556,0.8013411255676226,5.645133460337377,0.8226356998306557,0.519679682383258,0.576274348015289,0.5096316630070108,14.725868177563537,3.2905427993226226,0.1773643001693443,kefrin_warm,4
8,2023-09,4,0.2249853084891108,485.46583446686554,0.8067066965324912,5.525963880883086,0.8136888795512505,0.5238398623013083,0.570512225102198,0.5028903211915092,14.266874689016895,3.254755518205002,0.18631112044874953,kefrin_warm,4
9,2023-10,4,0.22510534964427162,483.67434985784485,0.8070520511450646,5.54643153488524,0.8036533773855765,0.5313965528652476,0.5631537191183891,0.49950150523085796,14.03161246940618,3.214613509542306,0.19634662261442354,kefrin_warm,4
10,2023-11,4,0.22744747676363936,489.20582118308556,0.8073324794329947,5.483717794238343,0.8051559246107056,0.5331046679989138,0.5633485042882456,0.5021415347402052,14.13327914427738,3.2206236984428225,0.1948440753892943,kefrin_warm,4
11,2023-12,4,0.23161329080917034,492.65245786405995,0.8049686969203508,5.445353258355016,0.8260742177069214,0.536624438343403,0.5723543393484074,0.5111775493722454,14.349363945519801,3.3042968708276854,0.17392578229307876,kefrin_warm,4
12,2024-01,4,0.22998523815292674,499.5566576493883,0.7969494851735027,5.370094914337995,0.7965943856419074,0.5372329736393355,0.5578560934423723,0.5056069680485822,14.158376702780881,3.1863775425676297,0.2034056143580926,kefrin_warm,4
13,2024-02,4,0.23010995651757354,499.4414090344361,0.7970248075970965,5.371334090725543,0.8021247607501902,0.5411444172899955,0.5593362732326266,0.5074567730335824,14.240136101923046,3.208499043000761,0.1978752392498097,kefrin_warm,4
14,2024-03,4,0.2294573561611747,499.8561448726466,0.7968625542696549,5.366877439008291,0.815263703041442,0.5386350304657795,0.5664977698848637,0.5190099079037205,14.532302464785442,3.261054812165768,0.184736296958558,kefrin_warm,4
15,2024-04,4,0.22845380844977334,496.3049720416514,0.8024700152673785,5.405278644763465,0.7986428639295536,0.5303063317854332,0.5610317048925377,0.5014108730198779,14.036569928687769,3.1945714557182145,0.20135713607044636,kefrin_warm,4
16,2024-05,4,0.23084858600700686,500.5156934186242,0.7883056606228896,5.3598053006959825,0.8060115523636862,0.5326787881919087,0.563902631940498,0.5086082060797028,14.403845413594759,3.2240462094547446,0.19398844763631384,kefrin_warm,4
17,2024-06,4,0.2286015863849289,495.43411161367607,0.7924014991758778,5.414779894603879,0.8139018727396714,0.5291163088475029,0.5689040514549634,0.5082973788467877,14.505314140381024,3.2556074909586856,0.18609812726032862,kefrin_warm,4
18,2024-07,4,0.228743774872119,495.46040079135156,0.791423995675698,5.41449258584924,0.8102816257269905,0.5329188261337457,0.5659124979780168,0.5012365987802321,14.407776045437599,3.241126502907962,0.18971837427300953,kefrin_warm,4
19,2024-08,4,0.22970106535495238,501.9211530817786,0.7897553914732054,5.344796986927499,0.8192896694059442,0.5390502164569912,0.5683046048302967,0.5084152141029499,14.570150610579665,3.2771586776237767,0.18071033059405595,kefrin_warm,4
20,2024-09,4,0.2355990178063139,512.4337231887204,0.7883429012018757,5.235148557306576,0.8114669273612738,0.5363085507706914,0.5654046965181112,0.5083889539538254,14.397287193208271,3.245867709445095,0.1885330726387262,kefrin_warm,4
21,2024-10,4,0.23730224569670605,509.8700988042907,0.7862121797085263,5.261470858867497,0.7983129654100733,0.5369323639839291,0.5587922272724654,0.5004217150714632,14.161415794762833,3.1932518616402934,0.2016870345899266,kefrin_warm,4
22,2024-11,4,0.23833050630785937,512.3934726885951,0.7843120675777578,5.235559798586752,0.8116297182970885,0.5315730747559713,0.5670020622640518,0.5126551393082058,14.549273713101037,3.246518873188354,0.18837028170291148,kefrin_warm,4
23,2024-12,4,0.23617762319374105,507.43374402903254,0.7955217564890911,5.286732895148532,0.8180748109309104,0.5260925857475452,0.5719270698550046,0.512070162586843,14.64836363161526,3.2722992437236416,0.18192518906908967,kefrin_warm,4
0,2023-01,4,0.2294359116924222,477.4745012789234,0.8239537967402593,5.618450115097453,0.8220711754504537,0.517430439361772,0.576744467276384,0.5008256794283766,13.988498496397984,3.288284701801815,0.1779288245495462,kefrin_fixed0.5,4
1,2023-02,4,0.23306631367303735,488.1007638273677,0.8217606275575029,5.49613290016378,0.8255988045085335,0.5223323445101842,0.5768428485660284,0.5000010379708886,13.980779106361592,3.302395218034134,0.1744011954914665,kefrin_fixed0.5,4
