t,date,K,SW,CH,S_Dbw,WB,AVI,AVU,ANUI,modularity,density_modularity,MQ,conductance,method,Kset
0,2023-01,4,0.2259305442099143,478.2523350330106,0.8163635345108743,5.609312219001503,0.8051354623317706,0.5126210946307689,0.5699148398684885,0.5260920627724555,2.2929405673780527,3.2205418493270823,0.19486453766822945,kefrin_warm,4
1,2023-02,4,0.2318637549596801,488.24431530298205,0.819679999520845,5.494516951010329,0.8313834329645567,0.5169543334898523,0.5814735179859709,0.528704598965718,2.309821607381724,3.325533731858227,0.16861656703544325,kefrin_warm,4
2,2023-03,4,0.2335605933544085,489.3432849973539,0.8166642982967085,5.482177336266448,0.837818474168119,0.5139930555540498,0.5856278625515324,0.5321469068709448,2.319579466124548,3.351273896672476,0.16218152583188097,kefrin_warm,4
3,2023-04,4,0.22925907702241988,479.11432424245515,0.8172945591659992,5.599220334120312,0.8221723433049475,0.5187362991468378,0.5763601393811825,0.5371653028032071,2.3202134457391193,3.28868937321979,0.17782765669505246,kefrin_warm,4
4,2023-05,4,0.23025937999347443,477.595805800316,0.8140775005760944,5.617023085391785,0.8145990291058769,0.5164602282155513,0.5733754077775607,0.5384700160166299,2.298507571836186,3.2583961164235076,0.18540097089412302,kefrin_warm,4
5,2023-06,4,0.2247211328421179,476.50849947258735,0.806540937886597,5.629840117512941,0.8108782312299649,0.5181725923244489,0.5709706920088787,0.5375740477753916,2.3583878952759703,3.2435129249198598,0.18912176877003514,kefrin_warm,4
6,2023-07,4,0.22462521209816033,476.0621850972046,0.8047969104739238,5.635118164487077,0.8117083813232848,0.514395875544011,0.5726178449897126,0.5351128636858751,2.379504859755305,3.2468335252931393,0.1882916186767151,kefrin_warm,4
7,2023-08,4,0.2240541357764499,475.0986318684161,0.8008596962302335,5.646546815166711,0.8223125303750307,0.5177962437319099,0.5767415500374308,0.5432677808706331,2.400947575588116,3.289250121500123,0.17768746962496926,kefrin_warm,4
8,2023-09,4,0.2265131601954963,485.1026203632553,0.8050232954224329,5.530101372484502,0.8162041746948832,0.5207497357257642,0.5727595423292916,0.5379746805147725,2.337689048517602,3.2648166987795326,0.1837958253051169,kefrin_warm,4
9,2023-10,4,0.22657629492485098,483.33749531026575,0.8051092120951232,5.550297034051951,0.8094551433776658,0.5261729468200189,0.5676748282544868,0.5351146984992832,2.3177439041147405,3.237820573510663,0.19054485662233428,kefrin_warm,4
10,2023-11,4,0.2288279115772932,488.9600151977694,0.8046783967011462,5.486474524060234,0.8115178127961374,0.5245626796064434,0.5692097847634181,0.539329511631801,2.3082059619924626,3.2460712511845498,0.18848218720386262,kefrin_warm,4
11,2023-12,4,0.2327326977938141,492.5587027689046,0.8043816389285807,5.446389743163876,0.830072966197954,0.5282170637305004,0.5770572094824751,0.544020597648081,2.3157048195357692,3.320291864791816,0.16992703380204602,kefrin_warm,4
12,2024-01,4,0.23180765607007114,498.7883101134961,0.7964474197505473,5.378367159519523,0.7997084068243925,0.5337105261030379,0.5604858674433654,0.5419160133872015,2.283065885210689,3.19883362729757,0.20029159317560752,kefrin_warm,4
13,2024-02,4,0.23234576235810592,498.8924158063734,0.7950359434476651,5.3772448361047935,0.8068404198028598,0.5313137598394329,0.5647432319123299,0.5430732102222283,2.313414589661858,3.2273616792114392,0.1931595801971402,kefrin_warm,4
14,2024-03,4,0.2319757360256118,499.4800455337638,0.7951213888790809,5.370918599560598,0.8140080932882772,0.5360880994681866,0.5667080187689285,0.5498927404408329,2.3705978813081754,3.2560323731531087,0.18599190671172294,kefrin_warm,4
15,2024-04,4,0.22930679937073115,496.08128726988946,0.8021561910915644,5.407715903638149,0.7956032225161793,0.5273521271326314,0.5604564175834184,0.5353034663203139,2.27671858685331,3.1824128900647173,0.20439677748382068,kefrin_warm,4
