t,date,K,SW,CH,S_Dbw,WB,AVI,AVU,ANUI,modularity,density_modularity,MQ,conductance,method,Kset
0,2023-01,4,0.23415971318915857,488.5154829008653,0.8219942707353196,5.491467027281634,0.8229164884657428,0.5136632562246668,0.5784180452609695,0.5297692472163399,2.273193423244216,3.2916659538629713,0.1770835115342572,kefrin_warm,4
1,2023-02,4,0.23595530442110124,492.92604611146714,0.8189744279382611,5.442330929414968,0.8297820313895541,0.5165261906682614,0.5808341172522064,0.5291323162649546,2.307451304609943,3.3191281255582163,0.17021796861044597,kefrin_warm,4
2,2023-03,4,0.23592394467722996,495.6353064762527,0.8182430778922286,5.4125818552742695,0.8267578071022446,0.5184710845197694,0.5786986297076218,0.529883155797112,2.2924736480404064,3.3070312284089782,0.17324219289775544,kefrin_warm,4
3,2023-04,4,0.23488291017462318,492.5322683534232,0.8175828397134313,5.446682053208507,0.8163082659299503,0.5218793194371765,0.5724404077742519,0.5328578184791887,2.2892785901046,3.2652330637198013,0.18369173407004968,kefrin_warm,4
4,2023-05,4,0.23415115291792962,487.97719478983146,0.8159933619270514,5.497524669820019,0.812200479106883,0.51660435943618,0.5721388508686468,0.5373079712896196,2.282301291325735,3.248801916427532,0.18779952089311705,kefrin_warm,4
5,2023-06,4,0.2333814369501813,484.3096286724474,0.8129930356193867,5.539156167553776,0.8172097594107739,0.5164399137055584,0.5746743482520916,0.5398511725702448,2.336404130579385,3.2688390376430956,0.18279024058922624,kefrin_warm,4
6,2023-07,4,0.23231923200613283,483.83783830356833,0.8077283739597217,5.544557399794586,0.814869194204681,0.5137195010329277,0.5744121245834366,0.5361837252807369,2.350508413195081,3.259476776818724,0.18513080579531896,kefrin_warm,4
7,2023-08,4,0.23349082363769677,487.85829069180267,0.805143242650489,5.49886456344226,0.8246092065448015,0.5179899913671915,0.5778056826179102,0.5447684618307811,2.3785821262351416,3.298436826179206,0.17539079345519853,kefrin_warm,4
8,2023-09,4,0.23517507486938088,491.62478642982177,0.8060404832272935,5.456735991991346,0.8132415006859078,0.520450380572867,0.5713967640555481,0.53735839146904,2.320639032507504,3.2529660027436313,0.18675849931409225,kefrin_warm,4
9,2023-10,4,0.23669583182012782,496.7145203130357,0.80806845189415,5.400821914720786,0.8165182421469808,0.5246113346067969,0.5716494845449512,0.5384024523867866,2.3172911629741493,3.266072968587923,0.18348175785301926,kefrin_warm,4
10,2023-11,4,0.2376814553163658,499.4638575494837,0.806044808047603,5.371092674910687,0.8229744065534342,0.528033361530095,0.573678052493153,0.543252208273557,2.306449687307093,3.291897626213737,0.1770255934465658,kefrin_warm,4
11,2023-12,4,0.23960791840797155,505.5791208732767,0.8034491754252119,5.30612629341368,0.8239128062053144,0.5288049645357659,0.5738796505417164,0.5424369978300438,2.314857823638335,3.2956512248212575,0.17608719379468568,kefrin_warm,4
12,2024-01,4,0.23963603941520056,507.5175461182846,0.8007341335071634,5.2858599415623555,0.8066540897608574,0.5286140173170125,0.5655140163978345,0.5439507852868292,2.2863203388646163,3.2266163590434296,0.1933459102391426,kefrin_warm,4
13,2024-02,4,0.23791718862550626,510.16728672565097,0.7955588415521291,5.258405892476022,0.7951471128326667,0.5311998590370374,0.5590249972833078,0.5383813269429524,2.2925296969856985,3.180588451330667,0.20485288716733327,kefrin_warm,4
14,2024-03,4,0.23671950431174388,508.3790508490422,0.7968791393067446,5.276902465171123,0.8062724489051507,0.5349622642823152,0.5633048121547016,0.5454605466508804,2.3483190271690324,3.225089795620603,0.19372755109484935,kefrin_warm,4
15,2024-04,4,0.23659315316730523,509.0466191988616,0.7957862255465867,5.269982287454638,0.7891126592421375,0.531474729093626,0.555950618613485,0.5356856990063767,2.28886199476685,3.15645063696855,0.21088734075786253,kefrin_warm,4
16,2024-05,4,0.23705659941921925,508.78516717993494,0.7915753241338724,5.272690400028752,0.8017890911192752,0.5342644490343356,0.5613325305416037,0.5423109957604503,2.327103720166166,3.207156364477101,0.1982109088807248,kefrin_warm,4
17,2024-06,4,0.23516909602406733,507.37497338770885,0.7893950764319931,5.287345271988251,0.7976170337701345,0.5288954886942355,0.5609689062995805,0.5347155807209749,2.3372520105092005,3.190468135080538,0.2023829662298656,kefrin_warm,4
18,2024-07,4,0.23666475318815428,508.38447651569624,0.7905561431735724,5.2768461481215985,0.8022636239134442,0.5310161608566398,0.5625913137572064,0.531433401842018,2.339938416743895,3.2090544956537768,0.19773637608655573,kefrin_warm,4
19,2024-08,4,0.23725413169364662,514.1095490003672,0.7897587410594874,5.218083717532254,0.8167964234249008,0.5309720369417981,0.5697137948603057,0.5370992888674536,2.3543880162828335,3.267185693699603,0.18320357657509917,kefrin_warm,4
20,2024-09,4,0.23942070757536496,518.8693871995657,0.7892800065780534,5.170215728365699,0.8058710821823917,0.5307575204006987,0.5644453224510662,0.5352733765926111,2.3220995848452786,3.2234843287295667,0.19412891781760838,kefrin_warm,4
21,2024-10,4,0.24074316336861393,522.429530189765,0.7882540814303307,5.13498282857829,0.7959407220717656,0.5355492158724473,0.5580593244151842,0.5300398460188533,2.310840393451748,3.1837628882870623,0.20405927792823444,kefrin_warm,4
22,2024-11,4,0.24160036457633138,520.6945563266725,0.7891561721430598,5.152092784668215,0.7962262299989136,0.5345988334369046,0.5584959448598,0.5358144759023137,2.3222115924414517,3.1849049199956543,0.2037737700010864,kefrin_warm,4
23,2024-12,4,0.24076080733512176,517.2629118840553,0.7886838329503201,5.186272986198532,0.8035756129315149,0.5341050603549086,0.5622579752527431,0.5374737316552574,2.347216451857044,3.2143024517260597,0.19642438706848503,kefrin_warm,4
0,2023-01,4,0.23404177437214074,488.52767114430776,0.8216282059347778,5.491330021046495,0.8233519463114242,0.5136577040331864,0.5786350089726547,0.5299032482783924,2.2748985044296828,3.2934077852456967,0.17664805368857586,kefrin_fixed0.5,4
1,2023-02,4,0.2358896177109932,492.8880320601849,0.8205748352893817,5.442750669870384,0.8250475206779155,0.5170978087535546,0.5783190928191593,0.5264950049168198,2.2810859611857426,3.300190082711662,0.17495247932208446,kefrin_fixed0.5,4
2,2023-03,4,0.23618872998417303,495.3339499661571,0.8191813572263379,5.415874819099228,0.8239663285411096,0.5189072979047464,0.5771842113308826,0.5274226572008014,2.2810042784551583,3.2958653141644385,0.17603367145889046,kefrin_fixed0.5,4
3,2023-04,4,0.23438929968415317,492.08473387178395,0.8173723329713408,5.451635626976499,0.8168446219258196,0.5219586858991405,0.5726780835912451,0.5361227622623845,2.3054638435764905,3.2673784877032785,0.18315537807418042,kefrin_fixed0.5,4
4,2023-05,4,0.23249534146852643,487.2403519423162,0.8156507528077032,5.505838455235876,0.8134048158501618,0.5200749502179507,0.5716000197512893,0.5383651262721297,2.2825905698825535,3.253619263400647,0.18659518414983828,kefrin_fixed0.5,4
5,2023-06,4,0.2316780359148988,483.8598437190027,0.8115702022720191,5.54430523940028,0.8158751241745762,0.5169790856111114,0.5738364375908053,0.5354366610527523,2.316652261764105,3.2635004966983048,0.1841248758254238,kefrin_fixed0.5,4
6,2023-07,4,0.23195459718505032,483.6694502505419,0.8064559586925618,5.546487720646899,0.8175845630103722,0.514630628585107,0.5754581932364581,0.5372584974147057,2.360038202832502,3.2703382520414888,0.18241543698962784,kefrin_fixed0.5,4
7,2023-08,4,0.23336173182192543,487.36364078912544,0.8047692746150175,5.5044456380106,0.8291151492646001,0.5168841060874896,0.5803866927765319,0.5462221368810378,2.3956640129169373,3.3164605970584002,0.17088485073539994,kefrin_fixed0.5,4
8,2023-09,4,0.23577246232847696,491.15330276672853,0.8039654434423733,5.461974197373543,0.8160230114089151,0.5194618593453968,0.5730929981329479,0.5375231860785776,2.346098196519558,3.2640920456356604,0.1839769885910849,kefrin_fixed0.5,4
9,2023-10,4,0.2373410672813198,496.1924842405659,0.8054656316570239,5.406504031943471,0.8161098995274443,0.5235970568397539,0.5717807147844544,0.5378607639996137,2.330785826188521,3.264439598109777,0.1838901004725557,kefrin_fixed0.5,4
10,2023-11,4,0.23749545449563045,499.15186346626905,0.8039000503763158,5.374449867896672,0.8215824195342531,0.5255875979606109,0.5738054586613519,0.5427852243070125,2.317893909389832,3.2863296781370126,0.1784175804657469,kefrin_fixed0.5,4
11,2023-12,4,0.23975329172326285,505.2016381510678,0.8019204585610215,5.310090989579259,0.824129143716587,0.5255983694978574,0.5750429864881763,0.5423258041846539,2.3235145961327763,3.296516574866348,0.17587085628341292,kefrin_fixed0.5,4
12,2024-01,4,0.23996223574473027,506.8577901066432,0.7995300075318231,5.292740328805506,0.8073769579901934,0.5256875335670871,0.5668078393740651,0.5436072936037081,2.2916013389883263,3.2295078319607735,0.1926230420098067,kefrin_fixed0.5,4
13,2024-02,4,0.2378708122839792,509.5066847876729,0.7974327162598609,5.265223689429348,0.7926268511404853,0.5319879742299849,0.5575330368436362,0.5362886406604908,2.2813624930332987,3.170507404561941,0.2073731488595148,kefrin_fixed0.5,4
14,2024-03,4,0.23654576977768896,508.4498656726051,0.7965667561887045,5.276167519717777,0.803500063905265,0.5352658315168752,0.5618543157262256,0.5436590934200182,2.3386642001573152,3.21400025562106,0.19649993609473504,kefrin_fixed0.5,4
15,2024-04,4,0.23360246370883694,508.6956335545642,0.7973227246043791,5.273618426643946,0.7891931159281114,0.5309136756313118,0.5561640427215704,0.5330910047032249,2.272019687088052,3.1567724637124455,0.21080688407188858,kefrin_fixed0.5,4
16,2024-05,4,0.23404849683358123,508.2213958764626,0.7951083133278349,5.278539409070382,0.7962485115541339,0.5316493465274431,0.559428458773323,0.5370070955521882,2.2925790327351288,3.1849940462165356,0.2037514884458661,kefrin_fixed0.5,4
17,2024-06,4,0.2340923161941524,507.04831267930234,0.7921728446328179,5.290751590299441,0.7943287174270358,0.5343643030194145,0.5576346188503034,0.534367437968678,2.3205635558659528,3.1773148697081433,0.20567128257296421,kefrin_fixed0.5,4
18,2024-07,4,0.23411864300794324,507.9090975132235,0.7919570206628325,5.281785027677758,0.7936078297923339,0.5337956714878226,0.5574558965056368,0.526657579043335,2.307098274555226,3.1744313191693356,0.2063921702076661,kefrin_fixed0.5,4
19,2024-08,4,0.236739366961814,514.223666210392,0.7910079636143366,5.216925713351099,0.8079221078227243,0.5359800993398957,0.5637858321679201,0.532844535417053,2.3234834708226373,3.2316884312908973,0.1920778921772756,kefrin_fixed0.5,4
20,2024-09,4,0.2382505742965755,518.7044360988788,0.789648243581969,5.171859887767144,0.7999129624409081,0.5362013261173739,0.5598046792342448,0.5328800758253436,2.3044148089209378,3.1996518497636326,0.20008703755909188,kefrin_fixed0.5,4
