method,ami_median,ami_min,ari_median,switch_median,switch_max,share_never_switch,share_switch_gt3,n_events,min_cluster_size,SW,CH,S_Dbw,AVI,AVU,ANUI,MQ,Q,K_mean,K,sec,alpha_mean,beta_mean,xi
kefrin_warm,0.8595128593126513,0.6344017237493577,0.8763049135379986,0.04811507936507937,0.24553571428571427,0.3635912698412698,0.13442460317460317,3,3,0.1636187696341147,402.2604851862695,0.7775875973536716,0.7547618942330837,0.5015622278724976,0.54876427061993,3.773809471165418,0.49007865941334594,5.0,5,3.6,0.0,0.0,470.9007228451046
kefrin_fixed0.5,0.9228734825287983,0.6835974121101533,0.9412663520220096,0.021825396825396824,0.27728174603174605,0.6354166666666666,0.04861111111111111,1,3,0.1572509780947641,405.3748311457398,0.7763797548692208,0.7250189272649724,0.5258166931051833,0.5260085447803462,3.6250946363248624,0.466117081453421,5.0,5,3.3,0.5,0.5,470.9007228451046
kefrin_t_affect,0.9352617132693197,0.6820827154091754,0.9491170165113826,0.018353174603174604,0.2728174603174603,0.6418650793650794,0.03968253968253968,1,3,0.158669373689945,403.14851276885867,0.7753961616910545,0.7174824966947674,0.5220847502938374,0.5228553020139732,3.587412483473837,0.4618254878188189,5.0,5,4.0,0.5060370401003109,0.6440587115124597,470.9007228451046
kefrin_t_affect_fe,0.9766757894268289,0.9467319018873517,0.9875858886257166,0.00496031746031746,0.011408730158730158,0.9260912698412699,0.003472222222222222,0,3,0.17562015301102782,361.3104505528741,0.7890068854372302,0.6937011045698078,0.41935529716279757,0.537146183051127,3.4685055228490396,0.4530159612785714,5.0,5,3.9,0.7031584989818218,0.9288370828410519,470.9007228451046
kefrin_warm,0.8462330390769282,0.6936131820178326,0.865514701440261,0.056051587301587304,0.25148809523809523,0.43898809523809523,0.1671626984126984,2,3,0.16597379151222916,370.07687436662223,0.7648143336368749,0.7085316295467704,0.5112047842285238,0.5210029912611615,4.251189777280622,0.5040716695081039,6.0,6,3.8,0.0,0.0,470.9007228451046
kefrin_fixed0.5,0.9197832711872344,0.6990151234667185,0.9322225588312993,0.025297619047619048,0.27976190476190477,0.5768849206349206,0.07242063492063493,1,3,0.169608569863416,375.7267446305453,0.7696333742345177,0.6604202674768814,0.5088892774307398,0.4947432177829681,3.9625216048612883,0.4724696435062267,6.0,6,3.6,0.5,0.5,470.9007228451046
kefrin_t_affect,0.9319472564307841,0.7120801199015554,0.9449232366572886,0.02132936507936508,0.26339285714285715,0.6180555555555556,0.049107142857142856,1,3,0.17223330893357733,374.1175044754529,0.7682052422178139,0.6607183595546241,0.5159377532514059,0.49315406780747834,3.9643101573277453,0.4713730840965946,6.0,6,4.1,0.5064298846005524,0.6443362228122828,470.9007228451046
kefrin_t_affect_fe,0.961395256119987,0.8065228186465384,0.9759034618110716,0.008432539682539682,0.0873015873015873,0.7703373015873016,0.010416666666666666,0,3,0.16798967197199746,338.37757495971994,0.7807270077892742,0.6356210302198939,0.42193743227485053,0.5010724546310942,3.813726181319364,0.4663719406896271,6.0,6,4.2,0.6321198287551164,0.9270144552354838,470.9007228451046
kefrin_warm,0.8300087325932539,0.7194819975817994,0.8139088355782518,0.07291666666666667,0.17857142857142858,0.47619047619047616,0.24057539682539683,4,3,0.12547094248070292,326.38262794153275,0.7419127461794187,0.6825343663405331,0.48182773884699687,0.5139048702932537,4.777740564383731,0.5009310053813992,7.0,7,4.8,0.0,0.0,470.9007228451046
kefrin_fixed0.5,0.9272723358528131,0.7668085064251406,0.934142990792113,0.0248015873015873,0.12996031746031747,0.6423611111111112,0.05654761904761905,2,3,0.14735066012092282,334.57707664186944,0.7431743678723596,0.6280257632331562,0.5086354207530792,0.4767285745832736,4.396180342632093,0.46507135534102034,7.0,7,4.6,0.5,0.5,470.9007228451046
