method,ami_median,ami_min,ari_median,switch_median,switch_max,share_never_switch,share_switch_gt3,n_events,min_cluster_size,SW,CH,S_Dbw,AVI,AVU,ANUI,MQ,Q,K_mean,K,sec,alpha_mean,beta_mean,xi,reset_share
kefrin_warm,0.9007944655784698,0.8446211602429855,0.9444229283630248,0.023313492063492064,0.043154761904761904,0.8407738095238095,0.06101190476190476,0,155,0.2323280715696313,490.6516803589421,0.7970644277809084,0.8057151048980536,0.5212270214876905,0.5673990159996182,3.2228604195922146,0.4744378041116127,4.0,4,3.0,0.0,0.0,458.41703502755354,0.0
kefrin_fixed0.5,0.9465970925240339,0.9052073528163378,0.9704234153631672,0.011408730158730158,0.024305555555555556,0.8759920634920635,0.017361111111111112,0,156,0.23270336550212423,489.9451390518887,0.7969625302191808,0.8027027664522866,0.5211654216645677,0.565932194641237,3.210811065809146,0.47094671818559003,4.0,4,3.0,0.5,0.5,458.41703502755354,0.0
kefrin_t_affect,0.9344916908016672,0.898561743301244,0.9659936890802743,0.013888888888888888,0.0248015873015873,0.8680555555555556,0.028273809523809524,0,156,0.23259106474328353,489.987546244998,0.7971874833472968,0.8047568088326664,0.5206414728949906,0.5671167370808902,3.2190272353306657,0.472311400849094,4.0,4,4.4,0.4780091137401761,0.19450007443605757,458.41703502755354,0.0
kefrin_t_affect_fe_noreset,0.9572930102083003,0.9042796925656663,0.9764365675391237,0.008432539682539682,0.025297619047619048,0.8819444444444444,0.014384920634920634,0,156,0.23220855488215028,489.36244687043944,0.7978429772631309,0.8004181691396256,0.5214671821628932,0.5646932568343374,3.2016726765585024,0.46825394924922276,4.0,4,4.2,0.5785985860866452,0.9169742770544922,458.41703502755354,0.0
kefrin_t_affect_fe,0.9218498742164619,0.8826654807921421,0.9542338260751625,0.01984126984126984,0.031746031746031744,0.8531746031746031,0.043154761904761904,0,154,0.23237447359153207,490.1015859418194,0.7990364224245466,0.8043158739054298,0.5200229414840613,0.5670819795216521,3.217263495621719,0.47111607259153326,4.0,4,4.5,0.6994809223909656,0.893115846826397,458.41703502755354,0.54307208994709
kefrin_warm,0.8262443912219305,0.7393794140685339,0.8129288919618786,0.06944444444444445,0.11557539682539683,0.5109126984126984,0.1840277777777778,2,148,0.15681241297220494,427.5196706488423,0.7689860063443961,0.7519417691959367,0.5033388981149699,0.5455256268517048,3.759708845979683,0.5153523679609374,5.0,5,3.8,0.0,0.0,458.41703502755354,0.0
kefrin_fixed0.5,0.9127238812182532,0.8446454868641282,0.9170075184645275,0.028769841269841268,0.05952380952380952,0.6736111111111112,0.056051587301587304,0,153,0.1565425909733931,426.78159575064893,0.7690576464996935,0.7284466419157987,0.5086758612672733,0.5315143912844228,3.6422332095789933,0.48683891517154043,5.0,5,3.6,0.5,0.5,458.41703502755354,0.0
kefrin_t_affect,0.8982683083293224,0.8085910467146306,0.9061490725496599,0.03422619047619048,0.08134920634920635,0.6006944444444444,0.0744047619047619,0,154,0.15751891126928044,426.8510874057883,0.7692259819464349,0.7348711513947807,0.5062779864772989,0.5356123282047264,3.674355756973903,0.4946284115526705,5.0,5,5.0,0.47829715121449257,0.2123545199117938,458.41703502755354,0.0
kefrin_t_affect_fe_noreset,0.948121221415336,0.8449276498869663,0.9584120539705382,0.01488095238095238,0.056051587301587304,0.8010912698412699,0.02628968253968254,0,154,0.15767120055667525,425.1746640697772,0.7660805396391916,0.7098965616950729,0.5297654130075041,0.5160380553057454,3.549482808475364,0.4585603953959351,5.0,5,4.6,0.5764303476407754,0.9078763322195474,458.41703502755354,0.0
kefrin_t_affect_fe,0.9069520515855124,0.8164539665854876,0.921684449956722,0.029265873015873016,0.0798611111111111,0.6150793650793651,0.05109126984126984,0,139,0.1587389884842946,425.98367974347576,0.7703424592806595,0.7281456169711698,0.5056547172715167,0.5322019781584663,3.640728084855849,0.48578903639115545,5.0,5,5.5,0.6348979226749009,0.8723946179164572,458.41703502755354,0.20769262566137567
