method,ami_median,ami_min,ari_median,switch_median,switch_max,share_never_switch,share_switch_gt3,n_events,min_cluster_size,SW,CH,S_Dbw,AVI,AVU,ANUI,MQ,Q,K_mean,K,sec,alpha_mean,beta_mean,xi,reset_share
kefrin_warm,0.7288245412521347,0.6262678455585771,0.756133918786423,0.09275793650793651,0.1800595238095238,0.439484126984127,0.2708333333333333,6,120,0.2412320561709618,710.3782595395014,0.7530623514331977,0.9135725320964522,0.5427310771243318,0.6107952832268438,3.6542901283858087,0.6099055043823144,4.0,4,7.2,0.0,0.0,111.49613665999621,0.0
kefrin_fixed0.5,0.8481219685399481,0.7834959305605538,0.8782075829697912,0.04265873015873016,0.07539682539682539,0.6121031746031746,0.11656746031746032,0,119,0.2375372344182521,698.8273187112353,0.7565593830391121,0.8975190703801106,0.5425640846143891,0.6036032414401337,3.5900762815204423,0.5959196679342128,4.0,4,7.0,0.5,0.5,111.49613665999621,0.0
kefrin_t_affect,0.8399408347133965,0.7767800090229385,0.8702017161711609,0.047619047619047616,0.07589285714285714,0.6076388888888888,0.12053571428571429,0,119,0.23795939026603477,699.6509346590052,0.7566259568085091,0.9011392717475631,0.54191805851717,0.6054795474774389,3.6045570869902526,0.5977307930786927,4.0,4,9.9,0.5014082090938454,0.14685562407520694,111.49613665999621,0.0
kefrin_t_affect_fe_noreset,0.862212385077286,0.7792171225839911,0.8918316843653996,0.03720238095238095,0.07192460317460317,0.6264880952380952,0.09077380952380952,0,122,0.23656120020508908,697.0187690048788,0.7562097271667589,0.8924111950989628,0.5441313217721558,0.6007083332567945,3.5696447803958513,0.5921934092266053,4.0,4,9.5,0.5232702262764553,0.8816552953239796,111.49613665999621,0.0
kefrin_t_affect_fe,0.8464644592620509,0.7884890084320134,0.8764374830807181,0.04265873015873016,0.06349206349206349,0.6116071428571429,0.09027777777777778,0,114,0.23668198385277642,695.0621989904158,0.7605953528181996,0.891336126281297,0.5459880849162736,0.5995620748145836,3.565344505125188,0.5873527306243461,4.0,4,10.1,0.631029079101302,0.8942848326483113,111.49613665999621,0.12415261243386243
kefrin_warm,0.7112489577271819,0.5971859802850549,0.7233044439631027,0.11656746031746032,0.19543650793650794,0.38839285714285715,0.33630952380952384,20,103,0.23699860436686007,656.039445310818,0.7079763385851816,0.8944084155272995,0.5026580364839416,0.6170781223718472,4.472042077636498,0.6501465680338732,5.0,5,7.1,0.0,0.0,111.49613665999621,0.0
kefrin_fixed0.5,0.8308981773121842,0.7285251687207209,0.8526003165436388,0.05853174603174603,0.11607142857142858,0.4756944444444444,0.1488095238095238,2,108,0.2320127823522153,644.1806094706213,0.7099025502149866,0.8738489583094475,0.5048918257649765,0.6064154408160388,4.369244791547237,0.63502009512651,5.0,5,7.3,0.5,0.5,111.49613665999621,0.0
kefrin_t_affect,0.8177029992554661,0.7374670867224438,0.8427076351605225,0.06448412698412699,0.10168650793650794,0.4712301587301587,0.1597222222222222,1,101,0.2326996754556728,645.0275076512712,0.7106998380757918,0.8777217637874267,0.5033520103712977,0.6088870056156747,4.388608818937134,0.6369111404939457,5.0,5,10.2,0.5016317790307812,0.16837570740497834,111.49613665999621,0.0
kefrin_t_affect_fe_noreset,0.8369456825953183,0.7466498462089215,0.8623599877767475,0.05555555555555555,0.10317460317460317,0.48115079365079366,0.12797619047619047,1,110,0.2308956282248972,642.9008049990701,0.7086195324494966,0.870653548947287,0.508966461776098,0.6034009116131437,4.353267744736435,0.6336258564910627,5.0,5,9.9,0.49751550479443274,0.8667939685066045,111.49613665999621,0.0
kefrin_t_affect_fe,0.8282515282028762,0.7035843422101734,0.8485241294251994,0.06101190476190476,0.1259920634920635,0.46081349206349204,0.13988095238095238,1,108,0.23104579043714454,642.0343045583448,0.712193734820526,0.8677994477379244,0.5039188885238307,0.6038984175935534,4.338997238689622,0.6281310480844309,5.0,5,10.6,0.5628495236940703,0.8866112997718085,111.49613665999621,0.1267361111111111
