method,ami_median,ami_min,ari_median,switch_median,switch_max,share_never_switch,share_switch_gt3,n_events,min_cluster_size,SW,CH,S_Dbw,AVI,AVU,ANUI,MQ,Q,K_mean,K,sec,alpha_mean,beta_mean,xi
kefrin_warm,0.9102621076298947,0.8616927009937712,0.9468024272755738,0.020337301587301588,0.037698412698412696,0.8611111111111112,0.05704365079365079,0,165,0.23012864323441592,492.6170328056978,0.8020757419871338,0.8134529016527076,0.5290750952383226,0.5687132826706885,3.2538116066108302,0.5058907569903303,4.0,4,3.7,0.0,0.0,213.2607327324335
kefrin_fixed0.5,0.9478440683610424,0.9125423728584202,0.9752947337056435,0.010912698412698412,0.020833333333333332,0.8898809523809523,0.018849206349206348,0,165,0.2321952978202482,491.6033094483549,0.8024501575710575,0.8116981660153572,0.5281879260039002,0.5681418986726535,3.2467926640614286,0.5041586238179541,4.0,4,3.6,0.5,0.5,213.2607327324335
kefrin_t_affect,0.9513077470130095,0.9235678383878356,0.9752542956100538,0.00992063492063492,0.018849206349206348,0.8928571428571429,0.019345238095238096,0,165,0.23221038153354293,491.5884863627862,0.8026388562359551,0.8105809107650996,0.527745609555843,0.5677334091112721,3.2423236430603986,0.5033285913067215,4.0,4,4.7,0.5057712191350501,0.6229282991085655,213.2607327324335
kefrin_t_affect_fe,0.9690677088031243,0.9206479437136053,0.983619361041763,0.005952380952380952,0.018849206349206348,0.9027777777777778,0.005952380952380952,0,165,0.23152101364066527,490.5489783547808,0.8039315229973365,0.809562229422555,0.5290585750555016,0.5667999205288661,3.23824891769022,0.5014214202400664,4.0,4,4.9,0.683985441681461,0.9306670801488675,213.2607327324335
kefrin_warm,0.8399873705042105,0.7930063011284758,0.828026297368638,0.0625,0.09275793650793651,0.5848214285714286,0.16468253968253968,0,154,0.1559218055439575,429.62852707685056,0.7701621264767565,0.7625608188944675,0.4823679326459504,0.5575057367030462,3.8128040944723374,0.5339604275356518,5.0,5,5.3,0.0,0.0,213.2607327324335
kefrin_fixed0.5,0.928235046392557,0.7250594152096278,0.9377616212873009,0.021825396825396824,0.13541666666666666,0.7038690476190477,0.04513888888888889,1,153,0.1576151820562913,428.20892756156564,0.7695842589197502,0.7412144677657807,0.49089787565713494,0.5435175081796981,3.7060723388289034,0.5102132787869268,5.0,5,4.7,0.5,0.5,213.2607327324335
kefrin_t_affect,0.930320079438189,0.7360144572991473,0.9402987466022656,0.020833333333333332,0.13194444444444445,0.7103174603174603,0.042162698412698416,1,152,0.15784372642554476,428.20975808571706,0.7698938157121352,0.7391797010532836,0.49038432145314775,0.5425750032297796,3.695898505266418,0.5083968214872759,5.0,5,5.7,0.5061355924237051,0.623172661177899,213.2607327324335
kefrin_t_affect_fe,0.9464046825887166,0.7815680709215647,0.96220755859912,0.015376984126984126,0.09672619047619048,0.7475198412698413,0.022321428571428572,0,155,0.15859473864083243,427.16060617462,0.7699461689008551,0.7308183503598226,0.48771105413191224,0.5388294453279178,3.6540917517991125,0.49789747851904115,5.0,5,6.1,0.6619548093885381,0.9298082410671631,213.2607327324335
kefrin_warm,0.8683223012902604,0.7035046607199507,0.871941655418302,0.050595238095238096,0.16765873015873015,0.5952380952380952,0.15426587301587302,1,99,0.16414841907972713,389.71254865922293,0.7545781590313311,0.7015846351023948,0.49304822280191934,0.521096131747551,4.209507810614368,0.5248271228109916,6.0,6,5.4,0.0,0.0,213.2607327324335
kefrin_fixed0.5,0.9372690695729438,0.892024211455307,0.9473437951187357,0.01984126984126984,0.040674603174603176,0.78125,0.039186507936507936,0,98,0.16759173935302538,388.40876386483006,0.75701919820325,0.6804012429175675,0.4901120625957773,0.5102048712335384,4.082407457505405,0.5026245573780532,6.0,6,5.0,0.5,0.5,213.2607327324335
kefrin_t_affect,0.9386066057782195,0.9083199471322179,0.9474044491524597,0.01984126984126984,0.03373015873015873,0.7827380952380952,0.03968253968253968,0,99,0.1677515102961875,388.43266609016626,0.7570047201386169,0.6790588035853005,0.48980386448393753,0.5095420559596828,4.074352821511803,0.5013186745844908,6.0,6,5.9,0.5065395176382926,0.6234223301822669,213.2607327324335
kefrin_t_affect_fe,0.9485709991203606,0.9156952414123923,0.958906975322001,0.015376984126984126,0.02976190476190476,0.8095238095238095,0.024305555555555556,0,97,0.16723836787847066,387.6343662246465,0.7575620618931436,0.6726528026553943,0.4899252397864471,0.5059063948811785,4.035916815932366,0.4957805782130246,6.0,6,6.3,0.6299371088152431,0.9299230948724062,213.2607327324335
temporal_leiden_w0.5,0.580103813630252,0.5316881068599738,0.508045859514824,0.28125,0.3521825396825397,0.10813492063492064,0.7058531746031746,23,0,0.0542161364442116,170.07822287687821,0.6868589254582392,0.9216709123930373,0.37923398286564214,0.683821168837493,9.885178848151293,0.7702494423434625,10.708333333333334,10,30.9,,,
temporal_leiden_w2.0,0.7544092800313031,0.6867119562402462,0.7313302334780368,0.11557539682539683,0.1636904761904762,0.32837301587301587,0.34771825396825395,19,0,0.08712620161226427,244.06838062636766,0.7447601309338049,0.9126569353064088,0.46060929800388434,0.6427240915827513,6.652702072659712,0.7439672354027941,7.291666666666667,7,31.2,,,
