method,ami_median,ami_min,ari_median,switch_median,switch_max,share_never_switch,share_switch_gt3,n_events,min_cluster_size,SW,CH,S_Dbw,AVI,AVU,ANUI,MQ,Q,K_mean,K,sec,alpha_mean,beta_mean,xi
kefrin_warm,0.9058963046574305,0.8593856054942285,0.9471810412176402,0.021825396825396824,0.03819444444444445,0.8611111111111112,0.060515873015873016,0,165,0.23039301651668995,492.4039955197621,0.8021210237773465,0.8141859326659163,0.527160638051852,0.5696856848106417,3.2567437306636653,0.5296366629010718,4.0,4,3.6,0.0,0.0,267.69472569312205
kefrin_fixed0.5,0.9494850594659717,0.9008819922926228,0.9740816903947572,0.010416666666666666,0.024305555555555556,0.8874007936507936,0.020833333333333332,0,168,0.23181572963252173,491.4291068962786,0.8031706118862897,0.8112866765851837,0.5259967923288845,0.5686419869438436,3.245146706340735,0.5273518822134968,4.0,4,3.6,0.5,0.5,267.69472569312205
kefrin_t_affect,0.9545008513339792,0.91124884347059,0.9755231812040748,0.008928571428571428,0.021825396825396824,0.8883928571428571,0.018849206349206348,0,168,0.23190752748207757,491.42889308930285,0.8026688180000718,0.810380115842149,0.5271035965029768,0.567844519862633,3.241520463368596,0.5272620216263899,4.0,4,4.3,0.5057767599012235,0.6231038725760553,267.69472569312205
kefrin_t_affect_fe,0.9683545432374047,0.9118058578175638,0.9848793809203705,0.005952380952380952,0.023809523809523808,0.9057539682539683,0.005456349206349206,0,167,0.22934502303314366,490.1436828272652,0.8056321349536594,0.8104663696125453,0.5294073889608265,0.5671300814787278,3.241865478450181,0.5252638388720297,4.0,4,4.4,0.6924647094588156,0.9303126394088295,267.69472569312205
kefrin_warm,0.8400751483066854,0.7706543288982067,0.8247771919013832,0.06448412698412699,0.10714285714285714,0.6001984126984127,0.1875,2,140,0.1580241480478218,428.39007087260694,0.7723318995519142,0.7762806390796579,0.47551852383507526,0.5670029370054738,3.8814031953982897,0.5702036747981495,5.0,5,4.2,0.0,0.0,267.69472569312205
kefrin_fixed0.5,0.9069680163520746,0.8563867128325734,0.9201254276744577,0.02976190476190476,0.05803571428571429,0.7222222222222222,0.05803571428571429,0,129,0.1667445188088699,426.5325831995124,0.7748264756166375,0.7593818702710843,0.4778451393692425,0.5572003365930482,3.7969093513554206,0.5581542191912582,5.0,5,4.0,0.5,0.5,267.69472569312205
kefrin_t_affect,0.9117809049320817,0.8419670732708852,0.9272260428818061,0.026785714285714284,0.06498015873015874,0.7212301587301587,0.054563492063492064,0,136,0.16634980812597933,426.4228894481601,0.7746413237672863,0.7587075827647595,0.4784107485443038,0.5566630935970807,3.7935379138237977,0.557652695532854,5.0,5,4.9,0.5058443405118882,0.6234195391221669,267.69472569312205
kefrin_t_affect_fe,0.9266924508485265,0.8429926600860855,0.9408699222309616,0.02132936507936508,0.06398809523809523,0.746031746031746,0.03571428571428571,0,135,0.16519903632504732,424.8852624347598,0.7752158422200357,0.7578665868812879,0.4788465629959418,0.5560588557741187,3.7893329344064397,0.5541006171543031,5.0,5,5.0,0.6220901760626216,0.9296258217002543,267.69472569312205
kefrin_warm,0.8638541552888662,0.7145614075236875,0.8633802215371956,0.05109126984126984,0.14384920634920634,0.5828373015873016,0.15823412698412698,2,108,0.16282940172137336,389.02608084386355,0.7551802084392901,0.7045914639061417,0.49316046400195396,0.5228411219036831,4.22754878343685,0.5406319239353202,6.0,6,4.8,0.0,0.0,267.69472569312205
kefrin_fixed0.5,0.9348660702514002,0.8925310775479829,0.9496182494267849,0.01984126984126984,0.04117063492063492,0.7614087301587301,0.04117063492063492,0,108,0.16667278025391055,387.7742741637192,0.7569224505042774,0.6885750329856656,0.4844777551589397,0.5163884073507186,4.131450197913994,0.5204584433523604,6.0,6,4.4,0.5,0.5,267.69472569312205
kefrin_t_affect,0.9399455776928601,0.8957793043941618,0.9495756195524965,0.017857142857142856,0.03968253968253968,0.7733134920634921,0.03670634920634921,0,108,0.16697517063883782,387.7626127041837,0.7574086230110707,0.6858695650145362,0.4850711619011688,0.5147231850695032,4.115217390087217,0.5190886594463678,6.0,6,5.1,0.5064715525888878,0.6237279586512872,267.69472569312205
kefrin_t_affect_fe,0.9500752228496487,0.9095612120065536,0.9601719705188243,0.014384920634920634,0.030753968253968252,0.8060515873015873,0.020833333333333332,0,107,0.16657689404833936,387.03349909069124,0.7583615499772494,0.677702565070471,0.48602705271653107,0.5098884247289779,4.066215390422826,0.5130289972889156,6.0,6,5.4,0.6271330059183358,0.9294770525649273,267.69472569312205
temporal_leiden_w0.5,0.5509670326554906,0.4632562707730923,0.44761401326458233,0.3333333333333333,0.46577380952380953,0.12648809523809523,0.7579365079365079,23,0,0.06692604777446427,199.81902106777673,0.7520580553617234,0.9108601514607685,0.40737148050603716,0.6652945951795347,8.054834299687899,0.7422609029679501,8.833333333333334,8,24.6,,,
temporal_leiden_w2.0,0.6832271983135544,0.6218157824080878,0.6583042583524302,0.15575396825396826,0.23115079365079366,0.27232142857142855,0.4722222222222222,23,94,0.09666737081592779,290.43081465995476,0.7861574185662427,0.9138711945573613,0.5088899132710224,0.6239383112326622,5.483227167344168,0.7205293796300015,6.0,6,23.1,,,
