method,ami_median,ami_min,ari_median,switch_median,switch_max,share_never_switch,share_switch_gt3,n_events,min_cluster_size,SW,CH,S_Dbw,AVI,AVU,ANUI,MQ,Q,K_mean,K,sec,alpha_mean,beta_mean,xi,reset_share
kefrin_warm,0.9512725960560405,0.9109162970631864,0.9743008605315424,0.00992063492063492,0.023809523809523808,0.8849206349206349,0.018849206349206348,0,166,0.23679001279534062,502.49980816837007,0.801994719451811,0.8107735965791426,0.5259834705399674,0.5684035714516384,3.2430943863165704,0.537035123913974,4.0,4,5.3,0.0,0.0,270.48087517552375,0.0
kefrin_fixed0.5,0.9635630847522629,0.9159827063899398,0.982958123723422,0.006944444444444444,0.022321428571428572,0.8958333333333334,0.007936507936507936,0,166,0.23611445321979926,502.15772314446804,0.8020443343615922,0.8087164857163497,0.5262098627666988,0.5673241748414269,3.2348659428653987,0.5354019160982574,4.0,4,5.4,0.5,0.5,270.48087517552375,0.0
kefrin_t_affect,0.9630401887091051,0.9249478857203104,0.9815840225862058,0.00744047619047619,0.01984126984126984,0.8948412698412699,0.010912698412698412,0,164,0.23660216433893388,502.18457127492803,0.8020579857826937,0.8106512092895306,0.5252728058501374,0.5685748265316107,3.2426048371581224,0.5362950820260325,4.0,4,8.2,0.47420942421362594,0.12057830004388616,270.48087517552375,0.0
kefrin_t_affect_fe_noreset,0.974880438690916,0.9176777221466309,0.9868968798242714,0.00496031746031746,0.023809523809523808,0.9012896825396826,0.001488095238095238,0,167,0.2339676040878003,501.6446268997541,0.8045143608590317,0.8098152779382345,0.5275206416401587,0.567423077405052,3.239261111752938,0.533983547673815,4.0,4,7.9,0.543753872370075,0.919232620334374,270.48087517552375,0.0
kefrin_t_affect_fe,0.9510980257984583,0.9009197482047568,0.9737349282740825,0.010416666666666666,0.026785714285714284,0.8864087301587301,0.017361111111111112,0,163,0.23565756010477604,502.7004143534284,0.8012359174704328,0.808410543309392,0.5263047547657308,0.5671436594480586,3.233642173237568,0.5358344172292587,4.0,4,8.8,0.3389196081079525,0.9091669204564592,270.48087517552375,0.7182746362433863
kefrin_warm,0.930113050177137,0.8994130390857954,0.9431118245813772,0.022321428571428572,0.03571428571428571,0.7847222222222222,0.0496031746031746,0,112,0.168921034730919,397.42170774891525,0.7554650345596157,0.6863026587332249,0.487139515821342,0.5143192220515229,4.117815952399351,0.5294271051865834,6.0,6,7.2,0.0,0.0,270.48087517552375,0.0
kefrin_fixed0.5,0.9506519243502313,0.9134957429170255,0.9630342330153246,0.014384920634920634,0.030257936507936508,0.8229166666666666,0.01984126984126984,0,111,0.16977870693790167,397.3526828607114,0.7555375085828593,0.675109129821394,0.49022627452957485,0.5072280151230372,4.050654778928364,0.5222428029276399,6.0,6,7.3,0.5,0.5,270.48087517552375,0.0
kefrin_t_affect,0.9467637043353565,0.9005289809982063,0.9565336849288527,0.015873015873015872,0.03373015873015873,0.8199404761904762,0.025793650793650792,0,113,0.16983755520949037,397.2235839129744,0.7557684762637092,0.6809130929007411,0.48751302743342007,0.5112142846751303,4.085478557404446,0.5245339359915704,6.0,6,10.7,0.4788009156596669,0.15196070434558975,270.48087517552375,0.0
kefrin_t_affect_fe_noreset,0.9590646924615955,0.9096417576343285,0.9680004914164096,0.011904761904761904,0.031746031746031744,0.8338293650793651,0.016865079365079364,0,108,0.17163681906643294,397.49998285058473,0.7550647433094242,0.6678348591441045,0.4905887383694312,0.50305154977933,4.007009154864627,0.5173410899311511,6.0,6,10.2,0.45829078867833906,0.9114001344277807,270.48087517552375,0.0
kefrin_t_affect_fe,0.9398555392216772,0.9063266774277499,0.9520355813244572,0.019345238095238096,0.033234126984126984,0.7951388888888888,0.034722222222222224,0,112,0.17000303189463958,397.48252482446213,0.755533548355888,0.6822687653789291,0.4866740965764326,0.5121969199890093,4.0936125922735735,0.5252517143442895,6.0,6,10.9,0.3640017558795353,0.8791577667895617,270.48087517552375,0.4146412037037037
temporal_leiden_w0.5,0.8669621482190343,0.8067442357668125,0.9058629390991345,0.03869047619047619,0.06398809523809523,0.5649801587301587,0.061507936507936505,0,0,0.12273816493673932,294.86375890752834,0.7783648674034568,0.9060197764395596,0.49623627336279713,0.6250866910529457,4.565341846143646,0.6515494363618665,5.041666666666667,5,26.9,,,,
temporal_leiden_w2.0,0.9927687062055942,0.9777828976011146,0.9968256902185502,0.000992063492063492,0.003472222222222222,0.9737103174603174,0.0,0,14,0.1604587497924815,265.28732619108115,0.7629663916767969,0.888588648593534,0.42892186601442567,0.6433298799368493,4.44294324296767,0.5501600531028273,5.0,5,31.3,,,,
