t,date,edges,deg_mean,deg_min,deg_max,isolates,w_median,w_max,jaccard_prev,jaccard_vs_knn
0,2023-01,2031120,2015.0,2015,2015,0,32062261.45468252,32206667.36967036,,0.0051931939028713224
1,2023-02,2031120,2015.0,2015,2015,0,32036256.342530325,32197066.749003,1.0,0.005161684193942259
2,2023-03,2031120,2015.0,2015,2015,0,32035656.231776703,32196699.15035718,1.0,0.005159714837134192
3,2023-04,2031120,2015.0,2015,2015,0,32060172.818234496,32207534.026464954,1.0,0.005220272558982236
4,2023-05,2031120,2015.0,2015,2015,0,32075531.545318395,32212694.679849952,1.0,0.005194178581275356
5,2023-06,2031120,2015.0,2015,2015,0,32080227.22417594,32213545.456353493,1.0,0.005238981448658868
6,2023-07,2031120,2015.0,2015,2015,0,32075252.16539437,32213658.361452445,1.0,0.005230119343022569
7,2023-08,2031120,2015.0,2015,2015,0,32084972.240445387,32217037.40790829,1.0,0.005185808814841073
8,2023-09,2031120,2015.0,2015,2015,0,32070700.133046485,32203992.586802885,1.0,0.00511195793453858
9,2023-10,2031120,2015.0,2015,2015,0,32076526.897091076,32210109.94681871,1.0,0.0051666075859624246
10,2023-11,2031120,2015.0,2015,2015,0,32079280.4552019,32210309.173237503,1.0,0.005089310331245815
11,2023-12,2031120,2015.0,2015,2015,0,32069233.83757403,32202881.10781671,1.0,0.005124266414588996
12,2024-01,2031120,2015.0,2015,2015,0,32087376.610705364,32218797.509386137,1.0,0.005035645358226004
13,2024-02,2031120,2015.0,2015,2015,0,32078093.94625841,32213518.246415377,1.0,0.005076509511993383
14,2024-03,2031120,2015.0,2015,2015,0,32069910.73173718,32206810.614793777,1.0,0.005096695419276064
15,2024-04,2031120,2015.0,2015,2015,0,32066913.276616275,32211298.391467065,1.0,0.0050981724368821145
16,2024-05,2031120,2015.0,2015,2015,0,32081990.929591168,32214635.061380833,1.0,0.00511638898735673
17,2024-06,2031120,2015.0,2015,2015,0,32085919.665738635,32215827.921672814,1.0,0.005160207176336209
18,2024-07,2031120,2015.0,2015,2015,0,32068746.598481562,32213357.30881788,1.0,0.005181377762022923
19,2024-08,2031120,2015.0,2015,2015,0,32066661.84091159,32210079.849751294,1.0,0.005132143841821262
20,2024-09,2031120,2015.0,2015,2015,0,32065913.33548452,32211733.95090346,1.0,0.0049937965260545905
21,2024-10,2031120,2015.0,2015,2015,0,32054917.913682133,32208368.131365135,1.0,0.005023336878175588
22,2024-11,2031120,2015.0,2015,2015,0,32055918.110555954,32203723.576788098,1.0,0.004991334830044507
23,2024-12,2031120,2015.0,2015,2015,0,32044570.117755793,32196677.81446545,1.0,0.005037122375832054
