t,date,edges,deg_mean,deg_min,deg_max,isolates,w_median,w_max,jaccard_prev,jaccard_knn_prev,jaccard_vs_knn
0,2023-01,14897,14.778769841269842,0,64,5,1.2624378328748695,12.607048583817038,,,0.29923391215526046
1,2023-02,15098,14.978174603174603,0,65,3,1.2400807911525273,14.211404308167946,0.41739911161515925,0.25457908239365196,0.30165352327651995
2,2023-03,14763,14.645833333333334,0,63,1,1.2361480181779485,11.88290451940931,0.4395005784805245,0.2644468572807335,0.30839813374805597
3,2023-04,15318,15.196428571428571,0,75,1,1.1976654759578418,11.608626960687692,0.37513142857142856,0.20916757501003957,0.29952369014790675
4,2023-05,15740,15.615079365079366,1,83,0,1.1804237280737186,12.856915530215215,0.435942484627121,0.2409384164222874,0.295099729130756
5,2023-06,15770,15.64484126984127,0,79,2,1.1740808998107504,14.08348897849656,0.421546512677073,0.23383200419116362,0.2986968281288419
6,2023-07,15605,15.481150793650794,0,77,2,1.1907532486830084,14.10753351998037,0.458284917499419,0.25469248022665564,0.30184183090900063
7,2023-08,15582,15.458333333333334,0,73,1,1.1939918357799213,13.239237029296206,0.4492100371747212,0.24414774732384426,0.30110098141782493
8,2023-09,15674,15.549603174603174,0,74,2,1.1623068492004531,13.622073973076207,0.4185993736667726,0.21642528936194963,0.29713716704007964
9,2023-10,15630,15.505952380952381,0,72,1,1.1740077572763998,13.522637499106558,0.4242686200464079,0.22456881379795846,0.29936337411717895
10,2023-11,15606,15.482142857142858,0,72,1,1.1866788447581522,13.210550582042812,0.4385851793856215,0.2236842105263158,0.2912104320127414
11,2023-12,15999,15.87202380952381,0,76,1,1.1624131991226903,11.785536727416616,0.4133983274451053,0.2033760658970938,0.2927497919420375
12,2024-01,16378,16.248015873015873,0,86,2,1.1594092616146416,14.184036812542004,0.3621523833564727,0.17664499942980955,0.2793191325671972
13,2024-02,16139,16.0109126984127,1,77,0,1.1539515306254549,13.536992502193524,0.43234076292837637,0.2205253149512717,0.280561607358993
14,2024-03,15966,15.839285714285714,1,74,0,1.1956562387013374,13.850419930327066,0.44532480979606537,0.2413772383127028,0.29085111601667896
15,2024-04,16084,15.956349206349206,0,71,1,1.1634183465005898,11.784884430158112,0.4210969715780606,0.23112141752883816,0.2815529274912757
16,2024-05,16437,16.30654761904762,0,76,1,1.1471036811090733,13.315114346559493,0.40887233028635794,0.20541577081759543,0.2800152700897118
17,2024-06,15723,15.598214285714286,0,72,1,1.1881163747858194,13.512301709122955,0.41455904992302617,0.21297372704022322,0.2942803516744048
18,2024-07,15539,15.415674603174603,1,66,0,1.1965186501305214,12.11890504386469,0.40699401413204916,0.2240354353654272,0.30007483162883514
19,2024-08,15652,15.527777777777779,1,66,0,1.18815466155101,13.214168737987366,0.4197086936731907,0.226288056206089,0.29185038394847657
20,2024-09,15975,15.848214285714286,1,67,0,1.1785325971882086,11.190848701742347,0.4004782358411194,0.20295958355267005,0.28167631759740897
21,2024-10,15607,15.483134920634921,0,65,3,1.2138969532083481,11.651758662139637,0.4114860335195531,0.23008100592431388,0.29305680793507666
22,2024-11,15864,15.738095238095237,0,71,2,1.1910804800094743,12.108959125786347,0.4129029361587501,0.2194639323619356,0.282929477372551
23,2024-12,15957,15.830357142857142,0,69,2,1.1909010817443386,11.000857249496574,0.40614228899690674,0.2153304280341472,0.2875829850012294
