t,date,edges,deg_mean,deg_min,deg_max,isolates,w_median,w_max,jaccard_prev,jaccard_vs_knn
0,2023-01,2031120,2015.0,2015,2015,0,32062249.400528558,32206659.209643796,,0.0051931939028713224
1,2023-02,2031120,2015.0,2015,2015,0,32036270.16532846,32197024.66233805,1.0,0.005161684193942259
2,2023-03,2031120,2015.0,2015,2015,0,32035677.485049825,32196697.78918706,1.0,0.005159714837134192
3,2023-04,2031120,2015.0,2015,2015,0,32060166.463355348,32207531.790521882,1.0,0.005220272558982236
4,2023-05,2031120,2015.0,2015,2015,0,32075523.25060603,32212669.637694508,1.0,0.005194178581275356
5,2023-06,2031120,2015.0,2015,2015,0,32080224.21377311,32213518.5637092,1.0,0.005238981448658868
6,2023-07,2031120,2015.0,2015,2015,0,32075269.33943312,32213626.906896397,1.0,0.005230119343022569
7,2023-08,2031120,2015.0,2015,2015,0,32084966.530976564,32217021.254142836,1.0,0.005185808814841073
8,2023-09,2031120,2015.0,2015,2015,0,32070719.242826365,32203987.077287614,1.0,0.00511195793453858
9,2023-10,2031120,2015.0,2015,2015,0,32076532.65764004,32210105.710714668,1.0,0.0051666075859624246
10,2023-11,2031120,2015.0,2015,2015,0,32079280.398949992,32210253.34019552,1.0,0.005089310331245815
11,2023-12,2031120,2015.0,2015,2015,0,32069249.207406364,32202833.650502294,1.0,0.005124266414588996
12,2024-01,2031120,2015.0,2015,2015,0,32087366.69061073,32218791.896623872,1.0,0.005035645358226004
13,2024-02,2031120,2015.0,2015,2015,0,32078094.984114427,32213491.047322944,1.0,0.005076509511993383
14,2024-03,2031120,2015.0,2015,2015,0,32069919.585612833,32206751.787430212,1.0,0.005096695419276064
15,2024-04,2031120,2015.0,2015,2015,0,32066932.13587807,32211292.48959449,1.0,0.0050981724368821145
16,2024-05,2031120,2015.0,2015,2015,0,32081986.56407553,32214629.88105207,1.0,0.00511638898735673
17,2024-06,2031120,2015.0,2015,2015,0,32085913.180089958,32215825.694220915,1.0,0.005160207176336209
18,2024-07,2031120,2015.0,2015,2015,0,32068765.39902561,32213339.386115998,1.0,0.005181377762022923
19,2024-08,2031120,2015.0,2015,2015,0,32066671.458724454,32210083.884306684,1.0,0.005132143841821262
20,2024-09,2031120,2015.0,2015,2015,0,32065910.575963557,32211704.197523646,1.0,0.0049937965260545905
21,2024-10,2031120,2015.0,2015,2015,0,32054943.76069838,32208348.662478797,1.0,0.005023336878175588
22,2024-11,2031120,2015.0,2015,2015,0,32055915.960027058,32203693.347318813,1.0,0.004991334830044507
23,2024-12,2031120,2015.0,2015,2015,0,32044578.832076773,32196677.93262025,1.0,0.005037122375832054
