t,date,edges,deg_mean,deg_min,deg_max,isolates,w_median,w_max,jaccard_prev,jaccard_knn_prev,jaccard_vs_knn
0,2023-01,14424,14.30952380952381,0,66,11,0.10638897115143217,0.7696933364782955,,,0.29639630283518537
1,2023-02,14862,14.744047619047619,0,69,11,0.10402317725153107,0.912413861953098,0.3639157973174367,0.25457908239365196,0.2988982833717653
2,2023-03,14749,14.631944444444445,0,68,9,0.10526627504392987,0.815361436433822,0.38278696180069116,0.2644468572807335,0.30476387523922827
3,2023-04,14560,14.444444444444445,0,78,13,0.10329597270984003,0.8419266073245191,0.3272200335099398,0.20916757501003957,0.2978953884246363
4,2023-05,14428,14.313492063492063,0,83,14,0.1036108534816535,0.8340622377299506,0.3822898288112155,0.2409384164222874,0.2952978381460936
5,2023-06,14429,14.314484126984127,0,79,9,0.10316417853525466,0.8723979447413256,0.364268154311649,0.23383200419116362,0.3001400342305897
6,2023-07,14347,14.233134920634921,0,76,8,0.10526518360690595,0.9598147534981207,0.39155665167561293,0.25469248022665564,0.30440461884110975
7,2023-08,14211,14.098214285714286,0,75,6,0.10542036763918258,0.9500264538121581,0.3853019645888916,0.24414774732384426,0.30200989161317476
8,2023-09,14547,14.431547619047619,0,76,9,0.1017686368674683,0.8371028219853246,0.36151879556860145,0.21642528936194963,0.29708070978820833
9,2023-10,14462,14.347222222222221,0,72,12,0.10354394154104435,0.8305315779544118,0.3687364348400491,0.22456881379795846,0.3020817029269056
10,2023-11,14098,13.98611111111111,0,74,12,0.10683305868147874,0.8920580027251991,0.3793103448275862,0.2236842105263158,0.2941581484031566
11,2023-12,14383,14.268849206349206,0,79,12,0.10350261946286217,0.7879589514328965,0.35423898055251773,0.2033760658970938,0.29809404126086503
12,2024-01,14130,14.017857142857142,0,84,9,0.10459130158140564,0.9631308191980918,0.30829586124621455,0.17664499942980955,0.28708058124174374
13,2024-02,14223,14.110119047619047,0,74,7,0.10471675898501984,0.9752893170212078,0.37143271742284995,0.2205253149512717,0.28578166762748286
14,2024-03,14483,14.368055555555555,0,75,13,0.10579129995163972,0.9339839282721906,0.37930040361330003,0.2413772383127028,0.2974710001045041
15,2024-04,14413,14.29861111111111,0,71,12,0.10377474431436431,0.8828449401979296,0.36045197740112994,0.23112141752883816,0.28628550656903984
16,2024-05,14349,14.235119047619047,0,73,17,0.10353917580420625,0.9459636955841684,0.347734407947144,0.20541577081759543,0.2842531540418462
17,2024-06,14280,14.166666666666666,0,73,6,0.10588570447853834,0.9494416249399692,0.3582408198121264,0.21297372704022322,0.29693065158181436
18,2024-07,14476,14.36111111111111,0,66,9,0.10525544532100234,0.8898160951655973,0.3483377877807474,0.2240354353654272,0.30233406272793584
19,2024-08,14397,14.282738095238095,0,70,13,0.10529677321264443,0.875256665265623,0.3587294117647059,0.226288056206089,0.2935014852259107
20,2024-09,14512,14.396825396825397,0,70,11,0.10409808284952814,0.8277760012113577,0.33993047508690616,0.20295958355267005,0.2837134228886806
21,2024-10,14655,14.538690476190476,0,66,11,0.10596865674385857,0.8489353582100485,0.3533314773570898,0.23008100592431388,0.29512893982808025
22,2024-11,14556,14.44047619047619,0,70,12,0.10465885339320419,0.8450252951915177,0.35173530772790373,0.2194639323619356,0.28503018946491776
23,2024-12,14676,14.55952380952381,0,70,10,0.10538107685076235,0.8036770786625238,0.34802859119206825,0.2153304280341472,0.28965767258791236
