territory_id,share_2023,share_2024,cafe_2023,cafe_2024,food_2023,food_2024,total_2023,total_2024,d_share_pp,d_cafe_pp,d_food_pp,growth_total,name,short,region,mo_type,macro,sub,market_access,population,wage,urban_share,lat,lon,type,log_access,log_pop,log_wage,start,access_q
1,0.14347079833589363,0.18065775038232587,0.053114892500960444,0.05673336526860745,0.3612158109840807,0.34956124163423635,25028.916666666668,29229.75,3.7186952046432245,0.36184727676470063,-1.1654569349844324,0.1678391993261128,городской округ город Майкоп,Майкоп,Республика Адыгея,городской округ,0,4,309.6,161898.0,57440.5,0.8521723554336681,44.667326953828365,40.03169838835568,Крупные и средние города,5.735281141715572,11.994721786284915,10.958504908419595,14.347079833589364,q3
2,0.1550274887335036,0.20769907099122567,0.06043759447532531,0.05531819901133158,0.3645075343874881,0.3551100600281252,19248.916666666668,21639.333333333332,5.2671582257722065,-0.5119395463993731,-0.9397474359362945,0.12418447791434128,городской округ город Адыгейск,Адыгейск,Республика Адыгея,городской округ,0,1,322.8,15661.0,47407.2,0.8443905242321691,44.87055092905199,39.2088623973174,Крупные и средние города,5.777032936395794,9.658928824466434,10.7665293948819,15.502748873350361,q3
3,0.1665116393764032,0.21778792216986667,0.02160529100386675,0.018962187528604714,0.4351781258647274,0.4340018343135008,19535.583333333332,22220.666666666668,5.127628279346347,-0.2643103475262035,-0.11762915512266159,0.13744577203137887,Гиагинский муниципальный район,Гиагинский,Республика Адыгея,муниципальный район,3,1,315.2,31872.0,54547.7,0.0,44.837814043790765,40.195544684254976,Сельские и малые,5.753207357983724,10.369483160384325,10.906830827219256,16.65116393764032,q3
4,0.13056698545979994,0.17912970841372067,0.027447414327081882,0.03102593279297637,0.40343307230145825,0.3848004522969351,20077.333333333332,23948.416666666668,4.856272295392072,0.3578518465894489,-1.8632620004523148,0.19280863992562103,Кошехабльский муниципальный район,Кошехабльский,Республика Адыгея,муниципальный район,3,0,315.5,30319.0,51262.1,0.0,44.78073885021015,40.53682412662726,Сельские и малые,5.754158681981268,10.319529857682062,10.844706966694988,13.056698545979994,q3
5,0.16416205699755215,0.21405753380635875,0.017208343585558377,0.018125032832677232,0.42962227555319604,0.3951450551961797,19200.083333333332,22357.583333333332,4.98954768088066,0.0916689247118855,-3.4477220357016334,0.16445241123085408,Красногвардейский муниципальный район,Красногвардейский,Республика Адыгея,муниципальный район,3,0,320.2,32095.0,48849.1,0.0,45.07579769245317,39.669242815394206,Сельские и малые,5.768945800562614,10.376455533745878,10.796491233555047,16.416205699755217,q3
6,0.1670191342320222,0.2153619402307485,0.03460134789434317,0.03902809574970116,0.3993199800960479,0.3715075263513527,22267.833333333332,26763.416666666668,4.834280599872631,0.4426747855357994,-2.781245374469521,0.20188687718457876,Майкопский муниципальный район,Майкопский,Республика Адыгея,муниципальный район,3,1,308.1,59156.0,47965.8,0.0,44.24612275808245,40.16802322904852,Сельские и малые,5.730424405602622,10.98793330128666,10.77824353594127,16.70191342320222,q3
7,0.12235981017848017,0.15859818610319787,0.060509300116285226,0.06483202653343091,0.3570232614879398,0.34232864462955664,33200.916666666664,39543.583333333336,3.6238375924717694,0.4322726417145685,-1.4694616858383136,0.1910389020383474,Тахтамукайский муниципальный район,Тахтамукайский,Республика Адыгея,муниципальный район,2,5,324.7,131043.0,75708.3,0.6500232748029273,44.94446345394075,38.92638278910725,Столичные агломерации,5.7829016791088,11.783280792597731,11.23464307674408,12.235981017848017,q3
8,0.13184464143144084,0.1799259597400339,0.04616735173091339,0.04923510631588568,0.39356629855455844,0.37102971327510165,26202.833333333332,31787.666666666668,4.808131830859305,0.3067754584972292,-2.253658527945679,0.2131385282762044,Теучежский муниципальный район,Теучежский,Республика Адыгея,муниципальный район,2,5,317.4,22260.0,74168.0,0.3252470799640611,44.9116752003606,39.35767139154338,Столичные агломерации,5.760162808092309,10.010546624829535,11.214088069286818,13.184464143144083,q3
9,0.12135093740956304,0.20738075076800203,0.02182428865076058,0.020289042884992555,0.4399520177508884,0.3767872571907946,17669.5,21014.0,8.602981335843898,-0.15352457657680263,-6.316476056009379,0.18928096437363817,Шовгеновский муниципальный район,Шовгеновский,Республика Адыгея,муниципальный район,3,0,314.3,16287.0,42776.6,0.0,45.017731927233015,40.14196597081477,Сельские и малые,5.750347943803522,9.698122522573561,10.663746503087143,12.135093740956304,q3
10,0.1109951398871349,0.14704101889666957,0.04755281269115122,0.05174844062493438,0.38137076688766164,0.37038269344418007,27671.833333333332,32300.166666666668,3.604587900953467,0.41956279337831626,-1.0988073443481572,0.16725792171341514,городской округ город Горно-Алтайск,Горно-Алтайск,Республика Алтай,городской округ,0,4,213.5,64508.0,73499.3,1.0,51.936763933917554,85.96074005124264,Крупные и средние города,5.363636832668679,11.074544526100407,11.205031161346053,11.09951398871349,q1 (низкая)
