spec,term,coef,t,p,n,r2
"все МО, тип",log_access,0.23148137889797638,2.096892384643359,0.036003102823023776,1984,0.47261677764832666
"все МО, тип",log_pop,-0.3204604224497727,-9.235327421688414,2.574972640786874e-20,1984,0.47261677764832666
"все МО, тип",log_wage,-0.760390299023934,-7.766012447288551,8.099559616660255e-15,1984,0.47261677764832666
"все МО, тип",urban_share,-0.5632017682223085,-6.042159539136028,1.5206498820232906e-09,1984,0.47261677764832666
"все МО, тип",start,-0.07983652032272835,-6.26425480696145,3.746124916055921e-10,1984,0.47261677764832666
"все МО, тип",тип: Северные и ресурсные,0.1232095054336034,0.9027294747723903,0.36666948918935915,1984,0.47261677764832666
"все МО, тип",тип: Сельские и малые,0.27693148574277904,3.7677369290601956,0.0001647341668400518,1984,0.47261677764832666
"все МО, тип",тип: Столичные агломерации,-0.7761160169594616,-8.484549050882048,2.165569059198656e-17,1984,0.47261677764832666
"все МО, тип + регион (FE)",log_access,-0.8773348217875785,-3.5536715138815773,0.0003798933922441224,1984,0.6035018702912847
"все МО, тип + регион (FE)",log_pop,-0.38193588488122804,-9.955989665569664,2.37448446690242e-23,1984,0.6035018702912847
"все МО, тип + регион (FE)",log_wage,-0.19795701203404925,-1.5415214794953824,0.12318991936703866,1984,0.6035018702912847
"все МО, тип + регион (FE)",urban_share,-0.6328614726992607,-6.276013125023402,3.4736487295415113e-10,1984,0.6035018702912847
"все МО, тип + регион (FE)",start,-0.1356257339843912,-6.038577407592438,1.5547883839597702e-09,1984,0.6035018702912847
"все МО, тип + регион (FE)",тип: Северные и ресурсные,0.6259943287507971,3.1194491550165835,0.0018118952898519569,1984,0.6035018702912847
"все МО, тип + регион (FE)",тип: Сельские и малые,0.32068552518614596,4.237433536139919,2.260893160631103e-05,1984,0.6035018702912847
"все МО, тип + регион (FE)",тип: Столичные агломерации,-0.2320351588936882,-1.8131786414726836,0.06980427295882882,1984,0.6035018702912847
только сельские и малые,log_access,0.5074179754807165,2.7465804569622456,0.006022011340682083,1021,0.19248007014436197
только сельские и малые,log_pop,-0.4806867570900596,-6.83752583586254,8.057256136554536e-12,1021,0.19248007014436197
только сельские и малые,log_wage,-0.43382304756936485,-2.039270777984388,0.04142301041634539,1021,0.19248007014436197
только сельские и малые,urban_share,-0.7630107315465224,-6.3024960189576085,2.9289006590474445e-10,1021,0.19248007014436197
только сельские и малые,start,-0.11599519346157278,-7.308292260543268,2.7055882207070807e-13,1021,0.19248007014436197
"только сельские, регион (FE)",log_access,0.2277932734567676,0.373958524190307,0.7084351739569178,1021,0.4412694072095432
"только сельские, регион (FE)",log_pop,-0.7361503970044632,-9.075647001843137,1.1300409947148479e-19,1021,0.4412694072095432
"только сельские, регион (FE)",log_wage,0.7274079796332482,2.673020969234644,0.007517155143126313,1021,0.4412694072095432
"только сельские, регион (FE)",urban_share,-0.7682489582388863,-5.235176334534207,1.6482742628293098e-07,1021,0.4412694072095432
"только сельские, регион (FE)",start,-0.2076374170947323,-8.561429132856635,1.1147693263928413e-17,1021,0.4412694072095432
