territory_id,name,region,type,share_2023,share_2024,d_share_pp,market_access,population,group
708,Мотыгинский муниципальный район,Красноярский край,Северные и ресурсные,0.046287736870491,0.1954610861541962,14.917334928370519,178.0,12009.0,лидеры
556,Солтонский муниципальный район,Алтайский край,Сельские и малые,0.0521558854628102,0.17453227780578517,12.237639234297498,212.8,6045.0,лидеры
1662,Усть-Ишимский муниципальный район,Омская область,Сельские и малые,0.04922656703346446,0.16186449488449223,11.263792785102778,244.2,9157.0,лидеры
1297,муниципальный округ Унинский,Кировская область,Сельские и малые,0.03415866570218141,0.13565446459846872,10.149579889628733,311.9,5751.0,лидеры
1267,муниципальный округ Богородский,Кировская область,Сельские и малые,0.026265828222533403,0.127144579899678,10.087875167714461,314.8,3151.0,лидеры
1282,Нагорский муниципальный район,Кировская область,Сельские и малые,0.03987498941516654,0.13612739907409557,9.625240965892903,301.8,6225.0,лидеры
542,Зональный муниципальный район,Алтайский край,Сельские и малые,0.07441792528391832,0.17052926248927955,9.611133720536124,222.9,16341.0,лидеры
687,Бирилюсский муниципальный район,Красноярский край,Сельские и малые,0.13437289721852105,0.22957714929694592,9.520425207842486,209.2,7924.0,лидеры
859,Ульчский муниципальный район,Хабаровский край,Северные и ресурсные,0.031451640302192496,0.12589422440179868,9.444258409960618,129.6,13977.0,лидеры
2342,Октябрьский муниципальный район,Еврейская автономная область,Сельские и малые,0.0430427294100744,0.13704399825135466,9.400126884128026,138.1,7462.0,лидеры
2127,муниципальный округ Лесной,Тверская область,Сельские и малые,0.11645761973131781,0.20742105356729298,9.096343383597517,341.9,3827.0,лидеры
285,Юринский муниципальный район,Республика Марий Эл,Сельские и малые,0.13185301773223573,0.22135785548505404,8.950483775281832,333.9,5947.0,лидеры
1151,Казачинско-Ленский муниципальный район,Иркутская область,Северные и ресурсные,0.10926156384824091,0.19836585336666343,8.91042895184225,172.1,14910.0,лидеры
791,Красноармейский муниципальный округ,Приморский край,Северные и ресурсные,0.0565113406421609,0.1453130428880155,8.88017022458546,137.2,13859.0,лидеры
1178,городской округ Мамоновский,Калининградская область,Крупные и средние города,0.09502346319653467,0.18335292207612308,8.832945887958841,312.2,8458.0,лидеры
401,Бай-Тайгинский муниципальный район,Республика Тыва,Сельские и малые,0.12685080738657747,0.13434536256487317,0.7494555178295698,182.5,10431.0,отстающие
331,Нижнеколымский муниципальный район,Республика Саха (Якутия),Северные и ресурсные,0.02208506004083055,0.03256102205425056,1.0475962013420006,113.6,4175.0,отстающие
335,Среднеколымский муниципальный район,Республика Саха (Якутия),Северные и ресурсные,0.017879248155664326,0.030173661236723465,1.229441308105914,119.0,6714.0,отстающие
334,Оленекский эвенкийский национальный муниципальный район,Республика Саха (Якутия),Северные и ресурсные,0.02439530455340339,0.03844792686731533,1.4052622313911942,140.7,4364.0,отстающие
2345,городской округ Эгвекинот,Чукотский автономный округ,Северные и ресурсные,0.040635689397310305,0.054865945873313976,1.423025647600367,,5197.0,отстающие
619,Олюторский муниципальный район,Камчатский край,Северные и ресурсные,0.03560184005841175,0.050106829309823187,1.4504989251411435,,3523.0,отстающие
341,Усть-Янский муниципальный район,Республика Саха (Якутия),Северные и ресурсные,0.027507204170412258,0.0431069904595456,1.5599786289133344,119.2,6725.0,отстающие
2543,внутригородская территория города федерального значения муниципальный округ Тверской,Москва,Столичные агломерации,0.08709122369490115,0.10309927239001489,1.6008048695113741,656.4,75735.0,отстающие
2545,внутригородская территория города федерального значения муниципальный округ Якиманка,Москва,Столичные агломерации,0.08806038634138107,0.10421630579093066,1.6155919449549596,660.0,27022.0,отстающие
2544,внутригородская территория города федерального значения муниципальный округ Хамовники,Москва,Столичные агломерации,0.08871117597997569,0.10512010105948734,1.6408925079511651,645.1,105094.0,отстающие
2479,внутригородская территория города федерального значения муниципальный округ Дорогомилово,Москва,Столичные агломерации,0.08834599598764521,0.10483102080057836,1.6485024812933151,641.1,75669.0,отстающие
318,Верхнеколымский муниципальный район,Республика Саха (Якутия),Северные и ресурсные,0.026062430622253812,0.043046251636498715,1.6983821014244904,121.8,3687.0,отстающие
1454,городской округ Кашира,Московская область,Крупные и средние города,0.1513820093629146,0.16856717510666094,1.7185165743746345,436.1,65747.0,отстающие
2535,внутригородская территория города федерального значения муниципальный округ Арбат,Москва,Столичные агломерации,0.07867802778662213,0.09588597543602921,1.7207947649407085,657.6,36246.0,отстающие
2486,внутригородская территория города федерального значения муниципальный округ Раменки,Москва,Столичные агломерации,0.09273241990181502,0.11027323413815394,1.7540814236338922,634.7,151931.0,отстающие
