method,K_set,K,SW,CH,S_Dbw,WB,AVI,AVU,ANUI,modularity,density_modularity,MQ,conductance,boot_ari,min_size,sec
kmeans,4.0,4,0.19869908138251807,429.64725130170194,0.8033500202724342,6.243881832221651,0.8236547800183561,0.5449586195372651,0.5684856001715081,0.5584142409915389,2.1912376734608174,3.2946191200734245,0.17634521998164385,0.9367382051716356,235,0.6
kmeans,6.0,6,0.14263644239649798,331.2204827585488,0.7833430832270601,7.28215833728582,0.7184366636313904,0.5292180548858111,0.5205271979607635,0.5570325997944412,2.8298922866324,4.310619981788342,0.2815633363686097,0.729163248706525,120,0.6
ward,4.0,4,0.1899735465774548,375.6553254756156,0.8078308548816773,7.141298112226026,0.7319134895343322,0.5416116822136091,0.5241383057066044,0.4823861647167218,2.051197981846734,2.927653958137329,0.2680865104656678,0.5698016218414544,216,0.4
ward,6.0,6,0.1715689420039021,283.8294203843425,0.7871855395009748,8.498061958248844,0.6120524409400628,0.5178869455193605,0.4647414871392976,0.4792157403197744,2.5868695646764124,3.6723146456403772,0.3879475590599371,0.5698218794429797,98,0.4
gmm,4.0,4,0.1573155690968475,323.8158332982533,0.7641987542158585,8.284544456465085,0.6799890052622282,0.6023189568008813,0.48240873162659914,0.441314357310973,2.0568730810288463,2.7199560210489127,0.3200109947377719,0.9350550199956936,241,0.5
gmm,6.0,6,0.11018865425391318,244.35922266469396,0.7685871117774541,9.870713999240824,0.5595975968328032,0.5542076251796793,0.4271302896961226,0.4334133807763911,2.6257328673504454,3.357585580996819,0.44040240316719687,0.8704797614572242,84,0.6
spectral_graph,4.0,4,0.06613291619195281,10.331073343494385,0.581839831723745,259.6696952457488,1.0,0.0,1.0,0.00869870788453969,0.9962839177159217,4.0,0.0,0.42102473960468767,2,1.0
spectral_graph,6.0,6,0.05435104496906073,9.38713709098841,0.48777329766641225,256.9473500408878,1.0,0.0,1.0,0.009350510077088517,1.5452405104560911,6.0,0.0,0.6158698057308097,2,0.9
leiden_mod,,39,0.008933887767359632,54.460036936687274,0.47673132692051523,37.25716011078593,0.6646467039315405,0.19784486361874246,0.587404775474684,0.7484739142791788,14.093788814468436,25.921221453330084,0.33535329606845954,0.4264936266134492,1,3.0
leiden_mod_r0.5,,31,0.04021287838159106,53.57442139797698,0.410207777347259,38.2863055380402,0.6394796798853455,0.11120808304181001,0.5970222573672754,0.7043208274458844,8.126531540031287,19.823870076445708,0.36052032011465446,0.441346049705076,1,3.0
kefrin_e,4.0,4,0.1963001705849773,428.9989029976926,0.820717545696152,6.253318243755732,0.8363956018752281,0.5263822413031177,0.5807238971036349,0.5619828786662531,2.1658240436733753,3.3455824075009124,0.1636043981247719,0.947527734145264,204,7.5
kefrin_e,6.0,6,0.14407627143044074,330.3470761274531,0.7819706845902762,7.301411679725032,0.7469159495503712,0.5328862965126038,0.5342665117868377,0.5840364276110996,2.9854986695576606,4.481495697302227,0.25308405044962884,0.7739814022908356,118,7.3
kefrin_c,4.0,4,0.1921131067519493,416.31928983241403,0.8090135159458604,6.443772201250998,0.8225416922006314,0.5855131654540132,0.5551678599398839,0.5642815689038371,2.076783934010237,3.290166768802526,0.17745830779936853,0.8786581706251816,302,4.2
kefrin_c,6.0,6,0.11653193535884115,310.05022579679394,0.784146278665389,7.779384755490609,0.7856533234450805,0.5589556783877525,0.5459165772119825,0.6169132492022218,2.9586495553674803,4.7139199406704835,0.21434667655491946,0.6985973730503323,195,5.3
canus,4.0,4,0.19046503010718777,376.18851766834894,0.8413820736113079,7.131176366822894,0.7785338713201555,0.5922404955900195,0.532848476393436,0.5149303144763386,1.7502445532209545,3.114135485280622,0.22146612867984444,,250,22.4
canus,6.0,6,0.10644480447746234,281.61252931823384,0.7863202127495693,8.564959825613228,0.6138994600721831,0.6009093039431437,0.4484625634304598,0.45039367162185473,2.1176465670343694,3.683396760433099,0.38610053992781695,,208,22.2
dmon,4.0,4,0.10053176005417959,352.6113954415739,0.7967320074423828,7.607997646551308,0.8837682479540648,0.6648113976985393,0.5566906603856102,0.6303088186111871,2.244625928702301,3.5350729918162593,0.11623175204593515,,359,1.4
dmon,6.0,6,0.09139231808242441,274.7453125090869,0.754658014409185,8.77903967850307,0.8520753040177026,0.5868176732310122,0.5680453374378357,0.6822447645314705,3.548651245232867,5.112451824106215,0.14792469598229754,,257,1.4
ilouvain,,21,-0.038868587249930434,37.69912320927778,0.25741263486560495,55.564952754245525,0.5058777044677617,0.14223970928261953,0.4719202586531726,0.549130030226499,5.764580217404888,10.623431793822993,0.49412229553223835,,1,9.4
eva,,251,-0.20616339831254388,6.8940084201291585,0.05840092226860172,257.04349226292334,0.08915334414647814,0.5004698205556395,0.08534535735668879,0.6607559886189178,11.639545516215922,22.37748938076602,0.9108466558535219,,1,37.2
