method,K,cluster,jaccard,size
kefrin,4,0,0.9817078502464762,1035
kefrin,4,1,0.9172536756902655,235
kefrin,4,2,0.9510695013374446,492
kefrin,4,3,0.9824765471809531,254
kmeans,4,0,0.9732979025840298,1015
kmeans,4,1,0.9067309775371881,495
kmeans,4,2,0.8575041771742634,235
kmeans,4,3,0.9535971574778805,271
kefrin,5,0,0.5079772639781313,311
kefrin,5,1,0.7614986671129725,174
kefrin,5,2,0.8292046998126796,439
kefrin,5,3,0.9681816405201347,253
kefrin,5,4,0.8378166155845114,839
kmeans,5,0,0.8294804923824001,182
kmeans,5,1,0.8043351144900338,796
kmeans,5,2,0.8432414709696983,447
kmeans,5,3,0.9506636784892941,280
kmeans,5,4,0.5396115406780682,311
kefrin,6,0,0.6278881398021179,413
kefrin,6,1,0.8494006228460994,367
kefrin,6,2,0.9651617412336801,251
kefrin,6,3,0.7183086406306202,129
kefrin,6,4,0.8457282485015065,671
kefrin,6,5,0.6516854185144709,185
kmeans,6,0,0.7054198354607645,120
kmeans,6,1,0.7363337932520114,481
kmeans,6,2,0.8832290809510478,335
kmeans,6,3,0.9632961066108564,265
kmeans,6,4,0.47518944584539724,158
kmeans,6,5,0.7809553373241687,657
kefrin,7,0,0.7779618914188262,315
kefrin,7,1,0.9496475751616813,251
kefrin,7,2,0.4598281084587239,283
kefrin,7,3,0.5706057163820897,313
kefrin,7,4,0.5026238968646428,151
kefrin,7,5,0.5991497849676996,458
kefrin,7,6,0.3564672542595165,245
kmeans,7,0,0.9606626876764907,265
kmeans,7,1,0.7426040386774551,159
kmeans,7,2,0.7313157891844186,403
kmeans,7,3,0.8458150020326102,333
kmeans,7,4,0.7780796030432788,112
kmeans,7,5,0.8524469874218615,492
kmeans,7,6,0.8171035823800032,252
kefrin,8,0,0.7803088585193082,270
kefrin,8,1,0.8699701371837062,250
kefrin,8,2,0.5847994464379767,295
kefrin,8,3,0.42344417329597805,242
kefrin,8,4,0.5489277252568421,138
kefrin,8,5,0.640872406297537,459
kefrin,8,6,0.388223233163148,248
kefrin,8,7,0.6661380172932915,114
kmeans,8,0,0.8271249320974262,141
kmeans,8,1,0.7304847096158908,275
kmeans,8,2,0.6906020441473866,252
kmeans,8,3,0.9360120805563843,243
kmeans,8,4,0.9027792507258574,268
kmeans,8,5,0.8841388158393293,481
kmeans,8,6,0.8977071858488362,250
kmeans,8,7,0.8764351699279963,106
kefrin,9,0,0.6806654551412186,288
kefrin,9,1,0.6759564007245925,116
kefrin,9,2,0.5107569518957689,326
kefrin,9,3,0.5037539517690589,191
kefrin,9,4,0.818115871009661,247
kefrin,9,5,0.6414338660772219,347
kefrin,9,6,0.5785120652127901,57
kefrin,9,7,0.3890809353148477,236
kefrin,9,8,0.4133707993701481,208
kmeans,9,0,0.7340416267919746,96
kmeans,9,1,0.8305229975792716,455
kmeans,9,2,0.8969086216522746,258
kmeans,9,3,0.44284835628142755,58
kmeans,9,4,0.8830210193093642,244
kmeans,9,5,0.8838570215972027,243
kmeans,9,6,0.6331011044542905,135
kmeans,9,7,0.7216863035960166,285
kmeans,9,8,0.7390071108240776,242
