method,K,cluster,jaccard,size
kefrin,4,0,0.943114146675147,276
kefrin,4,1,0.9600434858213062,1010
kefrin,4,2,0.8865536732987728,515
kefrin,4,3,0.8342765002847027,215
kmeans,4,0,0.9732979025840298,1015
kmeans,4,1,0.9067309775371881,495
kmeans,4,2,0.8575041771742634,235
kmeans,4,3,0.9535971574778805,271
kefrin,5,0,0.8797714520536594,876
kefrin,5,1,0.5689255528683616,227
kefrin,5,2,0.7984275904818006,170
kefrin,5,3,0.9489584969827,273
kefrin,5,4,0.8563861587316176,470
kmeans,5,0,0.8294804923824001,182
kmeans,5,1,0.8043351144900338,796
kmeans,5,2,0.8432414709696983,447
kmeans,5,3,0.9506636784892941,280
kmeans,5,4,0.5396115406780682,311
kefrin,6,0,0.9531103681525613,251
kefrin,6,1,0.7135127441888859,118
kefrin,6,2,0.6359819264625532,446
kefrin,6,3,0.8223546329790409,369
kefrin,6,4,0.6505448208559234,165
kefrin,6,5,0.8284318542719427,667
kmeans,6,0,0.7054198354607645,120
kmeans,6,1,0.7363337932520114,481
kmeans,6,2,0.8832290809510478,335
kmeans,6,3,0.9632961066108564,265
kmeans,6,4,0.47518944584539724,158
kmeans,6,5,0.7809553373241687,657
kefrin,7,0,0.6130145271467105,527
kefrin,7,1,0.57964660717124,98
kefrin,7,2,0.676931054405222,148
kefrin,7,3,0.2909620848520663,284
kefrin,7,4,0.7723821022599185,329
kefrin,7,5,0.9510514315047038,245
kefrin,7,6,0.5083781574367973,385
kmeans,7,0,0.9606626876764907,265
kmeans,7,1,0.7426040386774551,159
kmeans,7,2,0.7313157891844186,403
kmeans,7,3,0.8458150020326102,333
kmeans,7,4,0.7780796030432788,112
kmeans,7,5,0.8524469874218615,492
kmeans,7,6,0.8171035823800032,252
