method,K,cluster,jaccard,size
kefrin,3,0,0.4857809015083001,439
kefrin,3,1,0.8882182940569212,607
kefrin,3,2,0.8603127569428736,970
kmeans,3,0,0.9440496698629451,978
kmeans,3,1,0.9592506902754456,612
kmeans,3,2,0.815291166386723,426
kefrin,4,0,0.9099200092643706,479
kefrin,4,1,0.775166518750695,573
kefrin,4,2,0.7789972687113456,141
kefrin,4,3,0.8759832673759586,823
kmeans,4,0,0.6669796378069024,151
kmeans,4,1,0.5834636389498982,602
kmeans,4,2,0.8535904997419828,504
kmeans,4,3,0.7498884903254343,759
kefrin,5,0,0.8429965459851372,94
kefrin,5,1,0.9067072105801549,423
kefrin,5,2,0.8497296372621024,503
kefrin,5,3,0.9168279877790257,570
kefrin,5,4,0.9118498602805027,426
kmeans,5,0,0.9119316802902998,92
kmeans,5,1,0.9572573831517572,447
kmeans,5,2,0.9500666415066584,544
kmeans,5,3,0.9357823694278634,420
kmeans,5,4,0.9191613976670183,513
kefrin,6,0,0.7278243554413317,82
kefrin,6,1,0.7613721348543657,426
kefrin,6,2,0.7243621109459187,451
kefrin,6,3,0.5440867773784185,233
kefrin,6,4,0.9131821655839494,416
kefrin,6,5,0.4233457326473994,408
kmeans,6,0,0.7829194072825483,418
kmeans,6,1,0.4171555872922266,430
kmeans,6,2,0.5893519026633919,405
kmeans,6,3,0.6672701286738139,360
kmeans,6,4,0.8422176637692972,88
kmeans,6,5,0.8094122118080569,315
kefrin,7,0,0.7478058467599228,55
kefrin,7,1,0.8180036760703904,381
kefrin,7,2,0.7005259666616471,417
kefrin,7,3,0.6017848218886404,226
kefrin,7,4,0.8901662277586689,401
kefrin,7,5,0.5847506555704917,377
kefrin,7,6,0.5766737435918211,159
kmeans,7,0,0.7776053955004778,400
kmeans,7,1,0.6512441481128295,173
kmeans,7,2,0.6490335101594259,276
kmeans,7,3,0.6492463172899746,396
kmeans,7,4,0.796312706590867,380
kmeans,7,5,0.7859562030203587,70
kmeans,7,6,0.9183003370989653,321
