method,K,ari_mean,ari_min,jaccard_min,jaccard_mean,min_size,SW,CH,S_Dbw,AVI,ANUI,MQ,modularity
kefrin,4,0.9599176044957523,0.8423586244609503,0.9172536756902655,0.9581268936137848,235,0.20275693811755655,428.6548503134368,0.7967065210619597,0.8464657439155987,0.5828936793656984,3.385862975662395,0.5152440478042061
kmeans,4,0.9324432795265529,0.8514605496557385,0.8575041771742634,0.9227825536933405,235,0.19869908138251807,429.64725130170194,0.8033500202724342,0.820155897493857,0.5676864885852235,3.280623589975428,0.49924931428514263
kefrin,5,0.7545878880258884,0.5204339805695393,0.5079772639781313,0.7809357774016858,174,0.15971731121383778,366.5000278352267,0.7915321008224817,0.8038072705618703,0.568624072670576,4.019036352809351,0.5623866770300096
kmeans,5,0.7396580332113961,0.49992336865877274,0.5396115406780682,0.7934664594018989,182,0.15307418705203893,367.4860739193484,0.7954927714459669,0.7680377009267928,0.5498082413451014,3.840188504633964,0.5401315573397534
kefrin,6,0.7586631994045125,0.5394465297524578,0.6278881398021179,0.7763621352547491,129,0.14327340457521887,329.15086379012376,0.7804252525232596,0.7761136706442419,0.5440194481613072,4.656682023865451,0.5742890192201298
kmeans,6,0.7353713482920327,0.5697314036823081,0.47518944584539724,0.7574039332407075,120,0.14263644239649798,331.2204827585488,0.7833430832270601,0.7264761305691384,0.521359600532125,4.35885678341483,0.5244222563748988
kefrin,7,0.572290715643143,0.4447377822689033,0.3564672542595165,0.6023263182161686,151,0.13640924300617285,301.92014300015126,0.7447741700596968,0.6612371676353288,0.48735702318134044,4.628660173447302,0.4971891407373204
kmeans,7,0.7936796975455457,0.47742371095684355,0.7313157891844186,0.8182896700594453,112,0.14160349220079962,306.9940915343958,0.7599663182595999,0.6259171944354259,0.4698218714007124,4.381420361047981,0.458925970339213
kefrin,8,0.5906116936208814,0.41367538605862236,0.388223233163148,0.6128354996809735,114,0.14296586855745363,284.0223458752873,0.7406474206896518,0.6128151621346065,0.4638324874879348,4.902521297076852,0.4672940142446058
kmeans,8,0.8273573672699923,0.6080542078693205,0.6906020441473866,0.8431605235948885,106,0.14593227975935602,285.41802673483045,0.7407947313074562,0.5830072877168158,0.4464216559698584,4.664058301734526,0.4356655210097009
kefrin,9,0.5469404443016259,0.37659669975518933,0.3890809353148477,0.579071810723923,57,0.1338054309827686,260.6457511153985,0.7447571558362545,0.6500905137541761,0.49324698416644236,5.850814623787585,0.5222388588174831
kmeans,9,0.7805527597548918,0.6032783820456975,0.44284835628142755,0.7516660180095445,58,0.14748714006507893,265.60592643657395,0.7430403038192875,0.5600841888366163,0.43637801120948755,5.040757699529545,0.42725954680943223
