method,K,ari_mean,ari_min,jaccard_min,jaccard_mean,min_size,SW,CH,S_Dbw,AVI,ANUI,MQ,modularity
kefrin,3,0.7415827451625223,0.6165519197427679,0.4857809015083001,0.7447706508360317,439,0.25196907067018887,596.4834552870275,0.8075924295850222,0.8997827163942564,0.5624151159065389,2.6993481491827693,0.5365517065185476
kmeans,3,0.8964410779312946,0.697853953312167,0.815291166386723,0.9061971755083714,426,0.2541187366640418,596.5285238589945,0.8112985221590467,0.8985022530247431,0.5619145772481416,2.695506759074229,0.5339110781374516
kefrin,4,0.8146201192667641,0.3621930458038387,0.775166518750695,0.8350167660255924,141,0.1888230251101546,503.6041376375951,0.8128433526981148,0.8910382285928627,0.6035273428258956,3.564152914371451,0.5830814076095668
kmeans,4,0.645592412497563,0.3624975392289018,0.5834636389498982,0.7134805667060544,151,0.18631343239358453,503.7933370213435,0.818769331675325,0.8773034403703843,0.594072583666505,3.5092137614815373,0.5782842671273973
kefrin,5,0.8627415720358954,0.7861829876089905,0.8429965459851372,0.8856222483773845,94,0.1861841790635539,463.87141736039666,0.7841160523920503,0.8657843042356029,0.5982947087222796,4.328921521178015,0.6135307021806936
kmeans,5,0.9213763449096231,0.8429228779887218,0.9119316802902998,0.9348398944087194,92,0.1884901548804303,464.1506228696965,0.7879340952951998,0.8581207869072301,0.5983054130423453,4.290603934536151,0.6054513248842058
kefrin,6,0.6660136415441122,0.585478541978421,0.4233457326473994,0.6823622128085639,82,0.1676776719514098,409.7278453977566,0.7676954552527013,0.8295668827614376,0.5799360178269038,4.977401296568626,0.617168140176003
kmeans,6,0.6046105905483043,0.46214481899073145,0.4171555872922266,0.6847211502482224,88,0.15113716838598815,410.75376439856495,0.745485817395419,0.8416028664272012,0.5832667848190966,5.049617198563207,0.6437400810149473
kefrin,7,0.6984834734500123,0.5396887167861597,0.5766737435918211,0.7028158483287975,55,0.17237536714346324,375.1488742127645,0.7517343929370246,0.8271800430972565,0.5911602201147875,5.790260301680795,0.6284930229564861
kmeans,7,0.715931200511801,0.5145818039910336,0.6490335101594259,0.7468140882532712,70,0.15066217683074234,378.07038555659744,0.7391426431124326,0.8188929564570075,0.5805336139604352,5.732250695199053,0.6446275973235229
