method,s_e,seed,t,alpha
kefrin_t_affect,noise1,0,0,0.0
kefrin_t_affect,noise1,0,1,0.5046709488227334
kefrin_t_affect,noise1,0,2,0.5653848171230511
kefrin_t_affect,noise1,0,3,0.5891805467566708
kefrin_t_affect,noise1,0,4,0.6012030999772773
kefrin_t_affect,noise1,0,5,0.6015437378960393
kefrin_t_affect,noise1,0,6,0.6569460763298045
kefrin_t_affect,noise1,0,7,0.5664470495708165
kefrin_t_affect,noise1,0,8,0.5820216785975558
kefrin_t_affect,noise1,0,9,0.605867742763924
kefrin_t_affect,noise1,0,10,0.6102692324711944
kefrin_t_affect,noise1,0,11,0.6073757237757829
kefrin_t_affect_fe_noreset,noise1,0,0,0.0
kefrin_t_affect_fe_noreset,noise1,0,1,0.95
kefrin_t_affect_fe_noreset,noise1,0,2,0.5819035444551691
kefrin_t_affect_fe_noreset,noise1,0,3,0.7593983989315756
kefrin_t_affect_fe_noreset,noise1,0,4,0.8794260299495387
kefrin_t_affect_fe_noreset,noise1,0,5,0.887711619272785
kefrin_t_affect_fe_noreset,noise1,0,6,0.859677993727125
kefrin_t_affect_fe_noreset,noise1,0,7,0.8430355763856332
kefrin_t_affect_fe_noreset,noise1,0,8,0.7710313701592987
kefrin_t_affect_fe_noreset,noise1,0,9,0.542901849212034
kefrin_t_affect_fe_noreset,noise1,0,10,0.6954394250498637
kefrin_t_affect_fe_noreset,noise1,0,11,0.783196241446733
kefrin_t_affect_fe_z4,noise1,0,0,0.0
kefrin_t_affect_fe_z4,noise1,0,1,0.95
kefrin_t_affect_fe_z4,noise1,0,2,0.5963209121608595
kefrin_t_affect_fe_z4,noise1,0,3,0.8162861239699749
kefrin_t_affect_fe_z4,noise1,0,4,0.8720792445649076
kefrin_t_affect_fe_z4,noise1,0,5,0.8902736234940417
kefrin_t_affect_fe_z4,noise1,0,6,0.870087059358099
kefrin_t_affect_fe_z4,noise1,0,7,0.8978261890438467
kefrin_t_affect_fe_z4,noise1,0,8,0.8902470715808373
kefrin_t_affect_fe_z4,noise1,0,9,0.8716574067498136
kefrin_t_affect_fe_z4,noise1,0,10,0.8438156516294741
kefrin_t_affect_fe_z4,noise1,0,11,0.8500598273760198
kefrin_t_affect_fe_z2.5,noise1,0,0,0.0
kefrin_t_affect_fe_z2.5,noise1,0,1,0.95
kefrin_t_affect_fe_z2.5,noise1,0,2,0.610637168151946
kefrin_t_affect_fe_z2.5,noise1,0,3,0.831701491707704
kefrin_t_affect_fe_z2.5,noise1,0,4,0.8707517452166487
kefrin_t_affect_fe_z2.5,noise1,0,5,0.8932701957873722
kefrin_t_affect_fe_z2.5,noise1,0,6,0.8747198285645712
kefrin_t_affect_fe_z2.5,noise1,0,7,0.8941598713990415
kefrin_t_affect_fe_z2.5,noise1,0,8,0.8920450425274772
kefrin_t_affect_fe_z2.5,noise1,0,9,0.890003709397307
kefrin_t_affect_fe_z2.5,noise1,0,10,0.9013204448929563
kefrin_t_affect_fe_z2.5,noise1,0,11,0.9044972204478166
kefrin_t_affect_fe_z2.5_2pass,noise1,0,0,0.0
kefrin_t_affect_fe_z2.5_2pass,noise1,0,1,0.95
kefrin_t_affect_fe_z2.5_2pass,noise1,0,2,0.6163023447507745
kefrin_t_affect_fe_z2.5_2pass,noise1,0,3,0.8329672881159694
kefrin_t_affect_fe_z2.5_2pass,noise1,0,4,0.8706860965975849
kefrin_t_affect_fe_z2.5_2pass,noise1,0,5,0.8929962354527679
kefrin_t_affect_fe_z2.5_2pass,noise1,0,6,0.8744913712084377
kefrin_t_affect_fe_z2.5_2pass,noise1,0,7,0.89372755838113
kefrin_t_affect_fe_z2.5_2pass,noise1,0,8,0.8917745122633582
kefrin_t_affect_fe_z2.5_2pass,noise1,0,9,0.8897578729751835
kefrin_t_affect_fe_z2.5_2pass,noise1,0,10,0.90139668016508
kefrin_t_affect_fe_z2.5_2pass,noise1,0,11,0.9045514414229366
kefrin_t_affect_fe_z2.5_ma3,noise1,0,0,0.0
kefrin_t_affect_fe_z2.5_ma3,noise1,0,1,0.9274872547039487
kefrin_t_affect_fe_z2.5_ma3,noise1,0,2,0.7189927016558231
kefrin_t_affect_fe_z2.5_ma3,noise1,0,3,0.872577171451641
kefrin_t_affect_fe_z2.5_ma3,noise1,0,4,0.8781623774633346
kefrin_t_affect_fe_z2.5_ma3,noise1,0,5,0.8517377590411508
kefrin_t_affect_fe_z2.5_ma3,noise1,0,6,0.7502780840325763
kefrin_t_affect_fe_z2.5_ma3,noise1,0,7,0.5327440187632599
kefrin_t_affect_fe_z2.5_ma3,noise1,0,8,0.649368587751966
kefrin_t_affect_fe_z2.5_ma3,noise1,0,9,0.7441971656500146
kefrin_t_affect_fe_z2.5_ma3,noise1,0,10,0.7647729276766179
kefrin_t_affect_fe_z2.5_ma3,noise1,0,11,0.8762531915779818
kefrin_t_affect_fe_z2.5_2pass_ma3,noise1,0,0,0.0
kefrin_t_affect_fe_z2.5_2pass_ma3,noise1,0,1,0.95
kefrin_t_affect_fe_z2.5_2pass_ma3,noise1,0,2,0.7567080151558061
kefrin_t_affect_fe_z2.5_2pass_ma3,noise1,0,3,0.826413210302224
kefrin_t_affect_fe_z2.5_2pass_ma3,noise1,0,4,0.8729572936428565
kefrin_t_affect_fe_z2.5_2pass_ma3,noise1,0,5,0.8553955276108816
kefrin_t_affect_fe_z2.5_2pass_ma3,noise1,0,6,0.7956854473037871
kefrin_t_affect_fe_z2.5_2pass_ma3,noise1,0,7,0.5833274902973645
kefrin_t_affect_fe_z2.5_2pass_ma3,noise1,0,8,0.7334291665844256
kefrin_t_affect_fe_z2.5_2pass_ma3,noise1,0,9,0.7678995773099118
kefrin_t_affect_fe_z2.5_2pass_ma3,noise1,0,10,0.810365777182123
kefrin_t_affect_fe_z2.5_2pass_ma3,noise1,0,11,0.8658056554547239
kefrin_t_affect,noise1,1,0,0.0
kefrin_t_affect,noise1,1,1,0.4916149070747296
