method,nmi_mean,nmi_min,nmi_after_event,movers_correct_+0,movers_correct_+1,movers_correct_+2,false_switch_at_event,s_e,seed
kefrin_independent,0.7798020006235404,0.6488265543755354,0.7863262232943661,0.6979166666666666,0.9583333333333334,0.7395833333333334,0.6329365079365079,noise1,0
kefrin_warm,0.9228957693094083,0.8748331280764369,0.9229016785620395,0.9166666666666666,0.9583333333333334,0.96875,0.05952380952380952,noise1,0
kefrin_fixed0.5,0.9176138704098912,0.6666438513904595,0.8909488011243781,0.2708333333333333,0.8645833333333334,0.9270833333333334,0.015873015873015872,noise1,0
kefrin_t_affect,0.9022055592015494,0.602579874335926,0.8647620921158242,0.0625,0.6979166666666666,0.90625,0.011904761904761904,noise1,0
kefrin_t_affect_fe_noreset,0.8062491437141633,0.5304668867722632,0.7077891986049373,0.0,0.010416666666666666,0.14583333333333334,0.007936507936507936,noise1,0
kefrin_t_affect_fe_z4,0.8502524566741966,0.6578328411947522,0.7656146846734302,0.28125,0.4375,0.5104166666666666,0.007936507936507936,noise1,0
kefrin_t_affect_fe_z2.5,0.9212339819741079,0.8029578173340526,0.8879808791498798,0.6041666666666666,0.75,0.78125,0.001984126984126984,noise1,0
kefrin_t_affect_fe_z2.5_2pass,0.9217794766173855,0.8029578173340526,0.8879808791498798,0.6041666666666666,0.75,0.78125,0.001984126984126984,noise1,0
kefrin_t_affect_fe_z2.5_ma3,0.8255126874489229,0.6402525283784488,0.8010445719910777,0.3229166666666667,0.5208333333333334,0.5729166666666666,0.48412698412698413,noise1,0
kefrin_t_affect_fe_z2.5_2pass_ma3,0.8205478433601581,0.6473764425904475,0.7972084865297274,0.28125,0.53125,0.6979166666666666,0.5496031746031746,noise1,0
kmeans_monthly,0.8163414546474582,0.7906516028325027,0.8127288681540676,0.875,0.9583333333333334,0.9166666666666666,0.10714285714285714,noise1,0
temporal_leiden_w0.3,0.7956063348478745,0.505052808388585,0.7311150801462611,0.3333333333333333,0.59375,0.8020833333333334,0.18452380952380953,noise1,0
temporal_leiden_w1.0,0.9077042382868507,0.6937162552810833,0.8658540848493211,0.4375,0.7395833333333334,0.9166666666666666,0.027777777777777776,noise1,0
kefrin_independent,0.7513941832283882,0.5505768893954616,0.7428829834283892,0.6041666666666666,0.8125,0.7291666666666666,0.2400793650793651,noise1,1
kefrin_warm,0.9046395173572136,0.8754157818087145,0.8926858850099535,0.9479166666666666,0.9791666666666666,0.9895833333333334,0.04365079365079365,noise1,1
kefrin_fixed0.5,0.9153544632826597,0.7147339170411003,0.8915012885053318,0.3958333333333333,0.8229166666666666,0.9270833333333334,0.021825396825396824,noise1,1
kefrin_t_affect,0.907124540317303,0.6537782222670019,0.8767886156487202,0.20833333333333334,0.7291666666666666,0.8958333333333334,0.013888888888888888,noise1,1
kefrin_t_affect_fe_noreset,0.7872800960130849,0.5608112550875726,0.6704731631180424,0.020833333333333332,0.03125,0.07291666666666667,0.001984126984126984,noise1,1
kefrin_t_affect_fe_z4,0.8234317503543677,0.625763841190636,0.7176710414309576,0.17708333333333334,0.28125,0.3541666666666667,0.0,noise1,1
kefrin_t_affect_fe_z2.5,0.9053975150947204,0.7675282909001016,0.873011038706772,0.5416666666666666,0.75,0.8125,0.003968253968253968,noise1,1
kefrin_t_affect_fe_z2.5_2pass,0.9048983848025912,0.7675282909001016,0.873011038706772,0.5416666666666666,0.75,0.8125,0.003968253968253968,noise1,1
kefrin_t_affect_fe_z2.5_ma3,0.9120845838357688,0.7078249495984312,0.8893035131170818,0.375,0.8020833333333334,0.8854166666666666,0.001984126984126984,noise1,1
kefrin_t_affect_fe_z2.5_2pass_ma3,0.9120845838357688,0.7078249495984312,0.8893035131170818,0.375,0.8020833333333334,0.8854166666666666,0.001984126984126984,noise1,1
kmeans_monthly,0.7767550736386575,0.7431666146415571,0.7738337330711172,0.9270833333333334,0.8958333333333334,0.90625,0.13095238095238096,noise1,1
temporal_leiden_w0.3,0.8463620792836307,0.6242824890582018,0.7886063459820472,0.4166666666666667,0.78125,0.9375,0.0873015873015873,noise1,1
temporal_leiden_w1.0,0.9290763140334192,0.7471559296385142,0.9109342811437964,0.5104166666666666,0.8541666666666666,0.96875,0.021825396825396824,noise1,1
kefrin_independent,0.8611038741398188,0.7019222702856144,0.8502654955665081,0.8333333333333334,0.7916666666666666,0.78125,0.1984126984126984,noise1,2
kefrin_warm,0.9809311669349179,0.9571259228713906,0.984274236929858,0.9895833333333334,1.0,0.9895833333333334,0.00992063492063492,noise1,2
kefrin_fixed0.5,0.9477371972297949,0.7077836362754789,0.9222336446227685,0.3229166666666667,0.9479166666666666,0.9895833333333334,0.007936507936507936,noise1,2
kefrin_t_affect,0.9290964663740491,0.6262298253067975,0.8894599618458824,0.10416666666666667,0.8229166666666666,0.9895833333333334,0.001984126984126984,noise1,2
kefrin_t_affect_fe_noreset,0.8425070758311112,0.5582890827517198,0.7521192925794393,0.020833333333333332,0.041666666666666664,0.11458333333333333,0.003968253968253968,noise1,2
kefrin_t_affect_fe_z4,0.9130383189732806,0.7577300665326865,0.8541047159798488,0.46875,0.6458333333333334,0.7291666666666666,0.0,noise1,2
kefrin_t_affect_fe_z2.5,0.9688053438769542,0.8943062302107452,0.9596476063347632,0.7916666666666666,0.9479166666666666,0.9479166666666666,0.0,noise1,2
kefrin_t_affect_fe_z2.5_2pass,0.9688053438769542,0.8943062302107452,0.9596476063347632,0.7916666666666666,0.9479166666666666,0.9479166666666666,0.0,noise1,2
kefrin_t_affect_fe_z2.5_ma3,0.9534073290267897,0.7638918655317807,0.9297365973806951,0.5104166666666666,0.96875,0.9791666666666666,0.003968253968253968,noise1,2
kefrin_t_affect_fe_z2.5_2pass_ma3,0.9534073290267897,0.7638918655317807,0.9297365973806951,0.5104166666666666,0.96875,0.9791666666666666,0.003968253968253968,noise1,2
