id,beh,beh_name,switches_beh,beh_seq,macro,sub
1,4,Общепит и услуги,1,444444444444443333333333,0,4
2,0,Базовая корзина малых городов,6,344000000000000333103333,0,1
3,0,Базовая корзина малых городов,0,000000000000000000000000,3,1
4,3,Транспортная корзина,1,133333333333333333333333,3,0
5,3,Транспортная корзина,2,111111113333333333333311,3,0
6,3,Транспортная корзина,3,000333300000333333333333,3,1
7,4,Общепит и услуги,0,444444444444444444444444,2,5
8,3,Транспортная корзина,2,333444444444443333333333,2,5
9,3,Транспортная корзина,4,333333333333333331133313,3,0
10,4,Общепит и услуги,2,334444444444444433333333,0,4
11,3,Транспортная корзина,0,333333333333333333333333,3,2
12,3,Транспортная корзина,2,333333344444433333333333,3,2
13,3,Транспортная корзина,0,333333333333333333333333,3,2
14,3,Транспортная корзина,0,333333333333333333333333,3,2
15,3,Транспортная корзина,0,333333333333333333333333,3,2
16,3,Транспортная корзина,0,333333333333333333333333,3,2
17,3,Транспортная корзина,0,333333333333333333333333,3,2
18,3,Транспортная корзина,0,333333333333333333333333,3,2
19,3,Транспортная корзина,10,133133333330100133111110,3,0
20,3,Транспортная корзина,0,333333333333333333333333,3,2
21,4,Общепит и услуги,0,444444444444444444444444,0,4
22,0,Базовая корзина малых городов,2,000003330000000000000000,0,1
23,3,Транспортная корзина,3,000003444444443333333333,0,4
25,4,Общепит и услуги,0,444444444444444444444444,0,4
26,4,Общепит и услуги,1,444444444444444443333333,0,4
27,4,Общепит и услуги,1,444444444444444444333333,0,4
28,4,Общепит и услуги,1,444444444444444443333333,0,4
29,4,Общепит и услуги,0,444444444444444444444444,0,4
30,3,Транспортная корзина,0,333333333333333333333333,3,2
31,3,Транспортная корзина,0,333333333333333333333333,3,1
32,3,Транспортная корзина,3,333333333333301000000000,3,0
33,3,Транспортная корзина,1,333333333333333333333111,3,0
34,3,Транспортная корзина,1,333333333333333111111111,3,0
35,3,Транспортная корзина,4,333333334434443333333333,3,2
36,3,Транспортная корзина,1,333333333333333311111111,3,0
37,3,Транспортная корзина,2,333333333333333333311333,3,0
38,3,Транспортная корзина,3,400000444444443333333333,0,4
39,3,Транспортная корзина,3,333333333333333330300000,3,0
40,3,Транспортная корзина,0,333333333333333333333333,0,1
41,3,Транспортная корзина,2,333333333333333333311333,3,0
42,3,Транспортная корзина,2,333333344444443333333333,0,1
43,3,Транспортная корзина,2,333333333333333333000003,3,0
44,0,Базовая корзина малых городов,4,400000000004440033333333,0,4
45,3,Транспортная корзина,0,333333333333333333333333,3,0
46,3,Транспортная корзина,0,333333333333333333333333,3,1
47,3,Транспортная корзина,0,333333333333333333333333,3,2
48,3,Транспортная корзина,1,333333333333333331111111,3,0
49,3,Транспортная корзина,4,330333000000033333333333,0,1
50,3,Транспортная корзина,0,333333333333333333333333,3,2
51,3,Транспортная корзина,0,333333333333333333333333,0,1
52,3,Транспортная корзина,8,333333113333330030100011,3,0
53,3,Транспортная корзина,0,333333333333333333333333,3,2
54,3,Транспортная корзина,0,333333333333333333333333,3,0
55,3,Транспортная корзина,0,333333333333333333333333,3,1
56,3,Транспортная корзина,0,333333333333333333333333,3,1
57,4,Общепит и услуги,1,444444444444444443333333,0,4
58,0,Базовая корзина малых городов,1,333333333333000000000000,3,1
59,3,Транспортная корзина,0,333333333333333333333333,3,0
60,3,Транспортная корзина,0,333333333333333333333333,3,1
61,3,Транспортная корзина,0,333333333333333333333333,3,0
62,3,Транспортная корзина,2,333333333333333333333303,1,3
63,3,Транспортная корзина,1,333333333333331111111111,3,0
65,3,Транспортная корзина,3,333333333333000033000000,3,0
66,4,Общепит и услуги,2,333344444444444443333333,0,4
67,3,Транспортная корзина,0,333333333333333333333333,3,2
68,3,Транспортная корзина,4,333333333333333333331301,3,0
69,3,Транспортная корзина,1,333333333333333333333111,3,0
